##4000550		
Whenever	whenever	rrqv
are	be	vbr
discussed	discuss	vvn
in	in	ii
Alinsky	alinsky	np1
's	's	ge
Rules	rule	nn2
for	for	if
Radicals	radical	nn2
.	.	y
<p>	<p>	y
In	in	ii
his	his	appge
analysis	analysis	nn1
of	of	io
race	race	nn1
relations	relation	nn2
and	and	cc
the	the	at
civil	civil	jj
rights	right	nn2
movement	movement	nn1
,	,	y
Charles	charles	np1
E.	e	np1
Silberman	silberman	np1
writes	write	vvz
of	of	io
Alinsky	alinsky	np1
:	:	y
<p>	<p>	y
Alinsky	alinsky	np1@_jj
has	have	vhz
been	be	vbn
attacked	attack	vvn
at	at	ii
various	various	jj
times	time	nnt2
as	as	ii_csa
a	a	at1
communist	communist	jj_nn1@
,	,	y
a	a	at1
fascist	fascist	jj_nn1@
,	,	y
a	a	at1
dupe	dupe	nn1
of	of	io
the	the	at
Catholic	catholic	jj_nn1
Church	church	nn1
,	,	y
the	the	at
mastermind	mastermind	nn1
of	of	io
a	a	at1
Catholic	catholic	jj_nn1
conspiracy	conspiracy	nn1
(	(	y
Alinsky	alinsky	np1
is	be	vbz
Jewish	jewish	jj
)	)	y
,	,	y
a	a	at1
racist	racist	nn1_jj
,	,	y
a	a	at1
segregationist	segregationist	nn1
,	,	y
and	and	cc
an	a	at1
integrationist	integrationist	nn1
seeking	seek	vvg
to	to	to
mongrelize	mongrelize	vvi
Chicago	chicago	np1
.	.	y
His	his	appge
supporters	supporter	nn2
are	be	vbr
equally	equally	rr
immoderate	immoderate	vv0_jj
in	in	ii_rp@
their	their	appge
praise.	praise	nnu
(	(	y
n9	n9	fo
)	)	y
<p>	<p>	y
What	what	ddq
better	better	jjr
author	author	nn1
to	to	to
include	include	vvi
in	in	ii_rp@
a	a	at1
course	course	nn1
called	call	vvn_vvd@
Conflict	conflict	nn1
and	and	cc
Negotiation	negotiation	nn1
?	?	y
Classroom	classroom	nn1
Incident	incident	nn1
<p>	<p>	y
In	in	ii
discussing	discuss	vvg
Alinsky	alinsky	np1
's	's	ge
ideas	idea	nn2
on	on	ii
conflict	conflict	nn1
,	,	y
in	in	ii
which	which	ddq
I	i	ppis1
mentioned	mention	vvd
his	his	appge
activities	activity	nn2
in	in	ii
labor	labor	nn1
and	and	cc
community	community	nn1
organizing	organize	vvg_nn1@
and	and	cc
did	do	vdd
not	not	xx
mention	mention	vvi
any	any	dd
race	race	nn1
issues	issue	nn2
,	,	y
a	a	at1
student	student	nn1
privately	privately	rr
raised	raise	vvn_vvd
a	a	at1
concern	concern	nn1
with	with	iw
me	me	ppio1
during	during	ii
the	the	at
class	class	nn1
break	break	vv0_nn1
that	that	cst
Alinsky	alinsky	np1
was	be	vbdz
a	a	at1
racist	racist	nn1_jj
.	.	y
I	i	ppis1
replied	reply	vvd
that	that	cst
I	i	ppis1
could	could	vm
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
of	of	io
Rules	rule	nn2
for	for	if
Radicals	radical	nn2
is	be	vbz
about	about	ii
Alinsky	alinsky	np1
's	's	ge
civil	civil	jj
rights	right	nn2
activism	activism	nn1
,	,	y
but	but	ccb
I	i	ppis1
would	would	vm
be	be	vbi
happy	happy	jj
to	to	to
discuss	discuss	vvi
her	her	appge
concerns	concern	nn2
during	during	ii
class	class	nn1_jj%
time	time	nnt1
if	if	cs
she	she	pphs1
would	would	vm
raise	raise	vvi
them	them	ppho2
in	in	ii
class	class	nn1
.	.	y
She	she	pphs1
agreed	agree	vvd
to	to	to
raise	raise	vvi
them	them	ppho2
.	.	y
<p>	<p>	y
My	my	appge
suggestion	suggestion	nn1
of	of	io
an	a	at1
open	open	jj
discussion	discussion	nn1
reflected	reflect	vvd_vvn
my	my	appge
concern	concern	nn1
for	for	if
academic	academic	jj
freedom	freedom	nn1
and	and	cc
the	the	at
free	free	jj
exchange	exchange	nn1
of	of	io
ideas	idea	nn2
.	.	y
My	my	appge
approach	approach	nn1
was	be	vbdz
consistent	consistent	jj
with	with	iw
the	the	at
university	university	nn1
's	's	ge
policy	policy	nn1
"	"	y
Academic	academic	jj_nn1@
Freedom	freedom	nn1
and	and	cc
Tenure	tenure	nn1
"	"	y
which	which	ddq
appears	appear	vvz
in	in	ii
the	the	at
Faculty	faculty	nn1
Handbook	handbook	nn1
that	that	cst_dd1
was	be	vbdz
first	first	md
adopted	adopt	vvd_vvn
more	more	dar
than	than	csn
forty	forty	mc
years	year	nnt2
ago	ago	ra
.	.	y
According	according	ii21
to	to	ii22
the	the	at
handbook	handbook	nn1
:	:	y
<p>	<p>	y
Academic	academic	jj
freedom	freedom	nn1
is	be	vbz
essential	essential	jj
to	to	ii
the	the	at
free	free	jj
search	search	nn1
for	for	if
truth	truth	nn1
and	and	cc
its	its	z'
free	free	jj
expression	expression	nn1
.	.	y
.	.	y
Freedom	freedom	nn1
in	in	ii
teaching	teaching	nn1_vvg
is	be	vbz
fundamental	fundamental	jj
for	for	if
the	the	at
protection	protection	nn1
of	of	io
the	the	at
rights	right	nn2
of	of	io
the	the	at
teacher	teacher	nn1
in	in	ii
teaching	teaching	nn1_vvg
and	and	cc
of	of	io
the	the	at
student	student	nn1
in	in	ii
learning	learning	nn1_vvg
.	.	y
Academic	academic	jj
freedom	freedom	nn1
imposes	impose	vvz
distinct	distinct	jj
obligations	obligation	nn2
on	on	ii
the	the	at
teacher	teacher	nn1
.	.	y
.	.	y
Teachers	teacher	nn2
are	be	vbr
entitled	entitle	vvn
to	to	ii
freedom	freedom	nn1
in	in	ii
the	the	at
classroom	classroom	nn1
in	in	ii
discussing	discuss	vvg
their	their	appge
subject	subject	nn1
,	,	y
but	but	ccb
they	they	pphs2
should	should	vm
not	not	xx
introduce	introduce	vvi
into	into	ii
their	their	appge
teaching	teaching	nn1_vvg
controversial	controversial	jj
matter	matter	nn1
that	that	cst_dd1
has	have	vhz
no	no	at
relation	relation	nn1
to	to	ii
their	their	appge
subject	subject	nn1
.	.	y
<p>	<p>	y
Indeed	indeed	rr
,	,	y
the	the	at
American	american	jj
Association	association	nn1
of	of	io
University	university	nn1
Professors	professor	nn2
'	'	ge
1967	1967	mc
Statement	statement	nn1
on	on	ii
Rights	right	nn2
and	and	cc
Freedoms	freedom	nn2
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
inquiry	inquiry	nn1
and	and	cc
expression	expression	nn1
"	"	y
in	in	ii
the	the	at
classroom	classroom	nn1
.	.	y
Furthermore	furthermore	rr
,	,	y
"	"	y
students	student	nn2
should	should	vm
be	be	vbi
free	free	jj
to	to	to
take	take	vvi
reasoned	reasoned	jj
exception	exception	nn1
to	to	ii
the	the	at
data	data	nn
or	or	cc
views	view	nn2
offered	offer	vvn_vvd
in	in	ii_rp@
any	any	dd
course	course	nn1
of	of	io
study	study	nn1
and	and	cc
to	to	to
reserve	reserve	vvi
judgment	judgment	nn1
about	about	ii
matters	matter	nn2
of	of	io
opinion	opinion	nn1
.	.	y
"	"	y
(	(	y
n10	n10	fo
)	)	y
In	in	ii
fact	fact	nn1
,	,	y
I	i	ppis1
make	make	vv0
it	it	pph1
a	a	at1
policy	policy	nn1
to	to	to
reward	reward	vvi
students	student	nn2
with	with	iw
extra	extra	jj
credit	credit	nn1
toward	toward	ii
their	their	appge
grades	grade	nn2
when	when	cs_rrq
they	they	pphs2
disagree	disagree	vv0
with	with	iw
me	me	ppio1
in	in	ii
class	class	nn1
or	or	cc
in	in	ii
their	their	appge
written	written	jj@
assignments	assignment	nn2
,	,	y
and	and	cc
I	i	ppis1
did	do	vdd
so	so	rr
in	in	ii
this	this	dd1
case	case	nn1
.	.	y
The	the	at
courage	courage	nn1
to	to	to
debate	debate	vvi
is	be	vbz
among	among	ii
the	the	at
highest	high	jjt
virtues	virtue	nn2
.	.	y
It	it	pph1
seemed	seem	vvd
to	to	ii
me	me	ppio1
instinctively	instinctively	rr
,	,	y
and	and	cc
continues	continue	vvz
to	to	ii
upon	upon	ii
reflection	reflection	nn1
,	,	y
that	that	dd1_cst
open	open	jj
debate	debate	nn1
is	be	vbz
the	the	at
best	best	jjt
and	and	cc
most	most	rgt_dat
tolerant	tolerant	jj
way	way	nn1
to	to	to
handle	handle	vvi
a	a	at1
student	student	nn1
's	's	ge
concern	concern	nn1
.	.	y
<p>	<p>	y
In	in	ii
explaining	explain	vvg
her	her	appge
view	view	nn1
to	to	ii
the	the	at
class	class	nn1
,	,	y
the	the	at
student	student	nn1
referred	refer	vvn_vvd
to	to	ii
an	a	at1
indented	indented	jj@
quote	quote	nn1
in	in	ii
the	the	at
chapter	chapter	nn1
on	on	ii
tactics	tactic	nn2
(	(	y
136	136	mc
)	)	y
,	,	y
which	which	ddq
follows	follow	vvz
135	135	mc
pages	page	nn2
of	of	io
Alinsky	alinsky	np1
's	's	ge
discussions	discussion	nn2
of	of	io
his	his	appge
activities	activity	nn2
in	in	ii
civil	civil	jj
rights	right	nn2
protests	protest	nn2
and	and	cc
other	other	jj_nn1@
politically	politically	rr
correct	correct	jj_vv0@
social	social	jj
action	action	nn1
.	.	y
In	in	ii
the	the	at
indented	indented	jj@
quote	quote	nn1
,	,	y
Alinsky	alinsky	np1
describes	describe	vvz
a	a	at1
tactic	tactic	nn1
in	in	ii
which	which	ddq
African	african	jj
American	american	jj
victims	victim	nn2
of	of	io
housing	house	vvg_nn1
discrimination	discrimination	nn1
picket	picket	nn1
to	to	to
get	get	vvi
"	"	y
Jones	jones	np1
"	"	y
to	to	to
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
of	of	io
the	the	at
slum	slum	nn1
landlord	landlord	nn1
's	's	ge
residence	residence	nn1
.	.	y
Their	their	appge
picket	picket	nn1
signs	sign	nn2
,	,	y
which	which	ddq
said	say	vvd
,	,	y
"	"	y
Did	do	vdd
you	you	ppy
know	know	vvi
that	that	cst
Jones	jones	np1
,	,	y
your	your	appge
neighbor	neighbor	nn1
,	,	y
is	be	vbz
a	a	at1
slum	slum	nn1
landlord	landlord	nn1
?	?	y
"	"	y
were	be	vbdr
completely	completely	rr
irrelevant	irrelevant	jj
;	;	y
the	the	at
point	point	nn1
was	be	vbdz
that	that	cst
the	the	at
pickets	picket	nn2
knew	know	vvd
Jones	jones	np1
would	would	vm
be	be	vbi
inundated	inundate	vvn
with	with	iw
phone	phone	nn1
calls	call	nn2
from	from	ii
his	his	appge
neighbors	neighbor	nn2
.	.	y
<p>	<p>	y
Jones	jones	np1
:	:	y
Before	before	cs
you	you	ppy
say	say	vv0
a	a	at1
word	word	nn1
let	let	vv0_vvd@
me	me	ppio1
tell	tell	vvi
you	you	ppy
that	that	cst
those	those	dd2
signs	sign	nn2
are	be	vbr
a	a	at1
bunch	bunch	nn1
of	of	io
lies	lie	nn2
!	!	y
<p>	<p>	y
Neighbor	neighbor	np1@_nn1
:	:	y
Look	look	vv0_nn1
,	,	y
Jones	jones	np1
,	,	y
I	i	ppis1
do	do	vd0
n't	n't	xx
give	give	vvi
a	a	at1
damn	damn	jj_nn1@
what	what	ddq
you	you	ppy
do	do	vd0
for	for	if
a	a	at1
living	living	nn1_jj
.	.	y
All	all	db
we	we	ppis2
know	know	vv0
is	be	vbz
that	that	cst
you	you	ppy
get	get	vv0
those	those	dd2
goddam	goddam	jj
niggers	nigger	nn2
out	out	ii21
of	of	ii22
here	here	rl
or	or	cc
you	you	ppy
get	get	vv0
out	out	rp
!	!	y
<p>	<p>	y
Jones	jones	np1
came	come	vvd
out	out	rp
and	and	cc
signed	sign	vvd_vvn
.	.	y
<p>	<p>	y
The	the	at
student	student	nn1
indicated	indicate	vvd_vvn
that	that	cst
Alinsky	alinsky	np1
's	's	ge
use	use	nn1
of	of	io
the	the	at
"	"	y
n-word	n-word	nn1_jj
"	"	y
in	in	ii
this	this	dd1
context	context	nn1
suggested	suggest	vvd_vvn_jj@
racism	racism	nn1
on	on	ii
his	his	appge
part	part	nn1
.	.	y
She	she	pphs1
said	say	vvd
that	that	cst
she	she	pphs1
had	have	vhd
"	"	y
shown	show	vvn
the	the	at
passage	passage	nn1
to	to	ii
her	her	appge
roommate	roommate	nn1
and	and	cc
other	other	jj
friends	friend	nn2
and	and	cc
they	they	pphs2
had	have	vhd
agreed	agree	vvn
that	that	cst
the	the	at
passage	passage	nn1
was	be	vbdz
racist	racist	jj_nn1
.	.	y
"	"	y
<p>	<p>	y
I	i	ppis1
told	tell	vvd
the	the	at
student	student	nn1
that	that	cst
she	she	pphs1
had	have	vhd
considerable	considerable	jj
courage	courage	nn1
to	to	to
raise	raise	vvi
the	the	at
issue	issue	nn1
,	,	y
but	but	ccb
that	that	dd1
given	give	vvn
the	the	at
context	context	nn1
in	in	ii
which	which	ddq
the	the	at
book	book	nn1
was	be	vbdz
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
his	his	appge
fight	fight	nn1
with	with	iw
racism	racism	nn1
,	,	y
that	that	cst
Alinsky	alinsky	np1
wrote	write	vvd
in	in	ii_rp@
a	a	at1
period	period	nn1
that	that	cst_dd1
was	be	vbdz
rife	rife	jj
with	with	iw
racism	racism	nn1
,	,	y
and	and	cc
that	that	rg
much	much	da1
of	of	io
Rules	rule	nn2
for	for	if
Radicals	radical	nn2
was	be	vbdz
about	about	ii
his	his	appge
experiences	experience	nn2
in	in	ii
fighting	fight	vvg_nn1
discrimination	discrimination	nn1
,	,	y
I	i	ppis1
did	do	vdd
not	not	xx
agree	agree	vvi
that	that	cst
Alinsky	alinsky	np1
's	's	ge
book	book	nn1
expressed	express	vvd_vvn
any	any	dd
racism	racism	nn1
.	.	y
<p>	<p>	y
The	the	at
student	student	nn1
then	then	rt
replied	reply	vvd
that	that	cst
there	there	ex
were	be	vbdr
many	many	da2
students	student	nn2
in	in	ii
the	the	at
class	class	nn1
who	who	pnqs
would	would	vm
n't	n't	xx
understand	understand	vvi
the	the	at
context	context	nn1
in	in	ii
which	which	ddq
Alinsky	alinsky	np1
wrote	write	vvd
because	because	cs
they	they	pphs2
were	be	vbdr
from	from	ii
foreign	foreign	jj
countries	country	nn2
.	.	y
"	"	y
The	the	at
book	book	nn1
is	be	vbz
full	full	jj
of	of	io
racism	racism	nn1
.	.	y
For	for	rex21
instance	instance	rex22
,	,	y
he	he	pphs1
uses	use	vvz
the	the	at
word	word	nn1
ghetto	ghetto	nn1
instead	instead	ii21_cs21%
of	of	ii22_cs22
blighted	blighted	jj@_vvn
urban	urban	jj
area	area	nn1
,	,	y
"	"	y
she	she	pphs1
argued	argue	vvd
.	.	y
<p>	<p>	y
I	i	ppis1
replied	reply	vvd
that	that	cst_dd1
such	such	da
terminology	terminology	nn1
did	do	vdd
n't	n't	xx
likely	likely	rr@
exist	exist	vvi
in	in	ii
Alinsky	alinsky	np1
's	's	ge
day	day	nnt1
,	,	y
and	and	cc
it	it	pph1
did	do	vdd
n't	n't	xx
make	make	vvi
sense	sense	nn1
to	to	to
ask	ask	vvi
him	him	ppho1
to	to	to
use	use	vvi
politically	politically	rr
correct	correct	jj
bureaucratese	bureaucratese	nn1
from	from	ii
the	the	at
1990s	1990s	mc2
.	.	y
"	"	y
If	if	cs
we	we	ppis2
limit	limit	vv0
ourselves	ourselves	ppx2
to	to	ii
books	book	nn2
written	write	vvn
in	in	ii
the	the	at
1990s	1990s	mc2
,	,	y
we	we	ppis2
will	will	vm
be	be	vbi
stuck	stick	vvn
with	with	iw
Gwyneth	gwyneth	np1
Paltrow	paltrow	np1
,	,	y
"	"	y
I	i	ppis1
said	say	vvd
sarcastically	sarcastically	rr
.	.	y
I	i	ppis1
became	become	vvd
frustrated	frustrated	jj_vvn
as	as	csa
I	i	ppis1
sensed	sense	vvd
that	that	cst
the	the	at
student	student	nn1
had	have	vhd
scanned	scan	vvn
the	the	at
book	book	nn1
for	for	if
political	political	jj
incorrectness	incorrectness	nn1
after	after	ii
noticing	notice	vvg
that	that	cst
Alinsky	alinsky	np1
was	be	vbdz
writing	write	vvg
about	about	ii
race	race	nn1
issues	issue	nn2
.	.	y
<p>	<p>	y
As	as	csa
we	we	ppis2
discussed	discuss	vvd
the	the	at
topic	topic	nn1
,	,	y
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
at	at	rr21
least	least	rr22
a	a	at1
few	few	da2
of	of	io
whom	whom	pnqo
had	have	vhd
read	read	vvn
the	the	at
book	book	nn1
,	,	y
disagreed	disagree	vvd
with	with	iw
her	her	ppho1
.	.	y
Several	several	da2
of	of	io
her	her	appge
fellow	fellow	jj_nn1
students	student	nn2
made	make	vvd_vvn
suggestions	suggestion	nn2
about	about	ii
how	how	rrq
to	to	to
accommodate	accommodate	vvi
the	the	at
student	student	nn1
's	's	ge
concerns	concern	nn2
.	.	y
One	one	mc1
suggestion	suggestion	nn1
was	be	vbdz
that	that	cst
I	i	ppis1
should	should	vm
warn	warn	vvi
future	future	jj_nn1
classes	class	nn2
that	that	cst
the	the	at
"	"	y
n-word	n-word	nn1
"	"	y
is	be	vbz
in	in	ii
the	the	at
book	book	nn1
in	in	ii
advance	advance	nn1
of	of	io
assigning	assign	vvg
it	it	pph1
.	.	y
<p>	<p>	y
Another	another	dd1
student	student	nn1
,	,	y
however	however	rr
,	,	y
supported	support	vvd_vvn
an	a	at1
outright	outright	jj
ban	ban	nn1
and	and	cc
said	say	vvd
that	that	cst_dd1
,	,	y
"	"	y
the	the	at
business	business	nn1
school	school	nn1
should	should	vm
n't	n't	xx
be	be	vbi
teaching	teach	vvg
racist	racist	jj_nn1
material	material	nn1
.	.	y
"	"	y
<p>	<p>	y
I	i	ppis1
replied	reply	vvd
that	that	cst_dd1
,	,	y
as	as	cs31
far	far	cs32
as	as	cs33
I	i	ppis1
knew	know	vvd
,	,	y
I	i	ppis1
was	be	vbdz
the	the	at
only	only	jj
instructor	instructor	nn1
who	who	pnqs
uses	use	vvz
Rules	rule	nn2
for	for	if
Radicals	radical	nn2
in	in	ii
the	the	at
business	business	nn1
school	school	nn1
(	(	y
it	it	pph1
is	be	vbz
used	use	vvn
elsewhere	elsewhere	rl
in	in	ii
the	the	at
university	university	nn1
)	)	y
and	and	cc
that	that	cst_dd1
under	under	rg@_ii
ordinary	ordinary	jj
standards	standard	nn2
of	of	io
academic	academic	jj
freedom	freedom	nn1
,	,	y
instructors	instructor	nn2
'	'	ge
choices	choice	nn2
in	in	ii
teaching	teaching	nn1_vvg
are	be	vbr
independent	independent	jj
of	of	io
the	the	at
university	university	nn1
's	's	ge
policies	policy	nn2
.	.	y
<p>	<p>	y
I	i	ppis1
was	be	vbdz
surprised	surprised	jj_vvn%
that	that	cst
the	the	at
class	class	nn1
as	as	ii
a	a	at1
whole	whole	nn1
was	be	vbdz
unaware	unaware	jj
of	of	io
basic	basic	jj
concepts	concept	nn2
of	of	io
academic	academic	jj
freedom	freedom	nn1
and	and	cc
was	be	vbdz
unwilling	unwilling	jj
to	to	to
express	express	vvi
views	view	nn2
that	that	cst
differed	differ	vvd
from	from	ii
the	the	at
politically	politically	rr
correct	correct	jj_vv0@
one	one	pn1
.	.	y
In	in	ii
the	the	at
post-1984	post-1984	jj
university	university	nn1
,	,	y
an	a	at1
accusation	accusation	nn1
of	of	io
racism	racism	nn1
is	be	vbz
tantamount	tantamount	jj
to	to	ii
a	a	at1
conviction	conviction	nn1
;	;	y
for	for	if
anyone	anyone	pn1
,	,	y
including	including	ii_vvg@
an	a	at1
instructor	instructor	nn1
,	,	y
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
is	be	vbz
racist	racist	jj
automatically	automatically	rr
condemns	condemn	vvz
the	the	at
arguer	arguer	nn1
.	.	y
My	my	appge
students	student	nn2
,	,	y
educated	educate	vvn
in	in	ii
post-1984	post-1984	jj
elite	elite	nn1_jj@
universities	university	nn2
,	,	y
knew	know	vvd
this	this	dd1
better	better	rrr_jjr
than	than	csn
I	i	ppis1
did	do	vdd
.	.	y
<p>	<p>	y
As	as	ii_csa
a	a	at1
postmodern	postmodern	jj
business	business	nn1
instructor	instructor	nn1
,	,	y
I	i	ppis1
am	be	vbm
responsive	responsive	jj
to	to	ii
group	group	nn1
dynamics	dynamics	nn
(	(	y
that	that	dd1
is	be	vbz
my	my	appge
field	field	nn1
,	,	y
more	more	rrr_rgr_dar
or	or	cc
less	less	rrr_dar
)	)	y
and	and	cc
so	so	rr_cs@
I	i	ppis1
agreed	agree	vvd
to	to	to
consider	consider	vvi
warning	warn	vvg@_nn1
the	the	at
class	class	nn1
before	before	ii
assigning	assign	vvg
the	the	at
book	book	nn1
again	again	rt
.	.	y
I	i	ppis1
also	also	rr
said	say	vvd
that	that	cst
I	i	ppis1
would	would	vm
consider	consider	vvi
dropping	drop	vvg
Saul	saul	np1
Alinsky	alinsky	np1
from	from	ii
future	future	jj_nn1
teaching	teaching	nn1_vvg
altogether	altogether	rr
because	because	cs
the	the	at
book	book	nn1
might	might	vm
be	be	vbi
too	too	rg
"	"	y
advanced	advanced	jj
.	.	y
"	"	y
I	i	ppis1
said	say	vvd
this	this	dd1
despite	despite	ii
feeling	feel	vvg_nn1
in	in	ii_rp@
my	my	appge
gut	gut	nn1
that	that	cst
I	i	ppis1
was	be	vbdz
compromising	compromise	vvg
academic	academic	jj
freedom	freedom	nn1
and	and	cc
pedagogic	pedagogic	jj
standards	standard	nn2
.	.	y
<p>	<p>	y
I	i	ppis1
also	also	rr
mentioned	mention	vvd
that	that	cst
the	the	at
film	film	nn1
Harlan	harlan	nn1_jj_np1
County	county	nn1
,	,	y
USA	usa	np1
,	,	y
that	that	cst
we	we	ppis2
were	be	vbdr
to	to	to
watch	watch	vvi
during	during	ii
the	the	at
next	next	md
class	class	nn1
,	,	y
also	also	rr
includes	include	vvz
the	the	at
"	"	y
n-word	n-word	nn1_jj
"	"	y
just	just	rr
as	as	csa
Alinsky	alinsky	np1
uses	use	vvz
it	it	pph1
--	--	x
in	in	ii
depicting	depict	vvg
a	a	at1
racist	racist	jj_nn1
opponent	opponent	nn1
.	.	y
<p>	<p>	y
The	the	at
young	young	jj
woman	woman	nn1
who	who	pnqs
raised	raise	vvd
the	the	at
issue	issue	nn1
was	be	vbdz
one	one	mc1
of	of	io
three	three	mc
African	african	jj
American	american	jj
students	student	nn2
in	in	ii
the	the	at
class	class	nn1
of	of	io
about	about	rg
forty	forty	mc
students	student	nn2
.	.	y
One	one	mc1
of	of	io
the	the	at
other	other	jj_nn1@
two	two	mc
said	say	vvd
that	that	cst
he	he	pphs1
was	be	vbdz
n't	n't	xx
bothered	bother	vvn
by	by	ii
the	the	at
word	word	nn1
's	be	vbz
being	be	vbg
in	in	ii
the	the	at
book	book	nn1
but	but	ccb
he	he	pphs1
agreed	agree	vvd
with	with	iw
the	the	at
student	student	nn1
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
about	about	ii
the	the	at
word	word	nn1
's	be	vbz
being	be	vbg
in	in	ii
the	the	at
book	book	nn1
before	before	ii
assigning	assign	vvg
the	the	at
book	book	nn1
in	in	ii
the	the	at
future	future	nn1_jj
.	.	y
<p>	<p>	y
After	after	cs_ii
class	class	nn1
,	,	y
a	a	at1
young	young	jj
woman	woman	nn1
(	(	y
and	and	cc
later	later	jjr_rrr
two	two	mc
other	other	jj
students	student	nn2
)	)	y
privately	privately	rr
told	tell	vvd_vvn
me	me	ppio1
that	that	cst
many	many	da2
students	student	nn2
had	have	vhd
disagreed	disagree	vvn
that	that	cst
Rules	rule	nn2_vvz@
for	for	if
Radicals	radical	nn2
is	be	vbz
racist	racist	jj
and	and	cc
that	that	cst
the	the	at
book	book	nn1
"	"	y
definitely	definitely	rr
should	should	vm
not	not	xx
be	be	vbi
dropped	drop	vvn
.	.	y
"	"	y
I	i	ppis1
asked	ask	vvd
her	her	ppho1
why	why	rrq
she	she	pphs1
and	and	cc
her	her	appge
camp	camp	nn1
did	do	vdd
not	not	xx
voice	voice	vvi
this	this	dd1
view	view	nn1
during	during	ii
the	the	at
class	class	nn1
discussion	discussion	nn1
,	,	y
and	and	cc
she	she	pphs1
replied	reply	vvd
that	that	cst
they	they	pphs2
were	be	vbdr
afraid	afraid	jj
of	of	io
being	be	vbg
accused	accuse	vvn
of	of	io
racism	racism	nn1
.	.	y
<p>	<p>	y
I	i	ppis1
had	have	vhd
never	never	rr
before	before	rt
met	meet	vvn
this	this	dd1
level	level	nn1
of	of	io
fear	fear	nn1
of	of	io
expressing	express	vvg
opinions	opinion	nn2
in	in	ii
a	a	at1
classroom	classroom	nn1
.	.	y
Nor	nor	cc
had	have	vhd
I	i	ppis1
previously	previously	rr
heard	hear	vvn
students	student	nn2
make	make	vvi
claims	claim	nn2_vvz
that	that	cst
reflected	reflect	vvd
such	such	da
a	a	at1
poverty	poverty	nn1
of	of	io
understanding	understanding	nn1
of	of	io
basic	basic	jj
concepts	concept	nn2
of	of	io
academic	academic	jj
freedom	freedom	nn1
.	.	y
Students	student	nn2
were	be	vbdr
unaware	unaware	jj
that	that	cst
my	my	appge
views	view	nn2
as	as	ii_csa
a	a	at1
professor	professor	nn1
were	be	vbdr
separate	separate	jj
from	from	ii
those	those	dd2
of	of	io
the	the	at
university	university	nn1
.	.	y
The	the	at
political	political	jj
correctness	correctness	nn1
movement	movement	nn1
seems	seem	vvz
to	to	to
have	have	vhi
done	do	vdn
a	a	at1
hatchet	hatchet	nn1
job	job	nn1
on	on	ii
awareness	awareness	nn1
of	of	io
academic	academic	jj
freedom	freedom	nn1
.	.	y
The	the	at
degree	degree	nn1
of	of	io
fear	fear	nn1
,	,	y
conformity	conformity	nn1
,	,	y
and	and	cc
lack	lack	nn1
of	of	io
awareness	awareness	nn1
of	of	io
the	the	at
academic	academic	jj
process	process	nn1
is	be	vbz
something	something	pn1
I	i	ppis1
had	have	vhd
not	not	xx
encountered	encounter	vvn
before	before	rt
,	,	y
at	at	ii
the	the	at
business	business	nn1
school	school	nn1
or	or	cc
anywhere	anywhere	rl
else	else	rr
.	.	y
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
book	book	nn1
and	and	cc
shown	show	vvn
Harlan	harlan	jj
County	county	nn1
,	,	y
USA	usa	np1
three	three	mc
times	time	nnt2
at	at	ii
Brooklyn	brooklyn	np1
College	college	nn1
,	,	y
where	where	cs_rrq
about	about	rg
20	20	mc
percent	percent	nnu
of	of	io
my	my	appge
students	student	nn2
are	be	vbr
African	african	jj
Americans	american	nn2
(	(	y
Brooklyn	brooklyn	np1
College	college	nn1
is	be	vbz
wonderfully	wonderfully	rr
diverse	diverse	jj
)	)	y
,	,	y
as	as	ii31
well	well	ii32
as	as	ii33
four	four	mc
previous	previous	jj
times	time	nnt2
at	at	ii
the	the	at
business	business	nn1
school	school	nn1
,	,	y
without	without	iw
prior	prior	jj
incident	incident	nn1
or	or	cc
complaint	complaint	nn1
.	.	y
<p>	<p>	y
The	the	at
course	course	nn1
proceeded	proceed	vvd
largely	largely	rr
without	without	iw
incident	incident	nn1
.	.	y
When	when	cs
the	the	at
semester	semester	nn1
ended	end	vvd_vvn
,	,	y
the	the	at
third	third	md
black	black	jj
student	student	nn1
in	in	ii
the	the	at
class	class	nn1
,	,	y
an	a	at1
African	african	jj
diplomat	diplomat	nn1
attending	attend	vvg
the	the	at
business	business	nn1
school	school	nn1
full	full	jj
time	time	nnt1
,	,	y
approached	approach	vvd
me	me	ppio1
privately	privately	rr
and	and	cc
,	,	y
thanking	thank	vvg
me	me	ppio1
profusely	profusely	rr
,	,	y
said	say	vvd
that	that	cst
this	this	dd1
was	be	vbdz
the	the	at
best	best	jjt
single	single	jj
