##54361		
Announcer	announcer	np1_nn1
so	so	rg_rr
eloquently	eloquently	rr
and	and	cc
so	so	rg_rr
beautifully	beautifully	rr
.	.	y
And	and	cc
is	be	vbz
just	just	rr
a	a	at1
light	light	nn1_jj
that	that	cst_dd1
's	be	vbz
--		zz
that	that	cst
gives	give	vvz
--		nn1
makes	make	vvz
us	us	ppio2
valid	valid	jj
some	some	dd
--		nn1_jj
you	you	ppy
know	know	vv0
,	,	y
validates	validate	vvz
us.	us	nnu
@(Childhood-photogra)		zzc
@!STAHL		zzq
:	:	y
@(Voiceover)		zzc
Starting	start	vvg_nn1
when	when	rrq_cs
she	she	pphs1
was	be	vbdz
very	very	rg
young	young	jj
,	,	y
Gwyneth	gwyneth	np1
appeared	appear	vvd
with	with	iw
her	her	appge
mother	mother	nn1
on	on	ii
stage	stage	nn1
.	.	y
Unidentified	unidentified	jj
Man	man	nn1
:	:	y
I	i	ppis1
'm	be	vbm
just	just	rr
thinking	think	vvg
about	about	ii
shooting	shooting	nn1_vvg
...	...	...
@!Mr-PALTROW		zzq
:	:	y
For	for	if
the	the	at
shooting	shooting	nn1
,	,	y
that	that	dd1_cst
might	might	vm
be	be	vbi
nice	nice	jj_rr@
,	,	y
yes	yes	uh
.	.	y
@!STAHL		zzq
:	:	y
@(Voiceover)		zzc
Two	two	mc
years	year	nnt2
ago	ago	ra
,	,	y
Bruce	bruce	np1
directed	direct	vvd
Gwyneth	gwyneth	np1
in	in	ii
the	the	at
film	film	nn1
"	"	y
Duets	duet	nn2
.	.	y
"	"	y
What	what	ddq
should	should	vm
have	have	vhi
been	be	vbn
happy	happy	jj
time	time	nnt1
for	for	if
the	the	at
family	family	nn1
instead	instead	rr
became	become	vvd
a	a	at1
time	time	nnt1
of	of	io
great	great	jj
stress	stress	nn1
.	.	y
Bruce	bruce	np1
Paltrow	paltrow	np1
was	be	vbdz
diagnosed	diagnose	vvn
with	with	iw
throat	throat	nn1
cancer	cancer	nn1
just	just	rr
as	as	csa
shooting	shoot	vvg_nn1
on	on	ii_rp@
"	"	y
Duets	duet	nn2
"	"	y
was	be	vbdz
set	set	vvn
to	to	to
begin	begin	vvi
.	.	y
Surgery	surgery	nn1
...	...	...
@!Mr-PALTROW		zzq
:	:	y
Mm-hmm	mm-hmm	uh
.	.	y
@!STAHL		zzq
:	:	y
...	...	...
radiation	radiation	nn1
...	...	...
@!Mr-PALTROW		zzq
:	:	y
Mm-hmm	mm-hmm	uh
.	.	y
@!STAHL		zzq
:	:	y
...	...	...
and	and	cc
as	as	csa
I	i	ppis1
understand	understand	vv0
it	it	pph1
,	,	y
you	you	ppy
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
.	.	y
@!Mr-PALTROW		zzq
:	:	y
Mm-hmm	mm-hmm	uh
.	.	y
@!STAHL		zzq
:	:	y
What	what	ddq
?	?	y
Just	just	rr_jj@
--		zz
how	how	rrq_rgq@
--		nn1_jj
how	how	rrq_rgq@
long	long	rr_jj
after	after	ii_cs
radiation	radiation	nn1
did	do	vdd
you	you	ppy
go	go	vvi
back	back	rp
?	?	y
Weeks	weeks	nnt2_np1%
,	,	y
right	right	rr_nn1_jj
?	?	y
@!Mr-PALTROW		zzq
:	:	y
Thirteen	thirteen	mc
days	day	nnt2
.	.	y
@!STAHL		zzq
:	:	y
Thirteen	thirteen	mc
days	day	nnt2
.	.	y
@!Ms-DANNER		zzq
:	:	y
More	more	dar
tenacity	tenacity	nn1
than	than	csn
anyone	anyone	pn1
I	i	ppis1
've	have	vh0
ever	ever	rr
known	know	vvn
.	.	y
@!Mr-PALTROW		zzq
:	:	y
Yeah	yeah	uh
.	.	y
Yeah	yeah	uh
.	.	y
I	i	mc1@
--		nn1
yeah	yeah	uh
.	.	y
@(Footage-of-Paltrow)		zzc
@!STAHL		zzq
:	:	y
@(Voiceover)		zzc
During	during	ii
the	the	at
filming	filming	nn1@
,	,	y
Bruce	bruce	np1
was	be	vbdz
on	on	ii
a	a	at1
feeding	feeding	jj@_nn1@
tube	tube	nn1
which	which	ddq
Blythe	blythe	np1
would	would	vm
prepare	prepare	vvi
.	.	y
His	his	appge
illness	illness	nn1
,	,	y
do	do	vd0
you	you	ppy
think	think	vvi
it	it	pph1
's	be	vbz
changed	change	vvn
the	the	at
marriage	marriage	nn1
?	?	y
@!Ms-DANNER		zzq
:	:	y
I	i	ppis1
think	think	vv0
it	it	pph1
's	be	vbz
certainly	certainly	rr
given	give	vvn
us	us	ppio2
a	a	at1
deeper	deep	jjr
appreciation	appreciation	nn1
of	of	io
--		nn1
of	of	io
one	one	ppx121
another	another	ppx122
.	.	y
You	you	ppy
know	know	vv0
,	,	y
I	i	ppis1
think	think	vv0
--		nn1_jj
I	i	mc1%_zz1%_ppis1
--		nn1_jj
I	i	ppis1
was	be	vbdz
amazed	amazed	jj_vvn%
when	when	cs
it	it	pph1
happened	happen	vvd
.	.	y
I	i	ppis1
thought	think	vvd
I	i	ppis1
would	would	vm
fall	fall	vvi
apart	apart	rl
,	,	y
because	because	cs
he	he	pphs1
is	be	vbz
our	our	appge
rock	rock	nn1
,	,	y
for	for	if
all	all	db
of	of	io
us	us	ppio2
.	.	y
Even	even	cs21
when	when	cs22
he	he	pphs1
was	be	vbdz
ill	ill	z'
,	,	y
he	he	pphs1
would	would	vm
--		nn1_jj
he	he	pphs1
would	would	vm
forge	forge	vvi
ahead	ahead	rl
,	,	y
you	you	ppy
know	know	vv0
?	?	y
That	that	dd1
's	be	vbz
what	what	ddq
--		nn1_jj
you	you	ppy
just	just	rr
had	have	vhn@_vhd
tremendous	tremendous	jj
admiration	admiration	nn1
for	for	if
that	that	dd1
.	.	y
I	i	ppis1
do	do	vd0
n't	n't	xx
know	know	vvi
anybody	anybody	pn1
who	who	pnqs
's	be	vbz
like	like	ii
that	that	dd1
.	.	y
@!Mr-PALTROW		zzq
:	:	y
Stay	stay	vv0
.	.	y
Good	good	jj
boy	boy	nn1
.	.	y
@(Footage-of-Paltrow)		zzc
@!STAHL		zzq
:	:	y
@(Voiceover)		zzc
Two	two	mc
years	year	nnt2
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
With	with	iw
the	the	at
children	child	nn2
now	now	rt
on	on	ii
their	their	appge
own	own	da
,	,	y
he	he	pphs1
is	be	vbz
spending	spend	vvg
much	much	da1
of	of	io
his	his	appge
time	time	nnt1
writing	write	vvg
a	a	at1
new	new	jj
film	film	nn1
script	script	nn1
at	at	ii
the	the	at
family	family	nn1
's	be	vbz_ge
home	home	rl_nn1@
in	in	ii
California	california	np1
.	.	y
Blythe	blythe	np1
is	be	vbz
spending	spend	vvg
much	much	da1
of	of	io
her	her	appge
time	time	nnt1
in	in	ii
New	new	np1
York	york	np1
.	.	y
Her	her	appge
response	response	nn1
to	to	ii
the	the	at
empty	empty	jj
nest	nest	nn1
is	be	vbz
to	to	to
throw	throw	vvi
herself	herself	ppx1
into	into	ii
a	a	at1
series	series	nn
of	of	io
stage	stage	nn1
performances	performance	nn2
.	.	y
@(Excerpt-from-publi)		zzc
@!STAHL		zzq
:	:	y
@(Voiceover)		zzc
Earlier	early	rrr
this	this	dd1
month	month	nnt1
,	,	y
she	she	pphs1
appeared	appear	vvd
in	in	ii_rp@
a	a	at1
dramatic	dramatic	jj
reading	reading	nn1
of	of	io
Jules	jules	np1
Feiffer	feiffer	np1
's	's	ge_vbz
"	"	y
Little	little	jj
Murders	murder	nn2
.	.	y
"	"	y
@(Excerpt-from-publi)		zzc
@!STAHL		zzq
:	:	y
@(Voiceover)		zzc
And	and	cc
now	now	rt
she	she	pphs1
's	be	vbz
in	in	ii
rehearsal	rehearsal	nn1
for	for	if
a	a	at1
role	role	nn1
in	in	ii
Stephen	stephen	np1
Sondheim	sondheim	np1
's	's	ge
"	"	y
Follies	folly	nn2
,	,	y
"	"	y
which	which	ddq
opens	open	vvz
in	in	ii
April	april	npm1
.	.	y
@(Footage-of-Stahl-r)		zzc
@!Ms-DANNER		zzq
:	:	y
@(Voiceover)		zzc
I	i	ppis1
think	think	vv0
one	one	mc1
of	of	io
the	the	at
things	thing	nn2
,	,	y
as	as	csa
you	you	ppy
grow	grow	vv0
older	old	jjr
,	,	y
is	be	vbz
to	to	to
constantly	constantly	rr
keep	keep	vvi
pushing	push	vvg
the	the	at
parameters	parameter	nn2
of	of	io
your	your	appge
safety	safety	nn1
zone	zone	nn1
,	,	y
and	and	cc
not	not	xx
to	to	to
become	become	vvi
complacent	complacent	jj
or	or	cc
,	,	y
you	you	ppy
know	know	vv0
,	,	y
just	just	rr
to	to	ii
--		nn1_jj
just	just	rr_jj@
to	to	to
take	take	vvi
risks	risk	nn2
.	.	y
And	and	cc
if	if	cs_csw@
you	you	ppy
fall	fall	vv0
on	on	ii_rp@
your	your	appge
face	face	nn1
,	,	y
you	you	ppy
fall	fall	vv0
on	on	ii_rp@
your	your	appge
face	face	nn1
,	,	y
but	but	ccb
better	better	rrr
to	to	ii
...	...	...
@!STAHL		zzq
:	:	y
If	if	cs
you	you	ppy
had	have	vhd
to	to	to
give	give	vvi
advice	advice	nn1
to	to	ii
your	your	appge
children	child	nn2
about	about	ii
what	what	ddq
makes	make	vvz
a	a	at1
good	good	jj
marriage	marriage	nn1
...	...	...
@!Ms-DANNER		zzq
:	:	y
Sticking	stick	vvg
it	it	pph1
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@!Mr-PALTROW		zzq
:	:	y
I	i	ppis1
always	always	rr
say	say	vv0
jokingly	jokingly	rr
,	,	y
well	well	rr
,	,	y
how	how	rrq
--		nn1_jj
what	what	ddq
's	be	vbz
the	the	at
secret	secret	nn1
of	of	io
your	your	appge
marriage	marriage	nn1
?	?	y
We	we	ppis2
said	say	vvd
we	we	ppis2
both	both	rr
did	do	vdd
n't	n't	xx
want	want	vvi
to	to	to
get	get	vvi
divorced	divorce	vvn
at	at	ii
the	the	at
same	same	da
time	time	nnt1
.	.	y
I	i	ppis1
mean	mean	vv0
,	,	y
you	you	ppy
just	just	rr
--		zz
I	i	ppis1
remember	remember	vv0
Jake	jake	np1
must	must	vm
have	have	vhi
been	be	vbn
10	10	mc
or	or	cc
11	11	mc
,	,	y
and	and	cc
we	we	ppis2
were	be	vbdr
outside	outside	ii_rl
the	the	at
house	house	nn1
.	.	y
I	i	ppis1
guess	guess	vv0
everybody	everybody	pn1
else	else	rr
was	be	vbdz
getting	get	vvg
divorced	divorced	jj_vvn
.	.	y
He	he	pphs1
said	say	vvd
to	to	ii
me	me	ppio1
,	,	y
'	'	"@
You	you	ppy
--		zz
are	be	vbr
you	you	ppy
and	and	cc
Mom	mom	nn1
going	go	vvgk
to	to	to
get	get	vvi
divorced	divorced	jj_vvn
?	?	y
'	'	"@_ge
I	i	ppis1
said	say	vvd
,	,	y
'	'	"@_ge
Do	do	vd0
n't	n't	xx
be	be	vbi
ridiculous	ridiculous	jj
.	.	y
No	no	uh
,	,	y
of	of	rr21
course	course	rr22
not	not	xx
.	.	y
'	'	"@_ge
And	and	cc
he	he	pphs1
said	say	vvd
,	,	y
'	'	ge
Well	well	nn1
,	,	y
you	you	ppy
fight	fight	vv0
.	.	y
'	'	"@_ge
And	and	cc
I	i	ppis1
said	say	vvd
,	,	y
'	'	"@_ge
We	we	ppis2
may	may	vm
be	be	vbi
fighting	fight	vvg
but	but	ccb
we	we	ppis2
're	be	vbr
not	not	xx
--		zz
do	do	vd0
n't	n't	xx
be	be	vbi
ridiculous	ridiculous	jj
.	.	y
Never	never	rr
.	.	y
We	we	ppis2
're	be	vbr
not	not	xx
going	go	vvgk
to	to	to
get	get	vvi
divorced	divorced	jj_vvn
.	.	y
'	'	"@_ge
He	he	pphs1
said	say	vvd
,	,	y
'	'	ge_"@
Promise	promise	vv0
me	me	ppio1
you	you	ppy
're	be	vbr
not	not	xx
going	go	vvgk
to	to	to
get	get	vvi
divorced	divorced	jj_vvn
.	.	y
'	'	"@_ge
I	i	ppis1
said	say	vvd
,	,	y
'	'	"@_ge
I	i	zz1%_mc1%_ppis1
--		zz
Jake	jake	np1
,	,	y
I	i	ppis1
promise	promise	vv0
you	you	ppy
,	,	y
I	i	ppis1
will	will	vm
never	never	rr
get	get	vvi
divorced	divorce	vvn
from	from	ii
your	your	appge
mother	mother	nn1
.	.	y
'	'	"@_ge
@!STAHL		zzq
:	:	y
Oh	oh	uh
.	.	y
@!Mr-PALTROW		zzq
:	:	y
Yeah	yeah	uh
.	.	y
'	'	ge
Really	really	rr
?	?	y
'	'	"@_ge
I	i	ppis1
said	say	vvd
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
might	might	vm
kill	kill	vvi
her	her	ppho1
,	,	y
though	though	rr@
.	.	y
'	'	"@_ge
He	he	pphs1
said	say	vvd
,	,	y
'	'	"@_ge
That	that	dd1_cst
's	be	vbz
not	not	xx
funny	funny	jj
,	,	y
Dad	dad	nn1
.	.	y
That	that	dd1
's	be	vbz
not	not	xx
funny	funny	jj
.	.	y
'	'	"@_ge
@(Visual-of-SUNDAY-M)		zzc
@!OSGOOD		zzq
:	:	y
@(Voiceover)		zzc
Ahead	ahead	rl
,	,	y
California	california	np1
,	,	y
here	here	rl
we	we	ppis2
come	come	vv0
.	.	y
@(Announcements)		zzc
##54368		
CHARLES	charles	np1
@!OSGOOD		zzq
,	,	y
host	host	vv0_nn1
:	:	y
For	for	if
a	a	at1
rock	rock	nn1
performer	performer	nn1
,	,	y
there	there	ex
's	be	vbz
no	no	at
bigger	big	jjr
night	night	nnt1
than	than	csn
this	this	dd1
coming	coming	jj@_nn1@
Wednesday	wednesday	npd1
,	,	y
the	the	at
night	night	nnt1
of	of	io
the	the	at
Grammy	grammy	jj_nn1
Awards	award	nn2
in	in	ii
Los	los	np1
Angeles	angeles	np1
,	,	y
unless	unless	cs
it	it	pph1
's	be	vbz
the	the	at
night	night	nnt1
of	of	io
a	a	at1
performance	performance	nn1
by	by	ii
a	a	at1
youth	youth	nn1
symphony	symphony	nn1
orchestra	orchestra	nn1
in	in	ii
Burlington	burlington	np1
,	,	y
Vermont	vermont	np1
.	.	y
If	if	cs
that	that	dd1
sounds	sound	vvz
a	a	rr21_at1
little	little	rr22_jj
fishy	fishy	jj
to	to	ii
you	you	ppy
,	,	y
you	you	ppy
're	be	vbr
right	right	jj
.	.	y
It	it	pph1
is	be	vbz
a	a	at1_rr21
bit	bit	nn1_rr22
'	'	ge
phishy	phishy	jj
.	.	y
'	'	"@_ge
That	that	dd1
's	be	vbz
Phish	phish	nn1_jj
spelled	spell	vvd_jj@
P-H-I-S-H.	p-h-i-s-h	np1
@(Footage-of-Phish-l)		zzc
@!OSGOOD		zzq
:	:	y
(	(	y
Voiceover	voiceover	np1
)		np1
You	you	ppy
may	may	vm
or	or	cc
may	may	vm
not	not	xx
have	have	vhi
heard	hear	vvn
them	them	ppho2
on	on	ii
the	the	at
radio	radio	nn1
,	,	y
or	or	cc
seen	see	vvn
them	them	ppho2
on	on	ii
MTV	mtv	np1
,	,	y
but	but	ccb
the	the	at
group	group	nn1
Phish	phish	nn1
gives	give	vvz
an	a	at1
electrifying	electrifying	jj@
musical	musical	jj
sideshow	sideshow	nn1
that	that	cst_dd1
is	be	vbz
legendary	legendary	jj
in	in	ii
the	the	at
world	world	nn1
of	of	io
rock	rock	nn1
and	and	cc
roll	roll	nn1_vv0
.	.	y
They	they	pphs2
are	be	vbr
musical	musical	jj
acrobats	acrobat	nn2
,	,	y
and	and	cc
their	their	appge
ringleader	ringleader	nn1
for	for	if
18	18	mc
years	year	nnt2
--		zz
since	since	cs
he	he	pphs1
was	be	vbdz
18	18	mc
--		nn1_jj
has	have	vhz
been	be	vbn
Trey	trey	np1
Anastasio.	anastasio	np1
@(Footage-of-Phish-c)		zzc
@!OSGOOD		zzq
:	:	y
(	(	y
Voiceover	voiceover	np1
)		np1
Phish	phish	nn1
is	be	vbz
one	one	mc1
of	of	io
America	america	np1
's	's	ge
top	top	nn1_jj
grossing	gross	vvg_jj@
live	live	jj
acts	act	nn2
,	,	y
and	and	cc
this	this	dd1
year	year	nnt1
,	,	y
their	their	appge
recordings	recording	nn2
have	have	vh0
been	be	vbn
nominated	nominate	vvn
for	for	if
two	two	mc
Grammys	grammy	nn2_np1
.	.	y
They	they	pphs2
've	have	vh0
even	even	rr
got	get	vvn
a	a	at1
Ben	ben	np1
&amp;		cc
Jerry	jerry	np1
's	's	ge
ice	ice	nn1
cream	cream	nn1
flavor	flavor	nn1
named	name	vvn_vvd
after	after	ii
them	them	ppho2
.	.	y
But	but	ccb
last	last	md
fall	fall	nn1
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
:	:	y
(	(	y
Voiceover	voiceover	np1
)		np1
Trey	trey	np1
Anastasio	anastasio	np1
left	leave	vvd
the	the	at
path	path	nn1
to	to	ii
superstardom	superstardom	nn1
to	to	to
return	return	vvi
to	to	ii
the	the	at
back	back	nn1_jj@
roads	road	nn2
of	of	io
Vermont	vermont	np1
.	.	y
@(Footage-of-Trey-An)		zzc
@!Mr-TREY-ANASTASIO-		zzq
:	:	y
Luckily	luckily	rr
Phish	phish	nn1_jj
was	be	vbdz
an	a	at1
odd	odd	jj
band	band	nn1
,	,	y
so	so	cs@_rr
we	we	ppis2
were	be	vbdr
pretending	pretend	vvg
to	to	to
be	be	vbi
rock	rock	nn1
stars	star	nn2
,	,	y
I	i	ppis1
think	think	vv0
.	.	y
In	in	ii
reality	reality	nn1
,	,	y
we	we	ppis2
were	be	vbdr
just	just	rr
a	a	at1
bunch	bunch	nn1
of	of	io
geeky	geeky	jj
Vermonters	vermonters	np1
.	.	y
But	but	ccb
we	we	ppis2
had	have	vhd
fun	fun	nn1_jj
playing	play	vvg_jj%_nn1%
rock	rock	nn1
star	star	nn1
,	,	y
I	i	ppis1
think	think	vv0
,	,	y
for	for	if
a	a	at1
while	while	nnt1@
.	.	y
@(Footage-of-house-e)		zzc
@!OSGOOD		zzq
:	:	y
(	(	y
Voiceover	voiceover	np1
)		np1
And	and	cc
so	so	rr
after	after	ii_cs
15	15	mc
albums	album	nn2
and	and	cc
1,400	1,400	mc
performances	performance	nn2
,	,	y
Trey	trey	np1
is	be	vbz
spending	spend	vvg
a	a	at1
lot	lot	nn1
of	of	io
time	time	nnt1
in	in	ii
his	his	appge
150-year-old	150-year-old	jj
barn	barn	nn1
outside	outside	ii21
of	of	ii22
Burlington	burlington	np1
,	,	y
holed	hole	vvd_vvn
up	up	rp
with	with	iw
the	the	at
same	same	da
old	old	jj
guitar	guitar	nn1
but	but	ccb
a	a	at1
lot	lot	nn1
of	of	io
new	new	jj
ideas	idea	nn2
.	.	y
@!Mr-ANASTASIO		zzq
:	:	y
You	you	ppy
know	know	vv0
,	,	y
'	'	ge
rock	rock	nn1
star	star	nn1
'	'	ge
has	have	vhz
a	a	at1
lot	lot	nn1
of	of	io
--		nn1
has	have	vhz
a	a	at1
lot	lot	nn1
of	of	io
--		nn1_jj
there	there	ex
's	be	vbz
--		zz
there	there	ex
's	be	vbz
other	other	jj
job	job	nn1
qualifications	qualification	nn2
you	you	ppy
need	need	vv0
for	for	if
'	'	ge
rock	rock	nn1
star	star	nn1
'	'	ge
...	...	...
@(Photographs-of-Phi)		zzc
@!Mr-ANASTASIO		zzq
:	:	y
...	...	...
that	that	dd1_cst
--		nn1_jj
that	that	cst
do	do	vd0
n't	n't	xx
have	have	vhi
anything	anything	pn1
to	to	to
do	do	vdi
with	with	iw
being	be	vbg
a	a	at1
musician	musician	nn1
.	.	y
You	you	ppy
have	have	vh0
to	to	to
act	act	vvi
like	like	ii
an	a	at1
idiot	idiot	nn1
,	,	y
publicly	publicly	rr
.	.	y
No	no	uh
,	,	y
you	you	ppy
know	know	vv0
,	,	y
you	you	ppy
have	have	vh0
to	to	to
go	go	vvi
to	to	to
award	award	vvi
shows	show	nn2
and	and	cc
stuff	stuff	nn1
,	,	y
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
's	be	vbz
the	the	at
thing	thing	nn1
,	,	y
you	you	ppy
can	can	vm
get	get	vvi
caught	catch	vvn
up	up	rp
in	in	ii
that	that	dd1
.	.	y
It	it	pph1
's	be	vbz
a	a	at1
lot	lot	nn1
of	of	io
fun	fun	nn1_jj
,	,	y
but	but	ccb
it	it	pph1
's	be	vbz
not	not	xx
as	as	rg
fun	fun	jj
as	as	csa
writing	write	vvg_nn1
music	music	nn1
.	.	y
@(Photographs-of-Ana)		zzc
@!OSGOOD		zzq
:	:	y
(	(	y
Voiceover	voiceover	np1
)		np1
After	after	ii
collaborating	collaborate	vvg
with	with	iw
some	some	dd
of	of	io
the	the	at
best	best	rrt_jjt
in	in	ii
the	the	at
business	business	nn1
,	,	y
guitar	guitar	nn1
virtuosos	virtuoso	nn2
like	like	ii
B.B.	bb	np1
King	king	nn1_np1@
and	and	cc
Neil	neil	np1
Young	young	np1
,	,	y
Trey	trey	np1
has	have	vhz
re-connected	reconnect	vvn
with	with	iw
the	the	at
man	man	nn1
who	who	pnqs
first	first	md
taught	teach	vvd_vvn
him	him	ppho1
how	how	rrq
to	to	to
write	write	vvi
music	music	nn1
,	,	y
his	his	appge
long	long	jj
time	time	nnt1
mentor	mentor	nn1
,	,	y
composer	composer	nn1
Ernie	ernie	np1
Stires.	stires	np1
@(Footage-of-Anastas)		zzc
@!Mr-ERNIE-STIRES-@1		zzq
:	:	y
You	you	ppy
have	have	vh0
to	to	to
find	find	vvi
the	the	at
originality	originality	nn1
within	within	ii
the	the	at
mind	mind	nn1
of	of	io
the	the	at
guy	guy	nn1
and	and	cc
help	help	vv0
him	him	ppho1
to	to	to
do	do	vdi
it	it	pph1
,	,	y
and	and	cc
maybe	maybe	rr
he	he	pphs1
has	have	vhz
it	it	pph1
and	and	cc
maybe	maybe	rr
he	he	pphs1
does	do	vdz
n't	n't	xx
.	.	y
But	but	ccb
if	if	cs
he	he	pphs1
's	be	vbz
original	original	jj
,	,	y
and	and	cc
Trey	trey	np1
is	be	vbz
,	,	y
that	that	dd1
's	be	vbz
what	what	ddq
I	i	ppis1
spotted	spot	vvd
.	.	y
@(Footage-of-Vermont)		zzc
@!OSGOOD		zzq
:	:	y
(	(	y
Voiceover	voiceover	np1
)		np1
So	so	cs@_rr
he	he	pphs1
pushed	push	vvd
his	his	appge
most	most	rgt
famous	famous	jj
student	student	nn1
further	far	rrr
.	.	y
Ernie	ernie	np1@_nn1
had	have	vhd
the	the	at
idea	idea	nn1
of	of	io
putting	put	vvg
Trey	trey	np1_nn1@
together	together	rl
with	with	iw
the	the	at
Vermont	vermont	np1
Youth	youth	nn1
Orchestra	orchestra	nn1
.	.	y
@!Mr-TROY-PETERS-@1C		zzq
:	:	y
They	they	pphs2
're	be	vbr
actually	actually	rr
in	in	ii
tempo	tempo	nn1
here	here	rl
.	.	y
@!Mr-ANASTASIO		zzq
:	:	y
Oh	oh	uh
!	!	y
I	i	ppis1
was	be	vbdz
probably	probably	rr
more	more	rgr
timid	timid	jj
than	than	csn
they	they	pphs2
were	be	vbdr
in	in	ii
the	the	at
sense	sense	nn1
that	that	cst
I	i	ppis1
've	have	vh0
never	never	rr
played	play	vvn
with	with	iw
an	a	at1
orchestra	orchestra	nn1
before	before	rt
,	,	y
and	and	cc
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
could	could	vm
n't	n't	xx
get	get	vvi
used	used	jj
to	to	ii
,	,	y
like	like	cs%_vv0@
there	there	ex
's	be	vbz
no	no	at
beat	beat	nn1
.	.	y
Unidentified	unidentified	jj
Girl	girl	nn1
1	1	mc1
:	:	y
You	you	ppy
know	know	vv0
,	,	y
you	you	ppy
could	could	vm
tell	tell	vvi
he	he	pphs1
was	be	vbdz
nervous	nervous	jj
.	.	y
And	and	cc
especially	especially	rr
because	because	cs
I	i	ppis1_zz1%_mc1%
--		zz
you	you	ppy
know	know	vv0
,	,	y
I	i	ppis1
sit	sit	vv0
right	right	rr_nn1_jj
next	next	ii21
to	to	ii22
him	him	ppho1
,	,	y
and	and	cc
I	i	ppis1
could	could	vm
definitely	definitely	rr
tell	tell	vvi
.	.	y
Unidentified	unidentified	jj
Girl	girl	nn1
2	2	mc
:	:	y
I	i	ppis1
never	never	rr
imagined	imagine	vvd
myself	myself	ppx1
,	,	y
like	like	rr
,	,	y
actually	actually	rr
watching	watch	vvg
a	a	at1
rock	rock	nn1
star	star	vvi
.	.	y
It	it	pph1
was	be	vbdz
so	so	rg_rr
cool	cool	jj
to	to	to
see	see	vvi
him	him	ppho1
play	play	vvi
,	,	y
and	and	cc
just	just	rr_jj@
--		zz
he	he	pphs1
kind	kind	rr21%
of	of	rr22
stepped	step	vvn_vvd
out	out	ii21
of	of	ii22
persona	persona	nn1
,	,	y
I	i	ppis1
guess	guess	vv0
,	,	y
a	a	at1
little	little	jj
bit	bit	nn1
.	.	y
It	it	pph1
was	be	vbdz
--		zz
I	i	ppis1
do	do	vd0
n't	n't	xx
know-		jj_nn1
,	,	y
t	t	zz1
was	be	vbdz
really	really	rr
cool	cool	jj_vv0@
to	to	to
watch	watch	vvi
him	him	ppho1
.	.	y
@(Footage-of-Vermont)		zzc
@!Mr-PETERS		zzq
:	:	y
I	i	ppis1
think	think	vv0
the	the	at
kids	kid	nn2
loved	love	vvd_vvn
it	it	pph1
,	,	y
to	to	to
be	be	vbi
honest	honest	jj
with	with	iw
you	you	ppy
.	.	y
To	to	to
see	see	vvi
him	him	ppho1
,	,	y
this	this	dd1
big	big	jj
star	star	nn1
,	,	y
sit	sit	vv0
down	down	rp
in	in	ii31
front	front	ii32
of	of	ii33
them	them	ppho2
and	and	cc
be	be	vbi
almost	almost	rr
intimidated	intimidate	vvn
,	,	y
you	you	ppy
know	know	vv0
.	.	y
It	it	pph1
made	make	vvd
them	them	ppho2
realize	realize	vvi
that	that	cst
this	this	dd1
was	be	vbdz
something	something	pn1
special	special	jj
.	.	y
@!OSGOOD		zzq
:	:	y
(	(	y
Voiceover	voiceover	np1
)		np1
More	more	dar
than	than	csn
just	just	rr
inviting	inviting	jj_vvg
Trey	trey	nn1@_np1
to	to	to
play	play	vvi
with	with	iw
his	his	appge
students	student	nn2
,	,	y
conductor	conductor	nn1
Troy	troy	np1_nn1@
Peters	peter	vvz@
invited	invite	vvn
him	him	ppho1
to	to	to
compose	compose	vvi
for	for	if
them	them	ppho2
,	,	y
too	too	rr@
.	.	y
@!Mr-ANASTASIO		zzq
:	:	y
And	and	cc
you	you	ppy
know	know	vv0
what	what	ddq
?	?	y
This	this	dd1
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
should	should	vm
be	be	vbi
.	.	y
There	there	ex
should	should	vm
be	be	vbi
air	air	nn1
,	,	y
there	there	ex
should	should	vm
be	be	vbi
...	...	...
@!Mr-PETERS		zzq
:	:	y
Mm-hmm	mm-hmm	uh
.	.	y
@!OSGOOD		zzq
:	:	y
(	(	y
Voiceover	voiceover	np1
)		np1
For	for	if
Trey	trey	np1
,	,	y
the	the	at
opportunity	opportunity	nn1
was	be	vbdz
a	a	at1
first	first	md
.	.	y
@!Mr-ANASTASIO		zzq
:	:	y
The	the	at
orchestral	orchestral	jj
world	world	nn1
can	can	vm
be	be	vbi
a	a	rr21_at1
little	little	rr22_jj
judgmental	judgmental	jj
of	of	io
a	a	at1
rock	rock	nn1
star	star	nn1
handing	hand	vvg
them	them	ppho2
a	a	at1
score	score	nn1
.	.	y
@(Footage-of-musical)		zzc
@!Mr-ANASTASIO		zzq
