##2000173		
None	none	pn
have	have	vhi
hit	hit	vvn
a	a	at1
submerged	submerged	jj
object	object	nn1
and	and	cc
capsized	capsize	vvn
.	.	y
It	it	pph1
could	could	vm
have	have	vhi
been	be	vbn
dismasted	dismasted	vvn@
,	,	y
and	and	cc
the	the	at
broken	broken	jj
mast	mast	nn1
,	,	y
caught	catch	vvn_vvd
in	in	ii_rp@
a	a	at1
network	network	nn1
of	of	io
rigging	rigging	nn1_vvg
,	,	y
slammed	slam	vvd_vvn@
like	like	ii
a	a	at1
battering	battering	nn1_jj@
ram	ram	nn1
against	against	ii
the	the	at
hull	hull	nn1
by	by	ii
the	the	at
raging	raging	jj
sea	sea	nn1
.	.	y
Using	use	vvg
the	the	at
three	three	mc
bursts	burst	nn2
received	receive	vvn
by	by	ii
the	the	at
Goose	goose	nn1
Bay	bay	nn1
ground	ground	nn1
station	station	nn1
to	to	to
fix	fix	vvi
the	the	at
location	location	nn1
,	,	y
Canada	canada	np1
's	's	ge
control	control	nn1
center	center	nn1
estimated	estimate	vvd_vvn
that	that	cst
the	the	at
EPIRB	epirb	nn1_np1
had	have	vhd
been	be	vbn
activated	activate	vvn
some	some	dd
300	300	mc
miles	mile	nnu2
due	due	jj
south	south	nd1
of	of	io
Plant	plant	nn1
's	's	ge
last	last	md
known	known	jj@_vvn
location	location	nn1
,	,	y
a	a	at1
site	site	nn1
that	that	cst
made	make	vvd
little	little	da1_jj
sense	sense	nn1
to	to	ii
anyone	anyone	pn1
--	--	x
unless	unless	cs
Plant	plant	nn1
had	have	vhd
aborted	abort	vvn
his	his	appge
crossing	crossing	nn1
and	and	cc
had	have	vhd
decided	decide	vvn
to	to	to
sail	sail	vvi
for	for	if
Bermuda	bermuda	np1
.	.	y
Still	still	rr
,	,	y
that	that	dd1
was	be	vbdz
where	where	rrq_cs
the	the	at
air	air	nn1
search	search	nn1
began	begin	vvd
Nov.	nov	npm1
13	13	mc
.	.	y
Four	four	mc
C-130	c-130	fo
aircraft	aircraft	nn
from	from	ii
the	the	at
U.S.	us	np1
Coast	coast	nn1
Guard	guard	nn1_vv0
,	,	y
two	two	mc
P-3	p-3	fo
aircraft	aircraft	nn
from	from	ii
the	the	at
U.S.	us	np1
Navy	navy	nn1
,	,	y
plus	plus	ii
two	two	mc
Canadian	canadian	jj
C-130s	c-130s	mc2
searched	search	vvd
the	the	at
Atlantic	atlantic	np1
for	for	if
six	six	mc
days	day	nnt2
,	,	y
eventually	eventually	rr
expanding	expand	vvg
the	the	at
hunt	hunt	nn1
to	to	to
include	include	vvi
a	a	at1
site	site	nn1
500	500	mc
miles	mile	nnu2
north	north	nd1
of	of	io
the	the	at
Azores	azores	np2
in	in	ii
the	the	at
hopes	hope	nn2
that	that	cst_dd1
Plant	plant	nn1_vv0
was	be	vbdz
proceeding	proceed	vvg
toward	toward	ii
France	france	np1
under	under	ii
jury	jury	nn1
rig	rig	nn1
.	.	y
The	the	at
search	search	nn1
was	be	vbdz
suspended	suspend	vvn
the	the	at
evening	evening	nnt1
of	of	io
Nov.	nov	npm1
18	18	mc
.	.	y
Three	three	mc
days	day	nnt2
later	later	rrr
,	,	y
working	work	vvg
with	with	iw
data	data	nn
provided	provide	vvn
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
,	,	y
Mass.	mass	np1
,	,	y
Plant	plant	nn1
's	's	ge
family	family	nn1
convinced	convince	vvd@_vvn@
the	the	at
Coast	coast	nn1
Guard	guard	vv0_nn1
that	that	cst
their	their	appge
fix	fix	nn1
on	on	ii
the	the	at
location	location	nn1
had	have	vhd
been	be	vbn
erroneous	erroneous	jj
and	and	cc
that	that	cst
they	they	pphs2
were	be	vbdr
searching	search	vvg
in	in	ii
the	the	at
wrong	wrong	jj
place	place	nn1
.	.	y
On	on	ii
Nov.	nov	npm1
20	20	mc
the	the	at
order	order	nn1
was	be	vbdz
made	make	vvn
to	to	to
resume	resume	vvi
the	the	at
search	search	nn1
,	,	y
weather	weather	nn1_vv0@
permitting	permit	vvg
,	,	y
in	in	ii
a	a	at1
location	location	nn1
northeast	northeast	nd1
of	of	io
the	the	at
Azores	azores	np2
.	.	y
"	"	y
We	we	ppis2
know	know	vv0
Michael	michael	np1
's	be	vbz_ge
out	out	rp
there	there	rl
,	,	y
"	"	y
said	say	vvd
Tom	tom	np1
Plant	plant	nn1_vv0
.	.	y
"	"	y
We	we	ppis2
're	be	vbr
tremendously	tremendously	rr
hopeful	hopeful	jj
.	.	y
If	if	cs
I	i	ppis1
were	be	vbdr
to	to	to
select	select	vvi
anyone	anyone	pn1
to	to	to
get	get	vvi
through	through	ii_rp@
this	this	dd1
,	,	y
it	it	pph1
would	would	vm
be	be	vbi
him	him	ppho1
.	.	y
But	but	ccb
what	what	ddq
are	be	vbr
the	the	at
chances	chance	nn2
of	of	io
no	no	rr
one	one	mc1
seeing	see	vvg
him	him	ppho1
?	?	y
I	i	ppis1
just	just	rr
do	do	vd0
n't	n't	xx
know	know	vvi
.	.	y
That	that	dd1
's	be	vbz
what	what	ddq
's	be	vbz
so	so	rg_rr
frustrating	frustrating	jj
.	.	y
"	"	y
When	when	cs
the	the	at
boat	boat	nn1
was	be	vbdz
found	find	vvn
on	on	ii
Sunday	sunday	npd1
,	,	y
capsized	capsize	vvd
,	,	y
it	it	pph1
became	become	vvd
clear	clear	rr@_jj
why	why	rrq
no	no	pn121
one	one	pn122
had	have	vhd
spotted	spot	vvn_jj
Coyote	coyote	nn1
for	for	if
almost	almost	rr
a	a	at1
month	month	nnt1
.	.	y
Overturned	overturn	vvn_vvd_jj@
,	,	y
the	the	at
hull	hull	nn1
's	's	ge
black	black	jj
bottom	bottom	nn1_jj
and	and	cc
keel	keel	nn1_vv0
blended	blend	vvd_vvn_jj
perfectly	perfectly	rr
with	with	iw
the	the	at
waters	water	nn2
of	of	io
the	the	at
North	north	nd1
Atlantic	atlantic	np1
,	,	y
making	make	vvg
it	it	pph1
extraordinarily	extraordinarily	rr
difficult	difficult	jj
to	to	to
spot	spot	vvi
from	from	ii
the	the	at
air	air	nn1
.	.	y
"	"	y
Finding	find	vvg
the	the	at
boat	boat	nn1
has	have	vhz
answered	answer	vvn
some	some	dd
questions	question	nn2
,	,	y
and	and	cc
has	have	vhz
given	give	vvn
us	us	ppio2
a	a	at1
whole	whole	jj
new	new	jj
set	set	nn1
of	of	io
questions	question	nn2
to	to	to
puzzle	puzzle	vvi
over	over	rp
,	,	y
"	"	y
said	say	vvd
Darryl	darryl	np1
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
,	,	y
who	who	pnqs
as	as	ii21
of	of	ii22
Monday	monday	npd1
was	be	vbdz
still	still	rr
waiting	wait	vvg
in	in	ii
Les	les	np1
Sables	sable	np2
d'Olonne	d'olonne	np1
.	.	y
"	"	y
Nobody	nobody	pn1
here	here	rl
has	have	vhz
lost	lose	vvn
any	any	dd
hope	hope	nn1
.	.	y
"	"	y
<p>	<p>	y
##2000655		
All	all	rr@
pheasant	pheasant	nn1
hunters	hunter	nn2
have	have	vh0
felt	feel	vvn
the	the	at
frustration	frustration	nn1
of	of	io
pursuing	pursue	vvg
a	a	at1
bird	bird	nn1
that	that	cst_dd1
refuses	refuse	vvz
to	to	to
fly	fly	vvi
.	.	y
But	but	ccb
here	here	rl
are	be	vbr
some	some	dd
tricks	trick	nn2
you	you	ppy
can	can	vm
use	use	vvi
to	to	to
launch	launch	vvi
these	these	dd2
gaudy	gaudy	jj
gamebirds	gamebird	nn2
--	--	x
without	without	iw
having	have	vhg
to	to	to
deploy	deploy	vvi
an	a	at1
army	army	nn1
of	of	io
hunters	hunter	nn2
.	.	y
I	i	ppis1
'd	have	vm_vhd
barely	barely	rr
walked	walk	vvn
into	into	ii
one	one	mc1
end	end	nn1
of	of	io
the	the	at
cover	cover	nn1
when	when	cs_rrq
I	i	ppis1
saw	see	vvd
them	them	ppho2
.	.	y
The	the	at
three	three	mc
cock	cock	nn1
pheasants	pheasant	nn2
had	have	vhd
already	already	rr
stepped	step	vvn
from	from	ii
the	the	at
other	other	jj
side	side	nn1
of	of	io
the	the	at
draw	draw	nn1@
.	.	y
They	they	pphs2
paced	pace	vvd
about	about	rp@
for	for	if
a	a	at1
while	while	nnt1@
,	,	y
heads	head	nn2_vvz@
upright	upright	rl
and	and	cc
tails	tail	nn2
held	hold	vvd_vvn
arrogantly	arrogantly	rr
at	at	ii
half-mast	half-mast	rr
.	.	y
Rather	rather	cs21
than	than	cs22
duck	duck	vvi
back	back	rp
into	into	ii
the	the	at
shelter	shelter	nn1
of	of	io
the	the	at
brush-choked	brush-choked	jj_nn1
drainage	drainage	nn1
,	,	y
the	the	at
trio	trio	nn1
did	do	vdd
what	what	ddq
pheasants	pheasant	nn2
do	do	vdi
best	best	jjt_rrt
--	--	x
they	they	pphs2
ran	run	vvd
.	.	y
With	with	iw
heads	head	nn2
and	and	cc
tails	tail	nn2
clamped	clamp	vvd_vvn
close	close	rr_jj
to	to	ii
the	the	at
ground	ground	nn1
,	,	y
they	they	pphs2
crossed	cross	vvd
a	a	at1
two-track	two-track	jj_nn1
farm	farm	nn1
trail	trail	nn1_vv0
,	,	y
looking	look	vvg
like	like	ii
feathered	feathered	jj
armadillos	armadillo	nn2
as	as	csa
they	they	pphs2
entered	enter	vvd
a	a	at1
long	long	jj
strip	strip	nn1
of	of	io
prairie	prairie	nn1
grass	grass	nn1
.	.	y
As	as	csa
it	it	pph1
often	often	rr
does	do	vdz
when	when	rrq_cs
I	i	ppis1
see	see	vv0
running	running	jj_vvg_nn1
ringnecks	ringnecks	nn2
,	,	y
my	my	appge
mind	mind	nn1
turned	turn	vvd_vvn
to	to	ii
the	the	at
Texan	texan	nn1
.	.	y
I	i	ppis1
met	meet	vvd
the	the	at
man	man	nn1
and	and	cc
hunted	hunt	vvn_vvd_jj
with	with	iw
his	his	appge
"	"	y
pointas	pointas	nn2
"	"	y
on	on	ii
the	the	at
second	second	md
day	day	nnt1
of	of	io
his	his	appge
first	first	md
pheasant	pheasant	nn1
hunt	hunt	nn1
.	.	y
Born	born	vvn_jj@
and	and	cc
raised	raise	vvn_vvd
with	with	iw
the	the	at
gentlemanly	gentlemanly	jj
patience	patience	nn1
of	of	io
bobwhite	bobwhite	nn1
quail	quail	nn_vv0
,	,	y
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
pheasants	pheasant	nn2
.	.	y
"	"	y
These	these	dd2
damn	damn	jj_vv0
birds	bird	nn2
wo	will	vm
n't	n't	xx
give	give	vvi
my	my	appge
dogs	dog	nn2
a	a	at1
chance	chance	nn1
,	,	y
"	"	y
he	he	pphs1
half-screamed	half-screamed	jj_nn1
,	,	y
the	the	at
veins	vein	nn2
rising	rise	vvg
in	in	ii_rp@
his	his	appge
face	face	nn1
like	like	ii
pipelines	pipeline	nn2
across	across	ii
the	the	at
tundra	tundra	nn1
.	.	y
"	"	y
How	how	rrq_rgq@
in	in	ii
the	the	at
hell	hell	nn1
are	be	vbr
you	you	ppy
supposed	supposed	jj
to	to	to
hunt	hunt	vvi
birds	bird	nn2
that	that	cst
do	do	vd0
n't	n't	xx
play	play	vvi
fair	fair	jj
--	--	x
they	they	pphs2
,	,	y
they	they	pphs2
,	,	y
they	they	pphs2
,	,	y
RUN	run	vv0_nn1
!	!	y
"	"	y
Anyone	anyone	pn1
who	who	pnqs
was	be	vbdz
raised	raise	vvn
in	in	ii
pheasant	pheasant	nn1
country	country	nn1
can	can	vm
tell	tell	vvi
you	you	ppy
pheasants	pheasant	nn2
are	be	vbr
born	born	vvn
to	to	to
run	run	vvi
.	.	y
We	we	ppis2
see	see	vv0
them	them	ppho2
running	run	vvg_jj
just	just	jj@_rr
days	day	nnt2
from	from	ii
the	the	at
egg	egg	nn1
,	,	y
fist-sized	fist-sized	jj
fuzzballs	fuzzballs	nn2
sprinting	sprint	vvg
over	over	rp
and	and	cc
around	around	ii_rp
dirt	dirt	nn1
clods	clod	nn2_vvz
and	and	cc
grass	grass	nn1
clumps	clump	nn2
.	.	y
And	and	cc
anyone	anyone	pn1
who	who	pnqs
has	have	vhz
sunk	sink	vvn
his	his	appge
teeth	tooth	nn2
into	into	ii
the	the	at
tendon	tendon	nn1
and	and	cc
gristle-filled	gristle-filled	jj_nn1
leg	leg	nn1
of	of	io
a	a	at1
cooked	cooked	jj
autumn	autumn	nnt1
rooster	rooster	nn1
knows	know	vvz
that	that	cst
the	the	at
bird	bird	nn1
's	's	ge
running	running	nn1_vvg
is	be	vbz
a	a	at1
trait	trait	nn1
that	that	cst_dd1
intensifies	intensify	vvz
with	with	iw
age	age	nn1
.	.	y
At	at	ii
one	one	mc1
time	time	nnt1
or	or	cc
another	another	dd1
,	,	y
running	run	vvg_jj
pheasants	pheasant	nn2
have	have	vh0
frustrated	frustrate	vvn
all	all	db
who	who	pnqs
have	have	vh0
hunted	hunt	vvn
them	them	ppho2
.	.	y
Many	many	da2
hunters	hunter	nn2
head	head	vv0@_nn1
home	home	rl_nn1
in	in	ii
defeat	defeat	nn1
.	.	y
Others	other	npx
,	,	y
those	those	dd2
who	who	pnqs
are	be	vbr
consistently	consistently	rr
successful	successful	jj
,	,	y
play	play	vv0
the	the	at
game	game	nn1
by	by	ii
the	the	at
ringneck	ringneck	nn1
's	's	ge
rules	rule	nn2
--	--	x
with	with	iw
deception	deception	nn1
and	and	cc
ingenuity	ingenuity	nn1
.	.	y
I	i	mc1@_zz1@_ppis1
and	and	cc
my	my	appge
hunting	hunting	nn1
companions	companion	nn2
,	,	y
renowned	renowned	jj
gun-fitter	gun-fitter	nn1_jj
Michael	michael	np1
Murphy	murphy	np1
and	and	cc
Chris	chris	np1
Dorsey	dorsey	np1
,	,	y
author	author	nn1
of	of	io
Pheasant	pheasant	nn1
Days	day	nnt2
,	,	y
moved	move	vvd_vvn
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
coursings	coursings	nn2
of	of	io
the	the	at
pair	pair	nn
of	of	io
retrievers	retriever	nn2
that	that	cst_dd1
quartered	quarter	vvd@_vvn
in	in	ii31
front	front	ii32
of	of	ii33
us	us	ppio2
.	.	y
Talk	talk	nn1_vv0
was	be	vbdz
nonexistent	nonexistent	jj
.	.	y
A	a	at1
maze	maze	nn1
of	of	io
fresh	fresh	jj
pheasant	pheasant	nn1
tracks	track	nn2_vvz@
in	in	ii
the	the	at
snow	snow	nn1
told	tell	vvd_vvn
the	the	at
story	story	nn1
well	well	rr
enough	enough	rr_dd
.	.	y
Birds	bird	nn2_np1
were	be	vbdr
running	run	vvg
in	in	ii
the	the	at
bluestem	bluestem	nn1
,	,	y
buffalo	buffalo	nn1
and	and	cc
switch	switch	vv0_nn1
grasses	grass	nn2
,	,	y
somewhere	somewhere	rl
between	between	ii
us	us	ppio2
and	and	cc
the	the	at
two	two	mc
orange	orange	jj
specks	speck	nn2
that	that	cst
stood	stand	vvd
as	as	csa_ii@
blockers	blocker	nn2
at	at	ii
the	the	at
end	end	nn1
of	of	io
the	the	at
field	field	nn1
.	.	y
Things	thing	nn2
began	begin	vvd
to	to	to
happen	happen	vvi
when	when	rrq_cs
we	we	ppis2
were	be	vbdr
close	close	rr@_jj
enough	enough	rr_dd
to	to	to
make	make	vvi
out	out	rp
the	the	at
faces	face	nn2
of	of	io
our	our	appge
blockers	blocker	nn2
.	.	y
The	the	at
first	first	md
rooster	rooster	nn1
to	to	to
flush	flush	vvi
tried	tried	jj@_vvd_vvn@
to	to	to
fly	fly	vvi
between	between	ii
the	the	at
two	two	mc
,	,	y
and	and	cc
one	one	mc1
of	of	io
the	the	at
hunters	hunter	nn2
,	,	y
I	i	ppis1
'm	be	vbm
not	not	xx
sure	sure	jj_rr%
which	which	ddq
,	,	y
cleanly	cleanly	rr
folded	fold	vvn_vvd@
the	the	at
bird	bird	nn1
.	.	y
Sensing	sense	vvg
the	the	at
trap	trap	nn1
,	,	y
several	several	da2
cockbirds	cockbirds	nn2
wisely	wisely	rr
made	make	vvn_vvd
side	side	nn1
exits	exit	vvz_nn2
out	out	ii21
of	of	ii22
range	range	nn1
of	of	io
the	the	at
walkers	walker	nn2
and	and	cc
blockers	blocker	nn2
.	.	y
Most	most	dat
of	of	io
the	the	at
birds	bird	nn2
,	,	y
however	however	rr
,	,	y
turned	turn	vvd_vvn
from	from	ii
runners	runner	nn2
to	to	ii
sitters	sitter	nn2
,	,	y
and	and	cc
the	the	at
real	real	jj
excitement	excitement	nn1
began	begin	vvd
.	.	y
Scent	scent	nn1_vv0@
filling	fill	vvg
their	their	appge
noses	nose	nn2
,	,	y
the	the	at
two	two	mc
retrievers	retriever	nn2
thrashed	thrash	vvd_vvn
their	their	appge
tails	tail	nn2
wildly	wildly	rr
as	as	csa
they	they	pphs2
plunged	plunge	vvd
into	into	ii
the	the	at
last	last	md
25	25	mc
yards	yard	nn2
of	of	io
cover	cover	nn1
.	.	y
One	one	mc1
second	second	nnt1
the	the	at
sky	sky	nn1
was	be	vbdz
empty	empty	jj
.	.	y
The	the	at
next	next	md
it	it	pph1
was	be	vbdz
full	full	jj
of	of	io
pheasants	pheasant	nn2
.	.	y
I	i	ppis1
responded	respond	vvd
with	with	iw
my	my	appge
usual	usual	jj
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
then	then	rt
rebounding	rebound	vvg
to	to	to
drop	drop	vvi
a	a	at1
crossing	crossing	nn1
rooster	rooster	nn1
.	.	y
Turning	turning	nn1_vvg
,	,	y
I	i	ppis1
got	get	vvd
to	to	to
see	see	vvi
how	how	rrq
it	it	pph1
should	should	vm
be	be	vbi
done	do	vdn
when	when	cs
Dorsey	dorsey	np1
dropped	drop	vvd
a	a	at1
clean	clean	jj
double	double	nn1
.	.	y
The	the	at
other	other	jj_nn1@
three	three	mc
shooters	shooter	nn2
had	have	vhd
connected	connect	vvn
also	also	rr
.	.	y
As	as	csa_ii@
my	my	appge
golden	golden	jj
retriever	retriever	nn1
,	,	y
Mysti	mysti	np1_nn1
,	,	y
and	and	cc
Murphy	murphy	np1
's	's	ge
Lab	lab	nn1
,	,	y
Tasha	tasha	np1
,	,	y
gleaned	glean	vvd_vvn
the	the	at
area	area	nn1
for	for	if
the	the	at
half-dozen	half-dozen	m
downed	downed	jj@_vvd
birds	bird	nn2
and	and	cc
any	any	dd
late	late	jj
risers	riser	nn2
,	,	y
I	i	ppis1
scanned	scan	vvd
the	the	at
cover	cover	nn1
we	we	ppis2
'd	have	vhd
walked	walk	vvn
.	.	y
Some	some	dd
of	of	io
the	the	at
pheasants	pheasant	nn2
had	have	vhd
trotted	trot	vvn
a	a	at1
quarter-mile	quarter-mile	nnu1_jj
before	before	ii
falling	fall	vvg
into	into	ii
a	a	at1
perfect	perfect	jj
trap	trap	nn1
.	.	y
But	but	ccb
such	such	da
setups	setup	nn2
do	do	vd0
n't	n't	xx
just	just	rr
happen	happen	vvi
.	.	y
Those	those	dd2
who	who	pnqs
successfully	successfully	rr
hunt	hunt	vv0
pheasants	pheasant	nn2
,	,	y
whether	whether	csw
a	a	at1
red	red	jj
fox	fox	nn1
using	use	vvg
its	its	z'
quickness	quickness	nn1
or	or	cc
a	a	at1
sportsman	sportsman	nn1
with	with	iw
his	his	appge
shotgun	shotgun	nn1
,	,	y
rely	rely	vv0
heavily	heavily	rr
on	on	ii
stealth	stealth	nn1
and	and	cc
surprise	surprise	nn1
.	.	y
Over	over	ii
the	the	at
years	year	nnt2
I	i	ppis1
've	have	vh0
watched	watch	vvn
thousands	thousand	m
of	of	io
pheasants	pheasant	nn2
flush	flush	vv0_rr
from	from	ii
the	the	at
middle	middle	nn1
of	of	io
cover	cover	nn1
because	because	cs
they	they	pphs2
've	have	vh0
seen	see	vvn
or	or	cc
heard	hear	vvd
the	the	at
blockers	blocker	nn2
moving	move	vvg
into	into	ii
position	position	nn1
.	.	y
But	but	ccb
the	the	at
pheasants	pheasant	nn2
in	in	ii
the	the	at
prairie	prairie	nn1
grass	grass	nn1
patch	patch	nn1
on	on	ii
this	this	dd1
Kansas	kansas	np1
hunt	hunt	nn1
had	have	vhd
no	no	at
such	such	da
warning	warning	nn1
.	.	y
The	the	at
blockers	blocker	nn2
had	have	vhd
circled	circle	vvn
widely	widely	rr
,	,	y
and	and	cc
had	have	vhd
come	come	vvn
in	in	ii_rp@
quietly	quietly	rr
and	and	cc
out	out	ii21
of	of	ii22
sight	sight	nn1
.	.	y
Had	have	vhd
they	they	pphs2
the	the	at
opportunity	opportunity	nn1
,	,	y
the	the	at
blockers	blocker	nn2
would	would	vm
have	have	vhi
used	use	vvn
natural	natural	jj_rr@
cover	cover	nn1_vv0
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
or	or	cc
a	a	at1
bush	bush	nn1
to	to	to
break	break	vvi
their	their	appge
outline	outline	nn1
while	while	cs
they	they	pphs2
waited	wait	vvd
.	.	y
Because	because	cs
the	the	at
ground	ground	nn1
was	be	vbdz
flat	flat	jj
and	and	cc
covered	cover	vvn_vvd
with	with	iw
nothing	nothing	pn1
but	but	ii
a	a	at1
waist-high	waist-high	jj
carpet	carpet	nn1
of	of	io
grass	grass	nn1
,	,	y
they	they	pphs2
stood	stand	vvd
statue-still	statue-still	jj
and	and	cc
silent	silent	jj
where	where	cs
the	the	at
cover	cover	nn1
met	meet	vvd_vvn
a	a	at1
mowed	mowed	jj@
path	path	nn1
.	.	y
Sometimes	sometimes	rt
,	,	y
however	however	rr
,	,	y
the	the	at
very	very	jj
end	end	nn1
of	of	io
the	the	at
field	field	nn1
is	be	vbz
n't	n't	xx
the	the	at
best	best	jjt_rrt
place	place	nn1_vv0
to	to	ii
post	post	nn1_ii@
a	a	at1
blocker	blocker	nn1
.	.	y
Pheasants	pheasant	nn2
will	will	vm
quite	quite	rg_rr@
often	often	rr
flush	flush	vvi
where	where	rrq_cs
a	a	at1
cover	cover	nn1
makes	make	vvz
a	a	at1
change	change	nn1
in	in	ii
direction	direction	nn1
.	.	y
For	for	rex21
example	example	rex22
,	,	y
one	one	mc1
of	of	io
my	my	appge
favorite	favorite	jj_nn1
opening-day	opening-day	jj_nnt1
coverts	covert	nn2
is	be	vbz
a	a	at1
meandering	meandering	jj@_nn1@
creek	creek	nn1
bottom	bottom	nn1
.	.	y
My	my	appge
hunting	hunting	nn1
partner	partner	nn1
Mark	mark	np1
Grinter	grinter	np1
learned	learn	vvd
long	long	rr
ago	ago	ra
that	that	cst
the	the	at
birds	bird	nn2
would	would	vm
streak	streak	vvi
along	along	rp
just	just	rr
inside	inside	ii
the	the	at
cover	cover	nn1
then	then	rt
flush	flush	vv0_rr
at	at	ii
the	the	at
corners	corner	nn2
where	where	rrq_cs
the	the	at
covert	covert	nn1@_jj
made	make	vvd_vvn
a	a	at1
bend	bend	nn1
.	.	y
Through	through	ii
the	the	at
years	year	nnt2
,	,	y
he	he	pphs1
's	be	vbz_vhz@
taken	take	vvn
many	many	da2
limits	limit	nn2
by	by	ii
sneaking	sneak	vvg
into	into	ii
position	position	nn1
at	at	ii
such	such	da
curves	curve	nn2
.	.	y
Walkers	walker	nn2_np2
need	need	vv0
to	to	to
show	show	vvi
similar	similar	jj
fore-thought	fore-thought	nn1
and	and	cc
determination	determination	nn1
.	.	y
The	the	at
quickest	quickest	jjt
way	way	nn1
to	to	to
ruin	ruin	vvi
a	a	at1
good	good	jj
pheasant	pheasant	nn1
drive	drive	nn1
is	be	vbz
to	to	to
flush	flush	vvi
the	the	at
birds	bird	nn2
out	out	ii21
of	of	ii22
range	range	nn1
.	.	y
In	in	ii
the	the	at
best	best	jjt_rrt
of	of	io
situations	situation	nn2
,	,	y
the	the	at
walkers	walker	nn2
should	should	vm
enter	enter	vvi
a	a	at1
cover	cover	nn1
unseen	unseen	jj
and	and	cc
should	should	vm
work	work	vvi
it	it	pph1
with	with	iw
a	a	at1
minimum	minimum	nn1
of	of	io
noise	noise	nn1
.	.	y
Loud	loud	rr
talking	talk	vvg
or	or	cc
unnecessary	unnecessary	jj
shots	shot	nn2
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
into	into	ii
the	the	at
best	best	jjt_rrt
of	of	io
plans	plan	nn2
.	.	y
And	and	cc
trying	try	vvg
to	to	to
pin	pin	vvi
down	down	rp
running	run	vvg_jj
pheasants	pheasant	nn2
is	be	vbz
one	one	mc1
case	case	nn1
where	where	cs_rrq
more	more	dar_rrr
is	be	vbz
n't	n't	xx
always	always	rr
better	better	jjr
.	.	y
It	it	pph1
seems	seem	vvz
like	like	ii
eight	eight	mc
hunters	hunter	nn2
make	make	vv0
10	10	mc
times	time	nnt2
the	the	at
commotion	commotion	nn1
of	of	io
four	four	mc
.	.	y
A	a	at1
total	total	nn1_jj
of	of	io
five	five	mc
guns	gun	nn2
is	be	vbz
close	close	jj
to	to	ii
my	my	appge
maximum	maximum	nn1_jj
.	.	y
A	a	at1
trio	trio	nn1
of	of	io
hunters	hunter	nn2
can	can	vm
work	work	vvi
most	most	dat_rrt@
covers	cover	nn2_vvz
well	well	rr
using	use	vvg
two	two	mc
walkers	walker	nn2
moving	move	vvg
towards	towards	ii
a	a	at1
single	single	jj
blocker	blocker	nn1
.	.	y
A	a	at1_zz1
pair	pair	nn
of	of	io
coordinated	coordinated	jj
gunners	gunner	nn2
can	can	vm
be	be	vbi
a	a	at1
deadly	deadly	jj
duo	duo	nn1
by	by	ii
working	work	vvg
narrow	narrow	jj
covers	cover	nn2
such	such	ii21
as	as	ii22
treelines	treeline	nn2
,	,	y
ditches	ditch	nn2
and	and	cc
the	the	at
like	like	jj
.	.	y
The	the	at
standard	standard	jj_nn1
walker/blocker	walker/blocker	nn1
tactic	tactic	nn1
can	can	vm
work	work	vvi
well	well	rr
,	,	y
as	as	csa
can	can	vm_nn1%
having	have	vhg
both	both	rr_db2
hunters	hunter	nn2
moving	move	vvg
towards	towards	ii
each	each	ppx221
other	other	ppx222
.	.	y
(	(	y
Remember	remember	vv0
,	,	y
safety	safety	nn1
must	must	vm
be	be	vbi
the	the	at
primary	primary	jj_nn1
concern	concern	nn1
when	when	cs
using	use	vvg
blockers	blocker	nn2
on	on	ii
a	a	at1
pheasant	pheasant	nn1
hunt	hunt	nn1
.	.	y
No	no	xx
matter	matter	nn1
how	how	rgqv33
tempting	tempting	jj
,	,	y
no	no	at
straightforward	straightforward	jj
shot	shot	nn1
should	should	vm
ever	ever	rr
be	be	vbi
taken	take	vvn
because	because	cs
the	the	at
bird	bird	nn1
could	could	vm
be	be	vbi
in	in	ii31
line	line	ii32
with	with	ii33
the	the	at
blocker	blocker	nn1
.	.	y
)	)	y
Even	even	rr
a	a	at1
solo	solo	nn1_jj@
hunter	hunter	nn1
can	can	vm
outmaneuver	outmaneuver	vvi
running	running	jj_vvg
pheasants	pheasant	nn2
by	by	ii
using	use	vvg
a	a	at1
variety	variety	nn1
of	of	io
ploys	ploy	nn2
.	.	y
One	one	pn1_mc1
is	be	vbz
to	to	to
simply	simply	rr
stay	stay	vvi
with	with	iw
them	them	ppho2
until	until	cs
they	they	pphs2
hold	hold	vv0
.	.	y
A	a	at1_zz1
single	single	jj
hunter	hunter	nn1
hustling	hustle	vvg
to	to	to
stay	stay	vvi
behind	behind	ii
a	a	at1
good	good	jj
dog	dog	nn1
can	can	vm
eventually	eventually	rr
catch	catch	vvi
up	up	rp
with	with	iw
a	a	at1
surprising	surprising	jj
number	number	nn1
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
wonders	wonder	nn2
as	as	rr21_rg
