##4001166		
ABSTRACT	abstract	jj_nn1@_vv0@
to	to	ii33
counseling	counseling	nn1
(	(	y
Berg	berg	np1
&;	&;	x
Stone	stone	np1@_nn1
,	,	y
1980	1980	mc
;	;	y
Holloway	holloway	np1
&;	&;	x
Wolleat	wolleat	np1
,	,	y
1980	1980	mc
)	)	y
.	.	y
<p>	<p>	y
Two	two	mc
general	general	jj
hypotheses	hypothesis	nn2
related	relate	vvn_vvd
to	to	ii
counseling	counseling	nn1
have	have	vh0
been	be	vbn
derived	derive	vvn
from	from	ii
CL	cl	np1
theory	theory	nn1
.	.	y
The	the	at
first	first	md
(	(	y
represented	represent	vvn
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
or	or	cc
counselor	counselor	nn1
training	training	nn1
setting	setting	nn1
is	be	vbz
inherently	inherently	rr
ambiguous	ambiguous	jj
and	and	cc
poorly	poorly	rr_jj
structured	structure	vvn_jj
,	,	y
high-CL	high-cl	np1
counselors	counselor	nn2
or	or	cc
counselor	counselor	nn1
trainees	trainee	nn2
will	will	vm
tend	tend	vvi
to	to	to
perform	perform	vvi
better	better	rrr_jjr
than	than	csn
their	their	appge
low-CL	low-cl	np1
counterparts	counterpart	nn2_vvz@
on	on	ii
average	average	nn1_jj
.	.	y
The	the	at
second	second	md
general	general	jj_nn1
hypothesis	hypothesis	nn1
(	(	y
represented	represent	vvn
by	by	ii
Type	type	nn1
B	b	zz1
studies	study	nn2
)	)	y
is	be	vbz
that	that	cst
high-CL	high-cl	np1
counselors	counselor	nn2
or	or	cc
trainees	trainee	nn2
will	will	vm
perform	perform	vvi
relatively	relatively	rr
better	better	rrr_jjr
in	in	ii
more	more	rgr_dar
ambiguous	ambiguous	jj
and	and	cc
unstructured	unstructured	jj
situations	situation	nn2
,	,	y
whereas	whereas	cs
low-CL	low-cl	np1
counselors	counselor	nn2
or	or	cc
trainees	trainee	nn2
will	will	vm
perform	perform	vvi
relatively	relatively	rr
better	better	rrr_jjr
in	in	ii
more	more	rgr_dar
structured	structured	jj
situations	situation	nn2
.	.	y
A	a	at1
corollary	corollary	nn1
is	be	vbz
that	that	dd1_cst
counseling	counseling	nn1
will	will	vm
be	be	vbi
more	more	rgr
effective	effective	jj
when	when	cs_rrq
counselor	counselor	nn1
and	and	cc
client	client	nn1
are	be	vbr
matched	match	vvn
on	on	ii
the	the	at
basis	basis	nn1
of	of	io
their	their	appge
CL	cl	np1
(	(	y
high	high	jj_rr@
with	with	iw
high	high	jj
,	,	y
low	low	jj_rr@
with	with	iw
low	low	jj
)	)	y
.	.	y
Conceptualizing	conceptualize	vvg_np1@
and	and	cc
Measuring	measure	vvg_jj@
Counselor	counselor	np1
CL	cl	np1
<p>	<p>	y
Miller	miller	np1
(	(	y
1981	1981	mc
)	)	y
described	describe	vvd_vvn
conceptual	conceptual	jj
systems	system	nn2
theory	theory	nn1
as	as	ii
"	"	y
a	a	at1
personality	personality	nn1
theory	theory	nn1
that	that	cst_dd1
focuses	focus	vvz
on	on	ii
individual	individual	jj_nn1
differences	difference	nn2
in	in	ii
social	social	jj
cognition	cognition	nn1
within	within	ii
a	a	at1
developmental	developmental	jj
framework	framework	nn1
"	"	y
(	(	y
p.	xx_p	nnu
34	34	mc
)	)	y
and	and	cc
proposed	propose	vvd_vvn_jj
that	that	cst
the	the	at
theory	theory	nn1
characterizes	characterize	vvz
persons	person	nn2
in	in	ii31
terms	terms	ii32
of	of	ii33
the	the	at
structure	structure	nn1
and	and	cc
content	content	nn1
of	of	io
their	their	appge
conceptual	conceptual	jj
systems	system	nn2
.	.	y
In	in	ii
most	most	dat
accounts	account	nn2
,	,	y
conceptual	conceptual	jj
system	system	nn1
complexity	complexity	nn1
is	be	vbz
identified	identify	vvn
as	as	ii_csa
the	the	at
key	key	jj_nn1
element	element	nn1
,	,	y
where	where	cs_rrq
high	high	jj
levels	level	nn2
of	of	io
complexity	complexity	nn1
imply	imply	vv0
high	high	jj
levels	level	nn2
of	of	io
both	both	db2_rr
cognitive	cognitive	jj
differentiation	differentiation	nn1
and	and	cc
cognitive	cognitive	jj
integration	integration	nn1
(	(	y
Miller	miller	np1
&;	&;	x
Wilson	wilson	np1
,	,	y
1979	1979	mc
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
and	and	cc
cognitive	cognitive	jj
integration	integration	nn1
go	go	vv0
together	together	rl
,	,	y
others	others	nn2
(	(	y
notably	notably	rr
Miller	miller	np1
,	,	y
1981	1981	mc
)	)	y
have	have	vh0
commented	comment	vvn
that	that	cst
the	the	at
relationship	relationship	nn1
between	between	ii
these	these	dd2
two	two	mc
cognitive	cognitive	jj
structure	structure	nn1
qualities	quality	nn2
is	be	vbz
far	far	rg21
from	from	rg22
clear	clear	jj
in	in	ii
that	that	dd1
"	"	y
high	high	jj
differentiation	differentiation	nn1
may	may	vm
actually	actually	rr
hinder	hinder	vvi
the	the	at
development	development	nn1
of	of	io
integrative	integrative	jj
skills	skill	nn2
"	"	y
(	(	y
p.	xx_p	nnu
35	35	mc
)	)	y
.	.	y
<p>	<p>	y
In	in	ii
a	a	at1
counseling	counseling	nn1
interview	interview	nn1
,	,	y
a	a	at1
counselor	counselor	nn1
must	must	vm
not	not	xx
only	only	rr
be	be	vbi
able	able	jk
to	to	to
make	make	vvi
differentiations	differentiation	nn2
and	and	cc
discriminations	discrimination	nn2
in	in	ii31
relation	relation	ii32
to	to	ii33
client	client	nn1
behavior	behavior	nn1
and	and	cc
experiences	experience	nn2
in	in	ii
the	the	at
course	course	nn1
of	of	io
a	a	at1
counseling	counseling	nn1
interview	interview	nn1
or	or	cc
series	series	nn
of	of	io
interviews	interview	nn2
,	,	y
but	but	ccb
must	must	vm
also	also	rr
be	be	vbi
selective	selective	jj
so	so	bcl21
as	as	bcl22
to	to	to
use	use	vvi
the	the	at
most	most	rgt
relevant	relevant	jj
information	information	nn1
and	and	cc
be	be	vbi
able	able	jk
to	to	to
integrate	integrate	vvi
this	this	dd1
information	information	nn1
so	so	bcl21
as	as	bcl22
to	to	to
respond	respond	vvi
appropriately	appropriately	rr
to	to	ii
the	the	at
client	client	nn1
's	's	ge
real	real	jj
needs	need	nn2
.	.	y
It	it	pph1
is	be	vbz
suggested	suggest	vvn
that	that	cst
the	the	at
methods	method	nn2
of	of	io
measuring	measure	vvg_jj@
counselor	counselor	nn1
CL	cl	np1
used	use	vvd
most	most	rgt
frequently	frequently	rr
emphasize	emphasize	vv0
the	the	at
differentiation	differentiation	nn1
and	and	cc
discrimination	discrimination	nn1
aspect	aspect	nn1
of	of	io
CL	cl	np1
but	but	ccb
fail	fail	vv0
to	to	to
address	address	vvi
adequately	adequately	rr
the	the	at
selection	selection	nn1
and	and	cc
integration	integration	nn1
of	of	io
information	information	nn1
aspect	aspect	nn1
.	.	y
<p>	<p>	y
The	the	at
most	most	rgt
widely	widely	rr
used	used	jj_vvn
procedure	procedure	nn1
for	for	if
estimating	estimate	vvg
CL	cl	np1
involves	involve	vvz
participants	participant	nn2
undertaking	undertake	vvg
a	a	at1
paragraph-	paragraph-	nn1_jj
or	or	cc
sentence-completion	sentence-completion	jj_nn1
task	task	nn1
by	by	ii
writing	write	vvg
personal	personal	jj
responses	response	nn2
to	to	ii
a	a	at1
series	series	nn
of	of	io
topics	topic	nn2
(	(	y
Harvey	harvey	np1
,	,	y
1966	1966	mc
;	;	y
Hunt	hunt	np1
,	,	y
Butler	butler	np1
,	,	y
Noy	noy	np1_nn1
,	,	y
&;	&;	x
Rosser	rosser	np1
,	,	y
1978	1978	mc
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
.	.	y
Responses	response	nn2
are	be	vbr
rated	rate	vvn
for	for	if
their	their	appge
level	level	nn1
of	of	io
conceptual	conceptual	jj
abstractness	abstractness	nn1
,	,	y
in	in	ii
which	which	ddq
higher	high	jjr
ratings	rating	nn2
are	be	vbr
given	give	vvn
for	for	if
expression	expression	nn1
of	of	io
several	several	da2
alternatives	alternative	nn2
and	and	cc
the	the	at
ability	ability	nn1
to	to	to
hold	hold	vvi
multiple	multiple	jj_nn1
viewpoints	viewpoint	nn2
(	(	y
Hunt	hunt	np1
,	,	y
1970a	1970a	fo
)	)	y
.	.	y
This	this	dd1
assessment	assessment	nn1
procedure	procedure	nn1
assumes	assume	vvz
that	that	cst_dd1
structural	structural	jj
complexity	complexity	nn1
necessarily	necessarily	rr
implies	imply	vvz
structural	structural	jj
integration	integration	nn1
.	.	y
However	however	rr
,	,	y
apparent	apparent	jj
complexity	complexity	nn1
can	can	vm
be	be	vbi
associated	associate	vvn
with	with	iw
disintegration	disintegration	nn1
,	,	y
and	and	cc
the	the	at
standard	standard	jj_nn1
rating	rating	nn1_vvg
systems	system	nn2
appear	appear	vv0
not	not	xx
to	to	to
take	take	vvi
this	this	dd1
into	into	ii
account	account	nn1
in	in	ii
estimating	estimate	vvg
an	a	at1
individual	individual	nn1
's	's	ge_vbz
apparent	apparent	jj
CL	cl	np1
.	.	y
<p>	<p>	y
The	the	at
second	second	md
procedure	procedure	nn1
for	for	if
assessing	assess	vvg
CL	cl	np1
is	be	vbz
to	to	to
use	use	vvi
a	a	at1
role	role	nn1
construct	construct	vv0
repertory	repertory	nn1
grid	grid	nn1
technique	technique	nn1
,	,	y
based	base	vvn
on	on	ii
proposals	proposal	nn2
by	by	ii
Bieri	bieri	np1
(	(	y
1955	1955	mc
)	)	y
,	,	y
to	to	to
measure	measure	vvi
a	a	at1
participant	participant	nn1
's	's	ge
level	level	nn1
of	of	io
cognitive	cognitive	jj
complexity	complexity	nn1
.	.	y
Carr	carr	np1
's	's	ge
(	(	y
1965	1965	mc
)	)	y
Interpersonal	interpersonal	jj
Discrimination	discrimination	nn1
Test	test	nn1
requires	require	vvz
participants	participant	nn2
to	to	ii
rate	rate	nn1
a	a	at1
set	set	nn1
of	of	io
significant	significant	jj
other	other	jj
individuals	individual	nn2
using	use	vvg
a	a	at1
list	list	nn1
of	of	io
bipolar	bipolar	jj
adjective	adjective	nn1
pairs	pair	nn2
(	(	y
or	or	cc
constructs	construct	nn2
)	)	y
.	.	y
A	a	zz1
(	(	y
relatively	relatively	rr
)	)	y
cognitively	cognitively	rr
simple	simple	jj
participant	participant	nn1
will	will	vm
apply	apply	vvi
the	the	at
bipolar	bipolar	jj
adjectives	adjective	nn2
in	in	ii_rp@
much	much	rr
the	the	at
same	same	da
way	way	nn1
to	to	ii
most	most	dat
of	of	io
the	the	at
individuals	individual	nn2
in	in	ii
the	the	at
set	set	nn1
,	,	y
whereas	whereas	cs
a	a	at1
cognitively	cognitively	rr
complex	complex	jj
participant	participant	nn1
will	will	vm
apply	apply	vvi
the	the	at
adjectives	adjective	nn2
differently	differently	rr
to	to	ii
individuals	individual	nn2
in	in	ii
the	the	at
set	set	nn1
.	.	y
<p>	<p>	y
Several	several	da2
quantitative	quantitative	jj
procedures	procedure	nn2
can	can	vm
be	be	vbi
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
;	;	y
such	such	ii21
as	as	ii22
the	the	at
percentage	percentage	nn1
of	of	io
variance	variance	nn1
in	in	ii
the	the	at
individual	individual	nn1_jj
x	x	zz1_ii@_mc@
Adjectives	adjective	nn2
rating	rate	vvg_nn1
grid	grid	nn1
accounted	account	vvn
for	for	if
by	by	ii
the	the	at
first	first	md
principal	principal	jj_nn1
component	component	nn1
of	of	io
the	the	at
grid	grid	nn1
:	:	y
the	the	at
smaller	small	jjr
the	the	at
percentage	percentage	nn1
,	,	y
the	the	at
more	more	rgr
cognitively	cognitively	rr
complex	complex	jj_nn1
is	be	vbz
the	the	at
individual	individual	nn1_jj
.	.	y
The	the	at
major	major	jj
shortcoming	shortcoming	nn1
with	with	iw
all	all	db
such	such	da
grid	grid	nn1
rating	rating	nn1_vvg
analysis	analysis	nn1
procedures	procedure	nn2
is	be	vbz
that	that	cst
they	they	pphs2
fail	fail	vv0
to	to	to
distinguish	distinguish	vvi
true	true	jj
cognitive	cognitive	jj
complexity	complexity	nn1
from	from	ii
cognitive	cognitive	jj
disorganization	disorganization	nn1
--	--	x
or	or	cc
even	even	rr
random	random	jj
responding	respond	vvg
--	--	x
because	because	cs
all	all	db
three	three	mc
processes	process	nn2
will	will	vm
result	result	vvi
in	in	ii
low	low	jj
correlations	correlation	nn2
among	among	ii
the	the	at
bipolar	bipolar	jj
adjective	adjective	nn1
pairs	pair	nn2
.	.	y
<p>	<p>	y
Both	both	db2
of	of	io
these	these	dd2
most	most	rgt
frequently	frequently	rr
used	used	jj_vvn
approaches	approach	nn2
to	to	ii
the	the	at
measurement	measurement	nn1
of	of	io
CL	cl	np1
are	be	vbr
therefore	therefore	rr
potentially	potentially	rr
inadequate	inadequate	jj
.	.	y
Each	each	dd1
may	may	vm
be	be	vbi
sensitive	sensitive	jj
to	to	ii
the	the	at
differentiation	differentiation	nn1
and	and	cc
discrimination	discrimination	nn1
components	component	nn2
of	of	io
CL	cl	np1
but	but	ccb
fail	fail	vv0
to	to	to
tap	tap	vvi
the	the	at
integration	integration	nn1
,	,	y
or	or	cc
quality	quality	nn1
of	of	io
organization	organization	nn1
,	,	y
component	component	nn1
implied	imply	vvn_vvd
in	in	ii
the	the	at
CL	cl	np1
construct	construct	vv0
.	.	y
<p>	<p>	y
A	a	at1
further	far	jjr@
shortcoming	shortcoming	nn1
of	of	io
the	the	at
standard	standard	jj_nn1
paragraph-	paragraph-	nn1_jj
or	or	cc
sentence-completion	sentence-completion	jj_nn1
method	method	nn1
for	for	if
measuring	measure	vvg
CL	cl	np1
in	in	ii
counseling	counseling	nn1
research	research	nn1
is	be	vbz
that	that	cst
the	the	at
topics	topic	nn2
involved	involve	vvn
are	be	vbr
very	very	rg
general	general	jj
and	and	cc
have	have	vh0
little	little	da1
overlap	overlap	nn1
with	with	iw
the	the	at
domain	domain	nn1
of	of	io
interpersonal	interpersonal	jj
helping	helping	nn1
:	:	y
for	for	rex21
example	example	rex22
,	,	y
"	"	y
When	when	cs_rrq
I	i	ppis1
am	be	vbm
in	in	ii
doubt	doubt	nn1
...	...	...
"	"	y
or	or	cc
"	"	y
What	what	ddq
I	i	ppis1
think	think	vv0
about	about	ii
rules	rule	nn2
...	...	...
"	"	y
(	(	y
Harvey	harvey	np1
et	et	ra21
al.	al	ra22
,	,	y
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
issue	issue	nn1
when	when	cs_rrq
he	he	pphs1
reported	report	vvd
non-significant	nonsignificant	jj
correlations	correlation	nn2
between	between	ii
scores	score	nn2
on	on	ii
the	the	at
standard	standard	jj_nn1
paragraph-completion	paragraph-completion	jj_nn1
measure	measure	nn1
of	of	io
CL	cl	np1
and	and	cc
scores	score	nn2_vvz@
on	on	ii
his	his	appge
Teacher	teacher	nn1
Adaptability	adaptability	nn1
Index	index	nn1
,	,	y
a	a	at1
CL	cl	np1
measure	measure	nn1_vv0
with	with	iw
teaching-specific	teaching-specific	jj
content	content	nn1
:	:	y
<p>	<p>	y
The	the	at
most	most	rgt
likely	likely	jj
explanation	explanation	nn1
for	for	if
these	these	dd2
low	low	jj
correlations	correlation	nn2
is	be	vbz
the	the	at
very	very	rg
generalized	generalized	jj
,	,	y
non-specific	non-specific	jj
nature	nature	nn1
of	of	io
the	the	at
Conceptual	conceptual	jj
Level	level	nn1
(	(	y
CL	cl	np1_fo%
)	)	y
measure	measure	nn1_vv0
.	.	y
When	when	cs
a	a	at1
CL-type	cl-type	jj_nn1
Index	index	nn1
is	be	vbz
put	put	vvn
into	into	ii
a	a	at1
more	more	rgr
domain-specific	domain-specific	jj
content	content	nn1_jj
,	,	y
as	as	csa_ii
the	the	at
"	"	y
Attitude	attitude	nn1
to	to	ii
Teaching	teach	vvg
"	"	y
measure	measure	nn1
,	,	y
the	the	at
relationship	relationship	nn1
is	be	vbz
considerably	considerably	rr
higher	high	jjr
.	.	y
(	(	y
p.	xx_p	nnu
333	333	mc
)	)	y
<p>	<p>	y
This	this	dd1
explanation	explanation	nn1
implies	imply	vvz
that	that	cst
the	the	at
paragraph-	paragraph-	nn1_jj
and	and	cc
sentence-completion	sentence-completion	jj_nn1
methods	method	nn2
typically	typically	rr
used	use	vvn_vvd
to	to	ii
measure	measure	nn1
CL	cl	np1
as	as	ii_csa
a	a	at1
global	global	jj
quality	quality	nn1
of	of	io
counselors	counselor	nn2
'	'	ge
conceptual	conceptual	jj
systems	system	nn2
may	may	vm
be	be	vbi
unable	unable	jk
to	to	to
show	show	vvi
that	that	cst
CL	cl	np1
is	be	vbz
related	relate	vvn
strongly	strongly	rr
to	to	ii
performance	performance	nn1
in	in	ii
actual	actual	jj
counseling	counseling	nn1
interviews	interview	nn2
because	because	cs
the	the	at
item	item	nn1
content	content	nn1
is	be	vbz
related	relate	vvn
only	only	rr
tenuously	tenuously	rr
to	to	ii
the	the	at
specific	specific	jj
interpersonal	interpersonal	jj
demands	demand	nn2
of	of	io
the	the	at
counseling	counseling	nn1
situation	situation	nn1
.	.	y
<p>	<p>	y
In	in	ii31
addition	addition	ii32
to	to	ii33
these	these	dd2
potential	potential	jj
shortcomings	shortcoming	nn2
in	in	ii
methods	method	nn2
of	of	io
measuring	measure	vvg_jj@
counselor	counselor	nn1
CL	cl	np1
,	,	y
there	there	ex
is	be	vbz
little	little	da1_jj
evidence	evidence	nn1
that	that	cst
the	the	at
different	different	jj
approaches	approach	nn2
tap	tap	vv0
the	the	at
same	same	da
psychological	psychological	jj
processes	process	nn2
.	.	y
Whereas	whereas	cs
the	the	at
Paragraph	paragraph	nn1
Completion	completion	nn1
Test	test	nn1
(	(	y
Schroder	schroder	np1
et	et	ra21
al.	al	ra22
,	,	y
1967	1967	mc
)	)	y
and	and	cc
the	the	at
Paragraph	paragraph	nn1
Completion	completion	nn1
Method	method	nn1
(	(	y
Hunt	hunt	np1
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
gives	give	vvz
results	result	nn2
correlated	correlate	vvn_vvd
with	with	iw
those	those	dd2
of	of	io
Harvey	harvey	np1
's	's	ge
(	(	y
1966	1966	mc
)	)	y
This	this	dd1
I	i	ppis1
Believe	believe	vv0
Test	test	nn1
(	(	y
Miller	miller	np1
,	,	y
1978	1978	mc
)	)	y
.	.	y
Vannoy	vannoy	np1@_nn1
(	(	y
1965	1965	mc
)	)	y
found	find	vvd
that	that	cst
the	the	at
Paragraph	paragraph	nn1
Completion	completion	nn1
Test	test	nn1
was	be	vbdz
unrelated	unrelated	jj
to	to	ii
cognitive	cognitive	jj
complexity	complexity	nn1
scores	score	nn2
derived	derive	vvn
from	from	ii
interpersonal	interpersonal	jj
bipolar	bipolar	jj
adjective	adjective	nn1
rating	rating	nn1_vvg
grids	grid	nn2
.	.	y
This	this	dd1
apparent	apparent	jj
lack	lack	nn1
of	of	io
convergent	convergent	jj
validity	validity	nn1
among	among	ii
CL	cl	np1
measures	measure	vvz@_nn2
casts	cast	nn2_vvz
doubt	doubt	vv0_nn1
on	on	ii
the	the	at
comparability	comparability	nn1
of	of	io
research	research	nn1
findings	finding	nn2
based	base	vvn
on	on	ii
different	different	jj
approaches	approach	nn2
to	to	ii
CL	cl	np1
measurement	measurement	nn1
.	.	y
<p>	<p>	y
This	this	dd1
discussion	discussion	nn1
of	of	io
the	the	at
shortcomings	shortcoming	nn2
in	in	ii
methods	method	nn2
currently	currently	rr
used	use	vvn_vvd
to	to	ii
measure	measure	nn1
counselor	counselor	nn1
CL	cl	np1
suggests	suggest	vvz
that	that	cst_dd1
,	,	y
regardless	regardless	rr
of	of	io
any	any	dd
potential	potential	jj_nn1
merits	merit	nn2
of	of	io
CL	cl	np1
theory	theory	nn1
in	in	ii31
relation	relation	ii32
to	to	ii33
counseling	counseling	nn1
and	and	cc
counselor	counselor	nn1
training	training	nn1
,	,	y
problematic	problematic	jj
aspects	aspect	nn2
of	of	io
current	current	jj
methods	method	nn2
of	of	io
measuring	measure	vvg_jj@
counselor	counselor	nn1
CL	cl	np1
make	make	vv0
it	it	pph1
difficult	difficult	jj
for	for	if
researchers	researcher	nn2
to	to	to
actually	actually	rr
demonstrate	demonstrate	vvi
a	a	at1
strong	strong	jj
relationship	relationship	nn1
between	between	ii
counselor	counselor	nn1
CL	cl	np1
and	and	cc
performance	performance	nn1
.	.	y
Reviews	review	nn2
of	of	io
Research	research	nn1
on	on	ii
CL	cl	np1
and	and	cc
Counseling	counseling	nn1
<p>	<p>	y
Two	two	mc
reviews	review	nn2
of	of	io
research	research	nn1
on	on	ii
counseling	counseling	nn1
and	and	cc
CL	cl	np1
have	have	vh0
been	be	vbn
reported	report	vvn
(	(	y
Holloway	holloway	np1
&;	&;	x
Wampold	wampold	np1
,	,	y
1986	1986	mc
;	;	y
Stoppard	stoppard	np1
&;	&;	x
Miller	miller	np1
,	,	y
1985	1985	mc
)	)	y
,	,	y
covering	cover	vvg
28	28	mc
published	published	jj@_vvd
studies	study	nn2
and	and	cc
revealing	revealing	jj_vvg
considerable	considerable	jj
diversity	diversity	nn1
,	,	y
making	make	vvg
it	it	pph1
difficult	difficult	jj
to	to	to
draw	draw	vvi
general	general	jj_nn1
conclusions	conclusion	nn2
:	:	y
Two	two	mc
characteristics	characteristic	nn2
on	on	ii
which	which	ddq
studies	study	nn2
differed	differ	vvn_vvd
seem	seem	vv0
particularly	particularly	rr
important	important	jj
.	.	y
The	the	at
first	first	md
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
or	or	cc
counselor	counselor	nn1
trainees	trainee	nn2
)	)	y
,	,	y
or	or	cc
whether	whether	csw
it	it	pph1
focused	focus	vvd
on	on	ii_rp@
other	other	jj
kinds	kind	nn2
of	of	io
individuals	individual	nn2
,	,	y
such	such	ii21
as	as	ii22
clients	client	nn2
or	or	cc
research	research	nn1_vv0@
volunteers	volunteer	nn2
.	.	y
Clearly	clearly	rr
,	,	y
conclusions	conclusion	nn2
about	about	ii
counselor	counselor	nn1
CL	cl	np1
and	and	cc
performance	performance	nn1
based	base	vvn
on	on	ii
data	data	nn
generated	generate	vvn
by	by	ii
individuals	individual	nn2
other	other	ii21
than	than	ii22
counselors	counselor	nn2
are	be	vbr
somewhat	somewhat	rr
uncertain	uncertain	jj
,	,	y
given	given	cs21
that	that	cs22
differing	differ	vvg_jj
motivational	motivational	jj
sets	set	nn2
would	would	vm
probably	probably	rr
be	be	vbi
brought	bring	vvn
to	to	ii
the	the	at
research	research	nn1
task	task	nn1
by	by	ii
participants	participant	nn2
other	other	ii21
than	than	ii22
counselors	counselor	nn2
.	.	y
<p>	<p>	y
The	the	at
second	second	md
characteristic	characteristic	nn1
is	be	vbz
whether	whether	csw
the	the	at
dependent	dependent	jj_nn1@
,	,	y
or	or	cc
outcome	outcome	nn1
,	,	y
variables	variable	nn2
used	use	vvn_vvd
in	in	ii
a	a	at1
particular	particular	jj
study	study	nn1
were	be	vbdr
based	base	vvn
on	on	ii
counseling	counseling	nn1
interviews	interview	nn2
,	,	y
or	or	cc
whether	whether	csw
they	they	pphs2
involved	involve	vvd
some	some	dd
other	other	jj
analog	analog	nn1
procedure	procedure	nn1
,	,	y
such	such	ii21
as	as	ii22
responding	respond	vvg
to	to	ii
written	written	jj@
or	or	cc
taped	taped	jj
client	client	nn1
statement	statement	nn1
vignettes	vignette	nn2
.	.	y
Several	several	da2
authors	author	nn2
have	have	vh0
drawn	draw	vvn
attention	attention	nn1
to	to	ii
the	the	at
fact	fact	nn1
that	that	cst_dd1
noninterview-based	noninterview-based	jj_nn1
measures	measure	nn2
of	of	io
counselor	counselor	nn1
performance	performance	nn1
are	be	vbr
related	relate	vvn
tenuously	tenuously	rr
,	,	y
at	at	rr21
best	best	rr22
,	,	y
to	to	ii
counseling	counseling	nn1
interview	interview	nn1
effectiveness	effectiveness	nn1
(	(	y
Ford	ford	np1
,	,	y
1979	1979	mc
;	;	y
Matarazzo	matarazzo	np1
,	,	y
1978	1978	mc
)	)	y
.	.	y
In	in	rr21
addition	addition	rr22
,	,	y
as	as	csa
Miller	miller	np1
(	(	y
1981	1981	mc
)	)	y
noted	note	vvd_vvn
,	,	y
CL	cl	np1
differences	difference	nn2
are	be	vbr
most	most	rgt
likely	likely	jj
to	to	to
find	find	vvi
expression	expression	nn1
in	in	ii
complex	complex	jj
interpersonal	interpersonal	jj
behaviors	behavior	nn2
rather	rather	ii21_cs21@
than	than	ii22_cs22@
in	in	ii_rp@
relatively	relatively	rr
simple	simple	jj
tasks	task	nn2
such	such	ii21
as	as	ii22
responding	respond	vvg
to	to	ii
multiple	multiple	jj_nn1
choice	choice	nn1
counseling	counseling	nn1
response	response	nn1
tests	test	nn2
or	or	cc
writing	write	vvg_nn1
responses	response	nn2
to	to	ii
written	written	jj@
client	client	nn1
statements	statement	nn2
.	.	y
<p>	<p>	y
Stoppard	stoppard	nn1_np1@
and	and	cc
Miller	miller	np1
(	(	y
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
the	the	at
question	question	nn1
of	of	io
matching	matching	jj_vvg_nn1
individuals	individual	nn2
'	'	ge
CL	cl	np1
with	with	iw
the	the	at
level	level	nn1
of	of	io
environmental	environmental	jj
structure	structure	nn1
(	(	y
Type	type	nn1
g	g	zz1
research	research	nn1_vv0@
studies	study	nn2
)	)	y
.	.	y
This	this	dd1
was	be	vbdz
a	a	at1
traditional	traditional	jj
voting	voting	nn1
or	or	cc
box	box	nn1
score	score	nn1_vv0
review	review	nn1
;	;	y
Stoppard	stoppard	np1
and	and	cc
Miller	miller	np1
concluded	conclude	vvd
that	that	cst_dd1
results	result	nn2_vvz@
in	in	ii
11	11	mc
of	of	io
the	the	at
studies	study	nn2
supported	support	vvd_vvn
Hunt	hunt	np1
's	's	ge
matching	matching	jj_nn1
hypothesis	hypothesis	nn1
,	,	y
and	and	cc
they	they	pphs2
suggested	suggest	vvd
that	that	cst
the	the	at
findings	finding	nn2
warranted	warrant	vvd_vvn
further	far	jjr@_rrr
research	research	nn1_vv0@
into	into	ii
matching	matching	jj_vvg_nn1
clients	client	nn2
and	and	cc
counselors	counselor	nn2
on	on	ii
CL	cl	np1
.	.	y
However	however	rr
,	,	y
of	of	io
the	the	at
15	15	mc
studies	study	nn2
they	they	pphs2
examined	examine	vvd
,	,	y
only	only	rr
2	2	mc
used	used	jj
counselors	counselor	nn2
or	or	cc
trainee	trainee	nn1
counselors	counselor	nn2
as	as	csa_ii@
participants	participant	nn2
and	and	cc
relied	rely	vvn_vvd
on	on	ii
interviews	interview	nn2
as	as	ii_csa
a	a	at1
basis	basis	nn1
for	for	if
determining	determining	jj_vvg
outcome	outcome	nn1
.	.	y
Of	of	io
these	these	dd2
2	2	mc
studies	study	nn2
,	,	y
I	i	ppis1
reported	report	vvd
a	a	at1
significant	significant	jj
positive	positive	jj
outcome	outcome	nn1
(	(	y
McLachlan	mclachlan	np1
,	,	y
1972	1972	mc
)	)	y
;	;	y
the	the	at
other	other	jj_nn1@
(	(	y
Rosenthal	rosenthal	np1
,	,	y
1977	1977	mc
)	)	y
did	do	vdd
not	not	xx
.	.	y
The	the	at
other	other	jj_nn1@
13	13	mc
studies	study	nn2
used	used	jj_vvd_vvn
student	student	nn1
research	research	nn1
volunteers	volunteer	nn2
,	,	y
or	or	cc
clients	client	nn2
,	,	y
or	or	cc
trainee	trainee	nn1
teachers	teacher	nn2
as	as	csa_ii@
participants	participant	nn2
and/or	and/or	cc
did	do	vdd
not	not	xx
rely	rely	vvi
on	on	ii_rp@
outcomes	outcome	nn2
involving	involve	vvg
