##4002466		
Key	key	jj_nn1
more	more	dar
than	than	csn
one	one	mc1
year	year	nnt1
before	before	ii_cs
the	the	at
expeditions	expedition	nn2
began	begin	vvd
,	,	y
selecting	select	vvg
and	and	cc
mapping	map	vvg_nn1
sites	site	nn2
,	,	y
obtaining	obtain	vvg
test	test	nn1
auger	auger	nn1
samples	sample	nn2
,	,	y
meeting	meet	vvg
local	local	jj
residents	resident	nn2
,	,	y
and	and	cc
obtaining	obtain	vvg
required	required	jj
federal	federal	jj
and	and	cc
state	state	vv0_nn1
permits	permit	nn2_vvz
.	.	y
School	school	nn1
site	site	nn1
partners	partner	nn2
in	in	ii
each	each	dd1
state	state	nn1
(	(	y
teachers	teacher	nn2
and	and	cc
administrators	administrator	nn2
)	)	y
helped	help	vvd_vvn
to	to	to
determine	determine	vvi
which	which	ddq
grades	grade	nn2
and	and	cc
classes	class	nn2
would	would	vm
visit	visit	vvi
ongoing	ongoing	jj
excavations	excavation	nn2
.	.	y
Although	although	cs
several	several	da2
schools	school	nn2
wanted	want	vvd_vvn
to	to	to
bring	bring	vvi
entire	entire	jj
grades	grade	nn2
to	to	to
visit	visit	vvi
field	field	nn1
sites	site	nn2
,	,	y
administrators	administrator	nn2
limited	limit	vvn_vvd@
the	the	at
number	number	nn1
of	of	io
student	student	nn1
observers	observer	nn2
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
artifacts	artifact	nn2
and	and	cc
possible	possible	jj
injuries	injury	nn2
to	to	ii
students	student	nn2
.	.	y
<p>	<p>	y
Six	six	mc
months	month	nnt2
before	before	ii_cs
summer	summer	nnt1
expeditions	expedition	nn2
,	,	y
sponsors	sponsor	nn2
were	be	vbdr
busy	busy	jj
hiring	hiring	nn1
and	and	cc
training	training	nn1_vvg@
team	team	nn1
leaders	leader	nn2
,	,	y
promoting	promote	vvg_jj@
program	program	nn1
participation	participation	nn1
among	among	ii
schools	school	nn2
,	,	y
and	and	cc
soliciting	solicit	vvg_jj@
volunteer	volunteer	nn1
applications	application	nn2
from	from	ii
adults	adult	nn2
and	and	cc
students	student	nn2
.	.	y
Planning	plan	vvg_nn1
steps	step	nn2
during	during	ii
the	the	at
spring	spring	nn1
included	include	vvd_vvn
obtaining	obtain	vvg
medical	medical	jj
and	and	cc
personal	personal	jj
information	information	nn1
from	from	ii
volunteers	volunteer	nn2
;	;	y
gathering	gather	vvg_jj@
release-from-liability	release-from-liability	jj_nn1
forms	form	nn2
;	;	y
mailing	mail	vvg_nn1
maps	map	nn2
and	and	cc
driving	driving	jj_vvg
directions	direction	nn2
;	;	y
assembling	assemble	vvg_jj@
equipment	equipment	nn1
,	,	y
tools	tool	nn2
,	,	y
and	and	cc
foodstuffs	foodstuff	nn2
;	;	y
and	and	cc
securing	secure	vvg
approval	approval	nn1
for	for	if
high	high	jj
school	school	nn1
course	course	nn1
credit	credit	nn1
.	.	y
The	the	at
month	month	nnt1
before	before	ii_cs
their	their	appge
arrival	arrival	nn1
at	at	ii
the	the	at
expeditions	expedition	nn2
,	,	y
the	the	at
student	student	nn1
and	and	cc
adult	adult	nn1_jj@
volunteers	volunteer	nn2
received	receive	vvd_vvn
written	write	vvn_jj@
and	and	cc
electronic	electronic	jj
material	material	nn1
as	as	ii_csa
an	a	at1
orientation	orientation	nn1
to	to	ii
the	the	at
history	history	nn1
of	of	io
the	the	at
site	site	nn1
.	.	y
Teachers	teacher	nn2
will	will	vm
find	find	vvi
that	that	cst
books	book	nn2
with	with	iw
a	a	at1
regional	regional	jj
focus	focus	nn1
on	on	ii
archaeology	archaeology	nn1
are	be	vbr
useful	useful	jj
to	to	to
orient	orient	vvi
students	student	nn2
(	(	y
Mamola	mamola	np1
and	and	cc
Bloodgood	bloodgood	np1
2002	2002	mc
;	;	y
Samford	samford	np1
and	and	cc
Ribblett	ribblett	np1
1995	1995	mc
;	;	y
Zschomler	zschomler	np1
and	and	cc
Brown	brown	np1
1996	1996	mc
)	)	y
.	.	y
<p>	<p>	y
On	on	ii
the	the	at
way	way	nn1
to	to	ii
the	the	at
Alabama	alabama	np1
site	site	nn1
,	,	y
we	we	ppis2
joined	join	vvd
the	the	at
members	member	nn2
of	of	io
the	the	at
Alabama	alabama	np1
Archaeological	archaeological	jj
Society	society	nn1
in	in	ii
Montgomery	montgomery	np1
,	,	y
the	the	at
capital	capital	nn1
.	.	y
The	the	at
curator	curator	nn1
of	of	io
the	the	at
Native	native	jj
American	american	jj_nn1@
and	and	cc
antebellum	antebellum	j
collections	collection	nn2
led	lead	vvd_vvn
the	the	at
group	group	nn1
in	in	ii
a	a	at1
private	private	jj
tour	tour	nn1
of	of	io
the	the	at
extensive	extensive	jj
collections	collection	nn2
of	of	io
the	the	at
state	state	nn1
archives	archive	nn2
,	,	y
which	which	ddq
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
lived	live	vvd
in	in	ii
the	the	at
area	area	nn1
of	of	io
excavation	excavation	nn1
.	.	y
That	that	dd1
was	be	vbdz
a	a	at1
rare	rare	jj
opportunity	opportunity	nn1
not	not	xx
usually	usually	rr
offered	offer	vvn_vvd
to	to	ii
students	student	nn2
or	or	cc
the	the	at
general	general	jj_nn1
public	public	nn1
.	.	y
<p>	<p>	y
Ongoing	ongoing	jj
communication	communication	nn1
was	be	vbdz
essential	essential	jj
to	to	to
achieve	achieve	vvi
clarity	clarity	nn1
of	of	io
purpose	purpose	nn1
.	.	y
Oral	oral	jj_nn1
presentation	presentation	nn1
and	and	cc
written	written	jj@_vvn
materials	material	nn2
presented	present	vvd_vvn
volunteer	volunteer	nn1_vv0
expectations	expectation	nn2
,	,	y
responsibilities	responsibility	nn2
,	,	y
project	project	nn1_vv0@
timelines	timeline	nn2_vvz
,	,	y
and	and	cc
projected	projected	jj
outcomes	outcome	nn2
of	of	io
archaeology	archaeology	nn1
fieldwork	fieldwork	nn1
.	.	y
Working	work	vvg
at	at	ii
the	the	at
Site	site	nn1
<p>	<p>	y
When	when	cs_rrq
we	we	ppis2
arrived	arrive	vvd
at	at	ii
field	field	nn1
sites	site	nn2
in	in	ii
Virginia	virginia	np1
,	,	y
Mississippi	mississippi	np1
,	,	y
and	and	cc
Alabama	alabama	np1
,	,	y
the	the	at
project	project	nn1
sponsors	sponsor	nn2
oriented	orient	vvd
the	the	at
volunteers	volunteer	nn2
to	to	ii
the	the	at
natural	natural	jj
history	history	nn1
of	of	io
the	the	at
field	field	nn1
site	site	nn1
and	and	cc
the	the	at
lifestyles	lifestyle	nn2
and	and	cc
descendants	descendant	nn2
of	of	io
early	early	jj
inhabitants	inhabitant	nn2
.	.	y
We	we	ppis2
learned	learn	vvd
the	the	at
results	result	nn2
of	of	io
past	past	jj_nn1
work	work	nn1
and	and	cc
viewed	view	vvd_vvn
samples	sample	nn2
of	of	io
artifacts	artifact	nn2
that	that	cst
we	we	ppis2
were	be	vbdr
likely	likely	jj_rr@
to	to	to
discover	discover	vvi
.	.	y
In	in	ii
Alabama	alabama	np1
,	,	y
the	the	at
students	student	nn2
toured	tour	vvd_vvn
a	a	at1
local	local	jj
county	county	nn1
museum	museum	nn1
with	with	iw
a	a	at1
collection	collection	nn1
of	of	io
artifacts	artifact	nn2
.	.	y
<p>	<p>	y
Sponsors	sponsor	nn2
and	and	cc
educators	educator	nn2
presented	present	vvd_vvn
protocols	protocol	nn2
and	and	cc
procedures	procedure	nn2
to	to	to
follow	follow	vvi
when	when	cs
excavating	excavate	vvg
or	or	cc
identifying	identify	vvg_jj@
and	and	cc
preparing	prepare	vvg
artifacts	artifact	nn2
for	for	if
laboratory	laboratory	nn1
study	study	nn1
.	.	y
Those	those	dd2
included	include	vvn_vvd_jj%
methods	method	nn2
of	of	io
dry	dry	jj
and	and	cc
wet	wet	jj
screening	screening	nn1
,	,	y
reporting	report	vvg
significant	significant	jj
finds	find	nn2%_vvz
,	,	y
preserving	preserve	vvg
all	all	db
artifacts	artifact	nn2
,	,	y
and	and	cc
protecting	protect	vvg_jj@
excavation	excavation	nn1
sites	site	nn2
(	(	y
Mamola	mamola	np1
and	and	cc
Bloodgood	bloodgood	np1
2002	2002	mc
;	;	y
Hall	hall	nn1_np1@
2003	2003	mc
;	;	y
Passport	passport	nn1
in	in	ii
Time	time	nnt1
and	and	cc
Archaeological	archaeological	jj
Society	society	nn1
of	of	io
Virginia	virginia	np1
2001	2001	mc
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
to	to	to
apply	apply	vvi
the	the	at
scientific	scientific	jj
method	method	nn1
to	to	ii
archaeology	archaeology	nn1
fieldwork	fieldwork	nn1
.	.	y
Experienced	experienced	jj
college	college	nn1
students	student	nn2
or	or	cc
adult	adult	nn1_jj@
volunteers	volunteer	nn2
supervised	supervise	vvd_vvn
the	the	at
work	work	nn1
of	of	io
the	the	at
youngest	young	jjt
students	student	nn2
.	.	y
Our	our	appge
tasks	task	nn2
varied	vary	vvn_vvd
from	from	ii
careful	careful	jj
excavation	excavation	nn1
to	to	ii
identification	identification	nn1
and	and	cc
classification	classification	nn1
of	of	io
human	human	nn1_jj
and	and	cc
natural	natural	jj
artifacts	artifact	nn2
.	.	y
<p>	<p>	y
Historic	historic	jj
artifacts	artifact	nn2
were	be	vbdr
identified	identify	vvn
,	,	y
labeled	label	vvd
,	,	y
recorded	record	vvd_vvn
,	,	y
and	and	cc
separately	separately	rr
bagged	bag	vvn_vvd
.	.	y
All	all	db
artifacts	artifact	nn2
were	be	vbdr
separated	separate	vvn
as	as	csa_rg@_ii@
lithic	lithic	jj
(	(	y
stone	stone	nn1
or	or	cc
rock	rock	nn1
)	)	y
,	,	y
ceramics	ceramics	nn2
,	,	y
bone	bone	nn1
,	,	y
and	and	cc
historic	historic	jj
(	(	y
metal	metal	nn1
,	,	y
wood	wood	nn1
,	,	y
brick	brick	nn1
,	,	y
glass	glass	nn1
)	)	y
.	.	y
Lithics	lithics	nn2
were	be	vbdr
separated	separate	vvn_jj
,	,	y
weighed	weigh	vvd_vvn
,	,	y
labeled	label	vvd
,	,	y
and	and	cc
bagged	bag	vvd_vvn
.	.	y
Fine	fine	jj
details	detail	nn2
of	of	io
pottery	pottery	nn1
fragments	fragment	nn2
were	be	vbdr
examined	examine	vvn
,	,	y
such	such	ii21
as	as	ii22
the	the	at
grain	grain	nn1
size	size	nn1
,	,	y
type	type	nn1
of	of	io
temper	temper	nn1
,	,	y
hardness	hardness	nn1
,	,	y
surface	surface	nn1
decoration	decoration	nn1
,	,	y
average	average	jj_nn1
thickness	thickness	nn1
,	,	y
surface	surface	nn1
and	and	cc
interior	interior	jj_nn1
colors	color	nn2
,	,	y
and	and	cc
rim	rim	nn1
type	type	nn1
.	.	y
<p>	<p>	y
The	the	at
Tools	tool	nn2
We	we	ppis2
Used	use	vvd
<p>	<p>	y
Students	student	nn2
and	and	cc
adults	adult	nn2
used	use	vvd_vvn_jj
simple	simple	jj
tools	tool	nn2
and	and	cc
keen	keen	jj
observation	observation	nn1
skills	skill	nn2
.	.	y
Their	their	appge
equipment	equipment	nn1
included	include	vvd_vvn
shovels	shovel	nn2
,	,	y
trowels	trowel	nn2
,	,	y
five-gallon	five-gallon	jj
buckets	bucket	nn2
,	,	y
wheelbarrows	wheelbarrow	nn2
,	,	y
tarps	tarp	nn2_vvz
,	,	y
scale	scale	nn1_vv0@
,	,	y
wire	wire	nn1_vv0@
mesh	mesh	nn1
screen	screen	nn1
,	,	y
saw	see	vvd
horses	horse	nn2
,	,	y
graph	graph	nn1
paper	paper	nn1
,	,	y
rulers	ruler	nn2
,	,	y
plumb	plumb	jj_rr_vv0_nn1
bobs	bob	nn2_vvz
,	,	y
measuring	measure	vvg
tapes	tape	nn2
,	,	y
stakes	stake	nn2
and	and	cc
string	string	nn1
,	,	y
camera	camera	nn1
,	,	y
artifact	artifact	vv0_nn1
sizing	size	vvg_jj@
boxes	box	nn2
,	,	y
classification	classification	nn1
guides	guide	nn2
,	,	y
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
.	.	y
Because	because	cs
several	several	da2
tools	tool	nn2
required	required	jj_vvn
practice	practice	nn1
for	for	if
accurate	accurate	jj
use	use	nn1
,	,	y
students	student	nn2
worked	work	vvn_vvd
beside	beside	ii
project	project	nn1
leaders	leader	nn2
to	to	to
minimize	minimize	vvi
errors	error	nn2
of	of	io
identification	identification	nn1
and	and	cc
curation	curation	nn1
.	.	y
<p>	<p>	y
Monitoring	monitoring	nn1_vvg
and	and	cc
Evaluation	evaluation	nn1
<p>	<p>	y
All	all	db
volunteers	volunteer	nn2
were	be	vbdr
monitored	monitor	vvn
by	by	ii
project	project	nn1
leaders	leader	nn2
,	,	y
professional	professional	jj
archaeologists	archaeologist	nn2
,	,	y
historians	historian	nn2
,	,	y
and	and	cc
**26;4407;TOOLONG	**26;4407;toolong	nn1_jj
.	.	y
Levels	level	nn2
of	of	io
monitoring	monitoring	nn1
included	include	vvd_vvn
on-site	on-site	jj
review	review	nn1
by	by	ii
team	team	nn1
leaders	leader	nn2
and	and	cc
peers	peer	nn2
,	,	y
individual	individual	jj
reflection	reflection	nn1
of	of	io
tasks	task	nn2
completed	complete	vvn_vvd
(	(	y
Cooper	cooper	np1
2002	2002	mc
)	)	y
,	,	y
comparison	comparison	nn1
of	of	io
results	result	nn2
to	to	to
field	field	vvi
guides	guide	nn2
,	,	y
and	and	cc
a	a	at1
daily	daily	jj
presentation	presentation	nn1
to	to	to
share	share	vvi
discoveries	discovery	nn2
with	with	iw
project	project	nn1
leaders	leader	nn2
and	and	cc
members	member	nn2
of	of	io
other	other	jj
teams	team	nn2
.	.	y
Project	project	nn1_vv0@_np1@
leaders	leader	nn2
ensured	ensure	vvd_vvn
that	that	cst
volunteers	volunteer	nn2
were	be	vbdr
hydrated	hydrate	vvn@_jj@
and	and	cc
protected	protect	vvn_jj
from	from	ii
the	the	at
elements	element	nn2
,	,	y
and	and	cc
outdoor	outdoor	jj
work	work	nn1
was	be	vbdz
halted	halt	vvn
in	in	ii
the	the	at
event	event	nn1
of	of	io
lightning	lightning	nn1
and	and	cc
thunderstorms	thunderstorm	nn2
.	.	y
<p>	<p>	y
Leaders	leader	nn2
repeated	repeat	vvd_vvn
instructions	instruction	nn2
as	as	rg
often	often	rr
as	as	csa
necessary	necessary	jj
,	,	y
giving	give	vvg
detailed	detailed	jj
explanations	explanation	nn2
about	about	ii
the	the	at
importance	importance	nn1
of	of	io
protocol	protocol	nn1
and	and	cc
ethical	ethical	jj
practices	practice	nn2
.	.	y
Project	project	nn1_vv0@_np1@
leaders	leader	nn2
and	and	cc
professional	professional	jj
archaeologists	archaeologist	nn2
corrected	correct	vvd_vvn
our	our	appge
errors	error	nn2
,	,	y
a	a	at1
level	level	nn1
of	of	io
careful	careful	jj
supervision	supervision	nn1
rarely	rarely	rr
offered	offer	vvn_vvd
to	to	ii
volunteers	volunteer	nn2
in	in	ii
other	other	jj
settings	setting	nn2
.	.	y
Team	team	nn1_vv0@
members	member	nn2
cooperated	cooperate	vvd
,	,	y
asked	ask	vvd
questions	question	nn2
,	,	y
and	and	cc
celebrated	celebrated	jj
achievements	achievement	nn2
.	.	y
The	the	at
student	student	nn1
and	and	cc
adult	adult	nn1_jj@
volunteers	volunteer	nn2
became	become	vvd
more	more	rgr_dar
confident	confident	jj
with	with	iw
each	each	dd1
day	day	nnt1
's	's	ge
efforts	effort	nn2
and	and	cc
learned	learn	vvd_vvn
to	to	to
help	help	vvi
one	one	ppx121
another	another	ppx122
with	with	iw
difficult	difficult	jj
tasks	task	nn2
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
completed	complete	vvd_vvn
simple	simple	jj
evaluation	evaluation	nn1
forms	form	vvz_nn2
on	on	ii
which	which	ddq
they	they	pphs2
reflected	reflect	vvd
on	on	ii_rp@
their	their	appge
experience	experience	nn1
and	and	cc
offered	offer	vvd_jj@_vvn
suggestions	suggestion	nn2
to	to	ii
the	the	at
sponsors	sponsor	nn2
for	for	if
improvement	improvement	nn1
.	.	y
Each	each	dd1
volunteer	volunteer	nn1
wrote	write	vvd
of	of	io
expedition	expedition	nn1
highlights	highlight	nn2_vvz
,	,	y
satisfaction	satisfaction	nn1
with	with	iw
orientation	orientation	nn1
and	and	cc
training	training	nn1
,	,	y
and	and	cc
changes	change	nn2_vvz@
he	he	pphs1
or	or	cc
she	she	pphs1
would	would	vm
make	make	vvi
as	as	ii@_csa
project	project	nn1
leader	leader	nn1
.	.	y
<p>	<p>	y
Outcomes	outcome	nn2
<p>	<p>	y
It	it	pph1
was	be	vbdz
challenging	challenge	vvg_jj
to	to	to
focus	focus	vvi
our	our	appge
attention	attention	nn1
on	on	ii
a	a	at1
single	single	jj
plot	plot	nn1
of	of	io
earth	earth	nn1
,	,	y
five	five	mc
feet	foot	nn2
wide	wide	jj
by	by	ii
five	five	mc
feet	foot	nn2
long	long	jj
,	,	y
or	or	cc
to	to	to@_ii
work	work	vvi_nn1
in	in	ii_rp@
a	a	at1
small	small	jj
station	station	nn1
within	within	ii
a	a	at1
field	field	nn1
laboratory	laboratory	nn1
.	.	y
The	the	at
hot	hot	jj
southeastern	southeastern	jj
summer	summer	nnt1
days	day	nnt2
and	and	cc
a	a	at1
tropical	tropical	jj
storm	storm	nn1
during	during	ii
the	the	at
Alabama	alabama	np1
expedition	expedition	nn1
were	be	vbdr
distractions	distraction	nn2
while	while	cs_vv0%
in	in	ii
the	the	at
field	field	nn1
.	.	y
Some	some	dd
of	of	io
the	the	at
younger	young	jjr
volunteers	volunteer	nn2
were	be	vbdr
unused	unused	jj
to	to	to
long	long	jj
periods	period	nn2
of	of	io
outdoor	outdoor	jj
labor	labor	nn1
and	and	cc
needed	need	vvd_vvn
adult	adult	jj@_nn1
encouragement	encouragement	nn1
and	and	cc
rest	rest	nn1_vv0
breaks	break	nn2_vvz
.	.	y
<p>	<p>	y
We	we	ppis2
uncovered	uncover	vvd
evidence	evidence	nn1
of	of	io
habitation	habitation	nn1
by	by	ii
early	early	jj_rr
Native	native	jj
Americans	american	nn2
at	at	ii
the	the	at
Virginia	virginia	np1
and	and	cc
Mississippi	mississippi	np1
sites	site	nn2
and	and	cc
remnants	remnant	nn2
of	of	io
a	a	at1
frontier	frontier	nn1
hotel	hotel	nn1
at	at	ii
the	the	at
Alabama	alabama	np1
site	site	nn1
.	.	y
We	we	ppis2
marveled	marvel	vvd
at	at	ii
simple	simple	jj
objects	object	nn2
that	that	cst
were	be	vbdr
crafted	craft	vvn@
six	six	mc
centuries	century	nnt2
ago	ago	ra
--	--	x
stone	stone	nn1
handtools	handtool	nn2_vvz
,	,	y
biface	biface	vv0_nn1
points	point	nn2
,	,	y
and	and	cc
pottery	pottery	nn1
indented	indent	vvd_vvn@
with	with	iw
plant	plant	nn1
material	material	nn1
and	and	cc
thumbnail	thumbnail	nn1
imprints	imprint	nn2
.	.	y
Alabama	alabama	np1
team	team	nn1
members	member	nn2
excitedly	excitedly	rr
shared	shared	jj_vvn
artifacts	artifact	nn2
of	of	io
early	early	jj_rr
nineteenth-century	nineteenth-century	jj
frontier	frontier	nn1
life	life	nn1
:	:	y
teeth	tooth	nn2
and	and	cc
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
and	and	cc
cattle	cattle	nn2
;	;	y
Spanish	spanish	jj
and	and	cc
early	early	rr_jj
American	american	jj
coins	coin	nn2
;	;	y
an	a	at1
intricate	intricate	jj
compass	compass	nn1
;	;	y
hand-painted	hand-painted	jj
porcelain	porcelain	nn1
ware	wares	nn1
;	;	y
silverware	silverware	nn1
;	;	y
carved	carved	jj_vvn_vvd
and	and	cc
polished	polished	jj
oyster	oyster	nn1
shells	shell	nn2
;	;	y
clay	clay	nn1
marbles	marble	nn2
;	;	y
buttons	button	nn2
of	of	io
brass	brass	nn1
,	,	y
bone	bone	nn1
,	,	y
and	and	cc
clay	clay	nn1
;	;	y
pipe	pipe	nn1_vv0@
stems	stem	nn2
and	and	cc
bowls	bowl	nn2
;	;	y
stoneware	stoneware	nn1
ink	ink	nn1
jars	jar	nn2
;	;	y
dark	dark	nn1_jj
,	,	y
thick	thick	jj
glass	glass	nn1
bottles	bottle	nn2
;	;	y
and	and	cc
wafer-thin	wafer-thin	jj
window	window	nn1
glass	glass	nn1
.	.	y
<p>	<p>	y
Student	student	nn1
and	and	cc
adult	adult	nn1_jj@
volunteers	volunteer	nn2
relaxed	relax	vvd_vvn@_jj
as	as	csa
they	they	pphs2
worked	work	vvd
,	,	y
sharing	share	vvg
jokes	joke	nn2
and	and	cc
anecdotes	anecdote	nn2
.	.	y
There	there	ex
was	be	vbdz
friendly	friendly	jj
competition	competition	nn1
between	between	ii
teams	team	nn2
trying	try	vvg
to	to	to
find	find	vvi
the	the	at
most	most	rgt
surprising	surprising	jj
artifacts	artifact	nn2
.	.	y
We	we	ppis2
shared	share	vvd
new	new	jj
discoveries	discovery	nn2
and	and	cc
searched	search	vvd_vvn
field	field	nn1
guides	guide	nn2
for	for	if
information	information	nn1
about	about	ii
their	their	appge
production	production	nn1
and	and	cc
use	use	nn1_vv0
.	.	y
Daily	daily	jj_np1_rr
team	team	nn1
meetings	meeting	nn2
permitted	permit	vvd_vvn
us	us	ppio2
to	to	to
share	share	vvi
discoveries	discovery	nn2
,	,	y
ask	ask	vv0
questions	question	nn2
of	of	io
the	the	at
experts	expert	nn2
,	,	y
record	record	vv0@
our	our	appge
observations	observation	nn2
,	,	y
and	and	cc
view	view	vv0@_nn1
natural	natural	jj
history	history	nn1
specimens	specimen	nn2
.	.	y
Conclusion	conclusion	nn1
<p>	<p>	y
Project	project	nn1_vv0@_np1@
sponsors	sponsor	nn2
followed	follow	vvd_vvn
the	the	at
ten	ten	m
principles	principle	nn2
of	of	io
good	good	jj
practice	practice	nn1
for	for	if
the	the	at
experiential	experiential	jj
education	education	nn1
archaeology	archaeology	nn1
projects	project	nn2
(	(	y
National	national	jj
Society	society	nn1
for	for	if
Experiential	experiential	jj_np1
Education	education	nn1
1997	1997	mc
)	)	y
,	,	y
which	which	ddq
social	social	jj
studies	study	nn2
teachers	teacher	nn2
can	can	vm
apply	apply	vvi
when	when	cs
selecting	select	vvg
local	local	jj
projects	project	nn2
for	for	if
student	student	nn1
participation	participation	nn1
.	.	y
Participants	participant	nn2
received	receive	vvd_vvn
many	many	da2
rewards	reward	nn2
.	.	y
Recognition	recognition	nn1
by	by	ii
the	the	at
Forest	forest	nn1
Service	service	nn1
included	include	vvd_vvn
awarding	award	vvg
each	each	dd1
participant	participant	nn1
a	a	at1
patch	patch	nn1
,	,	y
button	button	nn1_vv0@
,	,	y
and	and	cc
PIT	pit	nn1_vv0@
Passport	passport	nn1
to	to	to
document	document	vvi
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
and	and	cc
the	the	at
PIT	pit	nn1
moose	moose	nn
logo	logo	nn1
.	.	y
The	the	at
University	university	nn1
of	of	io
Alabama	alabama	np1
's	's	ge
recognition	recognition	nn1
packet	packet	nn1
included	include	vvd_vvn
a	a	at1
CD-ROM	cd-rom	nn1
of	of	io
digital	digital	jj
images	image	nn2
taken	take	vvn
during	during	ii
the	the	at
field	field	nn1
camp	camp	nn1
,	,	y
a	a	at1
personal	personal	jj
note	note	nn1
of	of	io
thanks	thanks	nn2
,	,	y
and	and	cc
an	a	at1
invitation	invitation	nn1
from	from	ii
the	the	at
camp	camp	nn1
director	director	nn1
to	to	to
return	return	vvi
next	next	md
year	year	nnt1
.	.	y
Some	some	dd
students	student	nn2
earned	earn	vvd_vvn
high	high	jj
school	school	nn1
and	and	cc
college	college	nn1
credit	credit	nn1
through	through	ii
program	program	nn1
participation	participation	nn1
in	in	ii
Alabama	alabama	np1
and	and	cc
Mississippi	mississippi	np1
.	.	y
For	for	if
many	many	da2
,	,	y
the	the	at
intangible	intangible	jj
rewards	reward	nn2
were	be	vbdr
the	the	at
more	more	rgr
important	important	jj
;	;	y
they	they	pphs2
had	have	vhd
acquired	acquire	vvn
a	a	at1
new	new	jj
sense	sense	nn1
of	of	io
kinship	kinship	nn1
with	with	iw
prehistoric	prehistoric	jj
and	and	cc
historic	historic	jj
residents	resident	nn2
of	of	io
the	the	at
southeast	southeast	nd1
and	and	cc
a	a	at1
deeper	deep	jjr
understanding	understanding	nn1
of	of	io
human	human	jj_nn1
history	history	nn1
.	.	y
Recreation	recreation	npx
through	through	ii
active	active	jj
learning	learning	nn1
had	have	vhd
afforded	afford	vvn
them	them	ppho2
exceptional	exceptional	jj
opportunities	opportunity	nn2
for	for	if
history	history	nn1
to	to	to
come	come	vvi
to	to	ii
life	life	nn1
.	.	y
<p>	<p>	y
Outdoor	outdoor	jj
exploration	exploration	nn1
was	be	vbdz
a	a	at1
healthy	healthy	jj
alternative	alternative	nn1_jj
to	to	ii
students	student	nn2
'	'	ge
sedentary	sedentary	jj
pursuits	pursuit	nn2
on	on	ii
summer	summer	nnt1
vacation	vacation	nn1
.	.	y
All	all	db_rr@
arose	arise	vvd
at	at	ii
dawn	dawn	nnt1
and	and	cc
worked	work	vvd_vvn
a	a	at1
full	full	jj
day	day	nnt1
.	.	y
Teens	teen	nn2
and	and	cc
adults	adult	nn2
were	be	vbdr
considered	consider	vvn
equal	equal	jj
members	member	nn2
of	of	io
field	field	nn1
and	and	cc
laboratory	laboratory	nn1
teams	team	nn2
,	,	y
performing	perform	vvg
the	the	at
same	same	da
meaningful	meaningful	jj
tasks	task	nn2
.	.	y
Teenage	teenage	jj
volunteers	volunteer	nn2
gathered	gather	vvn_vvd_jj
and	and	cc
packed	packed	jj
supplies	supply	nn2
.	.	y
Project	project	nn1_vv0@_np1@
sponsors	sponsor	nn2
taught	teach	vvd_vvn
them	them	ppho2
to	to	to
maintain	maintain	vvi
neat	neat	jj
and	and	cc
safe	safe	jj
campsites	campsite	nn2
.	.	y
Each	each	dd1
shared	share	vvd_vvn_jj
in	in	ii
meal	meal	nn1
preparation	preparation	nn1
.	.	y
Many	many	da2
seemed	seem	vvd
to	to	to
thrive	thrive	vvi
on	on	ii
the	the	at
increased	increased	jj
responsibility	responsibility	nn1
and	and	cc
the	the	at
extra	extra	jj
attention	attention	nn1
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
and	and	cc
adult	adult	nn1_jj@
volunteers	volunteer	nn2
.	.	y
We	we	ppis2
marveled	marvel	vvd
at	at	ii
how	how	rgq@_rrq
hot	hot	jj
summer	summer	nnt1
days	day	nnt2
passed	pass	vvd_vvn
quickly	quickly	rr
when	when	cs_rrq
we	we	ppis2
were	be	vbdr
intensely	intensely	rr
engaged	engage	vvn_vvd
in	in	ii
the	the	at
process	process	nn1
of	of	io
discovery	discovery	nn1
.	.	y
<p>	<p>	y
Student	student	nn1
and	and	cc
adult	adult	nn1_jj@
volunteers	volunteer	nn2
learned	learn	vvd_vvn
to	to	to
appreciate	appreciate	vvi
the	the	at
tedious	tedious	jj
and	and	cc
dedicated	dedicated	jj
work	work	nn1
of	of	io
professional	professional	jj
archaeologists	archaeologist	nn2
while	while	cs
honing	hone	vvg_jj@
skills	skill	nn2
of	of	io
classification	classification	nn1
,	,	y
measurement	measurement	nn1
,	,	y
and	and	cc
recording	record	vvg_nn1_jj@
artifacts	artifact	nn2
.	.	y
Several	several	da2
students	student	nn2
remarked	remark	vvd_vvn
that	that	cst_dd1
experiential	experiential	jj
education	education	nn1
encouraged	encourage	vvd_vvn
them	them	ppho2
to	to	to
consider	consider	vvi
archaeology	archaeology	nn1
,	,	y
paleontology	paleontology	nn1
