##5995		
20:00-21:00		mcmc
:	:	y
Yes	yes	uh
.	.	y
I	i	ppis1
'm	be	vbm
open	open	jj
--		nn1_jj
I	i	ppis1
'm	be	vbm
for	for	if
border	border	nn1
security	security	nn1
.	.	y
I	i	ppis1
think	think	vv0
that	that	cst_dd1
...	...	...
O'REILLY	o'reilly	np1
:	:	y
But	but	ccb
what	what	ddq
does	do	vdz
that	that	dd1
mean	mean	vvi
?	?	y
@!CARVILLE		zzq
:	:	y
Open	open	jj_vv0@
to	to	ii
a	a	at1
fence	fence	nn1
.	.	y
O'REILLY	o'reilly	np1
:	:	y
OK	ok	rr
.	.	y
How	how	rrq_rgq@
about	about	ii
the	the	at
National	national	jj
Guard	guard	nn1
?	?	y
You	you	ppy
open	open	vv0
to	to	ii
the	the	at
guard	guard	nn1
?	?	y
@!CARVILLE		zzq
:	:	y
No	no	uh
.	.	y
Of	of	rr21
course	course	rr22
not	not	xx
.	.	y
O'REILLY	o'reilly	np1
:	:	y
The	the	at
Democratic	democratic	jj
governor	governor	nn1
of	of	io
Arizona	arizona	np1
just	just	rr
sent	send	vvd_vvn
her	her	appge_ppho1
guard	guard	nn1
to	to	ii
the	the	at
border	border	nn1
.	.	y
@!CARVILLE		zzq
:	:	y
If	if	cs
she	she	pphs1
--		zz
if	if	cs_csw@
she	she	pphs1
wants	want	vvz
to	to	to
deploy	deploy	vvi
her	her	appge
own	own	da
guards	guard	nn2
to	to	to
protect	protect	vvi
her	her	appge
own	own	da
safety	safety	nn1
,	,	y
I	i	ppis1
'm	be	vbm
certainly	certainly	rr
all	all	db_rr@
for	for	if
that	that	dd1
.	.	y
I	i	ppis1
'm	be	vbm
not	not	xx
for	for	if
federalizing	federalize	vvg_jj@
troops	troop	nn2
to	to	to
stop	stop	vvi
borders	border	nn2
.	.	y
I	i	ppis1
'm	be	vbm
for	for	if
the	the	at
border	border	nn1
patrol	patrol	nn1
.	.	y
The	the	at
governor	governor	nn1
has	have	vhz
charge	charge	nn1
over	over	ii_rp
her	her	appge
own	own	da
National	national	jj
Guard	guard	nn1
.	.	y
I	i	ppis1
'm	be	vbm
certainly	certainly	rr
not	not	xx
...	...	...
O'REILLY	o'reilly	np1
:	:	y
You	you	ppy
guys	guy	nn2
are	be	vbr
coming	come	vvg
off	off	rp
as	as	rg@_ii@_csa
wishy-washy.	wishy-washy	nnu_jj
@!CARVILLE		zzq
:	:	y
I	i	ppis1
do	do	vd0
n't	n't	xx
think	think	vvi
we	we	ppis2
're	be	vbr
coming	come	vvg
off	off	rp_ii
wishy-washy	wishy-washy	jj
at	at	rr21
all	all	rr22
,	,	y
Bill	bill	np1_nn1
.	.	y
@(CROSSTALK)		zzc
@!CARVILLE		zzq
:	:	y
Everybody	everybody	pn1
is	be	vbz
wishy-washy	wishy-washy	jj
.	.	y
Nobody	nobody	pn1
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
're	be	vbr
not	not	xx
going	go	vvgk
to	to	to
get	get	vvi
your	your	appge
person	person	nn1
elected	elect	vvn
in	in	ii
2008	2008	mc
by	by	ii
bashing	bash	vvg
Bush	bush	np1_nn1@
.	.	y
You	you	ppy
have	have	vh0
got	get	vvn
to	to	to
put	put	vvi
forth	forth	rr
to	to	ii
the	the	at
American	american	jj
people	people	nn
what	what	ddq
you	you	ppy
are	be	vbr
going	go	vvgk
to	to	to
do	do	vdi
.	.	y
@!CARVILLE		zzq
:	:	y
That	that	dd1
book	book	nn1
has	have	vhz
64	64	mc
--		zz
64	64	mc
different	different	jj
proposals	proposal	nn2
in	in	ii
that	that	dd1
book	book	nn1
,	,	y
which	which	ddq
I	i	ppis1
'd	have	vm
say	say	vvi
we	we	ppis2
counted	count	vvd
every	every	at1
one	one	mc1
of	of	io
them	them	ppho2
because	because	cs
we	we	ppis2
knew	know	vvd
...	...	...
O'REILLY	o'reilly	np1
:	:	y
I	i	ppis1
'm	be	vbm
asking	ask	vvg
you	you	ppy
now	now	rt
and	and	cc
you	you	ppy
've	have	vh0
got	get	vvn
to	to	to
tell	tell	vvi
us	us	ppio2
.	.	y
Now	now	rt
,	,	y
Iraq	iraq	np1
.	.	y
All	all	rr21
right	right	rr22
.	.	y
So	so	rr
say	say	vv0
that	that	cst
it	it	pph1
's	be	vbz
a	a	at1
drawdown	drawdown	nn1
in	in	ii
Iraq	iraq	np1
by	by	ii
2008	2008	mc
.	.	y
All	all	rr21
right	right	rr22
?	?	y
And	and	cc
the	the	at
issue	issue	nn1
is	be	vbz
n't	n't	xx
as	as	rg
hot	hot	jj
as	as	csa
it	it	pph1
is	be	vbz
now	now	rt
,	,	y
which	which	ddq
I	i	ppis1
believe	believe	vv0
will	will	vm
happen	happen	vvi
.	.	y
So	so	rr
what	what	ddq
are	be	vbr
you	you	ppy
going	go	vvg
to	to	to
do	do	vdi
?	?	y
Is	be	vbz
that	that	dd1
going	go	vvg
to	to	to
be	be	vbi
something	something	pn1
you	you	ppy
discuss	discuss	vv0
or	or	cc
what	what	ddq
?	?	y
@!BEGALA		zzq
:	:	y
Well	well	rr
,	,	y
it	it	pph1
depends	depend	vvz
on	on	ii
what	what	ddq
the	the	at
situation	situation	nn1
on	on	ii
the	the	at
ground	ground	nn1
is	be	vbz
.	.	y
I	i	ppis1
think	think	vv0
--		nn1_jj
I	i	ppis1
think	think	vv0
your	your	appge
prediction	prediction	nn1
is	be	vbz
right	right	jj
.	.	y
O'REILLY	o'reilly	np1
:	:	y
Right	right	rr_nn1_jj
.	.	y
They	they	pphs2
'll	will	vm
draw	draw	vvi
down	down	rp
.	.	y
@!BEGALA		zzq
:	:	y
This	this	dd1
is	be	vbz
interesting	interesting	jj
.	.	y
They	they	pphs2
will	will	vm
do	do	vdi
what	what	ddq
the	the	at
Democrats	democrat	nn2
are	be	vbr
calling	call	vvg
for	for	if
,	,	y
which	which	ddq
is	be	vbz
a	a	at1
strategic	strategic	jj
redeployment	redeployment	nn1
and	and	cc
drawdown	drawdown	nn1
,	,	y
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
O'REILLY	o'reilly	np1
:	:	y
You	you	ppy
're	be	vbr
not	not	xx
a	a	at1
cut	cut	nn1_jj@
and	and	cc
run	run	vv0_nn1
guy	guy	nn1
,	,	y
are	be	vbr
you	you	ppy
?	?	y
@!BEGALA		zzq
:	:	y
That	that	dd1
is	be	vbz
really	really	rr
hypocritical	hypocritical	jj
.	.	y
No	no	uh
.	.	y
O'REILLY	o'reilly	np1
:	:	y
Are	be	vbr
you	you	ppy
a	a	at1
cut	cut	nn1_jj@
and	and	cc
run	run	vv0_nn1
guy	guy	nn1
?	?	y
@!BEGALA		zzq
:	:	y
I	i	ppis1
am	be	vbm
a	a	at1
win	win	vv0_nn1@
the	the	at
war	war	nn1
and	and	cc
redeploy	redeploy	vv0
.	.	y
@!CARVILLE		zzq
:	:	y
I	i	ppis1
am	be	vbm
for	for	cs
they	they	pphs2
've	have	vh0
got	get	vvn
to	to	to
decide	decide	vvi
whether	whether	csw
they	they	pphs2
want	want	vv0
to	to	to
have	have	vhi
a	a	at1
country	country	nn1
or	or	cc
not	not	xx
.	.	y
If	if	cs
they	they	pphs2
do	do	vd0
,	,	y
we	we	ppis2
'll	will	vm
help	help	vvi
them	them	ppho2
.	.	y
If	if	cs
they	they	pphs2
do	do	vd0
n't	n't	xx
,	,	y
we	we	ppis2
'll	will	vm
pull	pull	vvi
out	out	rp
.	.	y
O'REILLY	o'reilly	np1
:	:	y
So	so	rg_rr_cs@
neither	neither	rr_dd1
of	of	io
you	you	ppy
are	be	vbr
cut	cut	vvn
and	and	cc
runners	runner	nn2
?	?	y
@!BEGALA		zzq
:	:	y
No	no	uh
,	,	y
but	but	ccb
neither	neither	rr_dd1
are	be	vbr
the	the	at
Democrats	democrat	nn2
.	.	y
O'REILLY	o'reilly	np1
:	:	y
Well	well	rr
,	,	y
Howard	howard	np1
Dean	dean	np1
is.	is	nnu
@!BEGALA		zzq
:	:	y
I	i	ppis1
do	do	vd0
n't	n't	xx
think	think	vvi
Howard	howard	np1
Dean	dean	np1
is	be	vbz
.	.	y
I	i	ppis1
've	have	vh0
talked	talk	vvn
to	to	ii
him	him	ppho1
about	about	ii
this	this	dd1
,	,	y
actually	actually	rr
,	,	y
and	and	cc
he	he	pphs1
is	be	vbz
for	for	if
a	a	at1
proposal	proposal	nn1
that	that	cst
the	the	at
Center	center	nn1
for	for	if
American	american	jj
Progress	progress	nn1
has	have	vhz
put	put	vvn
out	out	rp
.	.	y
But	but	ccb
the	the	at
president	president	nn1
of	of	io
the	the	at
United	united	np1
States	state	np1
is	be	vbz
going	go	vvgk
to	to	to
withdraw	withdraw	vvi
troops	troop	nn2
while	while	cs
he	he	pphs1
's	be	vbz
attacking	attack	vvg_jj@
Democrats	democrat	nn2
for	for	if
saying	say	vvg
that	that	dd1
.	.	y
@(CROSSTALK)		zzc
O'REILLY	o'reilly	np1_rr
:	:	y
Here	here	rl
is	be	vbz
your	your	appge
problem	problem	nn1
--		nn1
here	here	rl
is	be	vbz
your	your	appge
problem	problem	nn1
.	.	y
You	you	ppy
just	just	rr
...	...	...
@!CARVILLE		zzq
:	:	y
You	you	ppy
say	say	vv0
we	we	ppis2
do	do	vd0
n't	n't	xx
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
as	as	csa
we	we	ppis2
can	can	vm
talk	talk	vvi
.	.	y
O'REILLY	o'reilly	np1
:	:	y
But	but	ccb
here	here	rl
's	be	vbz
your	your	appge
problem	problem	nn1
.	.	y
If	if	cs
you	you	ppy
say	say	vv0
that	that	cst
Howard	howard	np1
Dean	dean	np1
is	be	vbz
not	not	xx
a	a	at1
cut	cut	nn1_jj@
and	and	cc
runner	runner	nn1
...	...	...
@!BEGALA		zzq
:	:	y
Right	right	rr_nn1_jj
.	.	y
O'REILLY	o'reilly	np1
:	:	y
...	...	...
I	i	ppis1
'm	be	vbm
saying	say	vvg
my	my	appge
impression	impression	nn1
,	,	y
I	i	ppis1
'm	be	vbm
sure	sure	jj_rr%
the	the	at
impression	impression	nn1
of	of	io
the	the	at
audience	audience	nn1
is	be	vbz
that	that	cst
he	he	pphs1
is	be	vbz
.	.	y
And	and	cc
John	john	np1
Murtha	murtha	np1
got	get	vvd
tremendous	tremendous	jj
traction	traction	nn1
on	on	ii
the	the	at
Democratic	democratic	jj
side	side	nn1
by	by	ii
being	be	vbg
a	a	at1
cut	cut	nn1_jj@
and	and	cc
runner	runner	nn1
.	.	y
You	you	ppy
did	do	vdd
n't	n't	xx
hear	hear	vvi
the	the	at
--		nn1_jj
outside	outside	ii21
of	of	ii22
Lieberman	lieberman	np1_nn1
,	,	y
anybody	anybody	pn1
criticize	criticize	vv0
him	him	ppho1
.	.	y
You	you	ppy
guys	guy	nn2
have	have	vh0
got	get	vvn
to	to	ii@
--		nn1_jj
and	and	cc
I	i	ppis1
'm	be	vbm
looking	look	vvg
out	out	rp
for	for	if
you	you	ppy
.	.	y
I	i	ppis1
'm	be	vbm
looking	look	vvg
out	out	rp
for	for	if
you	you	ppy
.	.	y
@!CARVILLE		zzq
:	:	y
It	it	pph1
's	be	vbz
not	not	xx
fair	fair	jj_rr@
to	to	ii
him	him	ppho1
either	either	rr
.	.	y
It	it	pph1
really	really	rr
is	be	vbz
n't	n't	xx
fair	fair	jj_rr@
to	to	ii
Mr.	mr	nnb
Murtha	murtha	np1
either	either	rr_dd1
.	.	y
O'REILLY	o'reilly	np1
:	:	y
He	he	pphs1
's	be	vbz
a	a	at1
--		nn1_jj
he	he	pphs1
wants	want	vvz
to	to	to
cut	cut	vvi
and	and	cc
run	run	nn1_vv0
is	be	vbz
what	what	ddq
he	he	pphs1
wants	want	vvz
to	to	to
do	do	vdi
.	.	y
@!BEGALA		zzq
:	:	y
That	that	dd1
's	be	vbz
not	not	xx
what	what	ddq
he	he	pphs1
said	say	vvd
.	.	y
What	what	ddq
he	he	pphs1
wants	want	vvz
to	to	to
do	do	vdi
is	be	vbz
redeploy	redeploy	vvi
outside	outside	ii21
of	of	ii22
the	the	at
perimeter	perimeter	nn1
.	.	y
O'REILLY	o'reilly	np1
:	:	y
No	no	uh
,	,	y
he	he	pphs1
wants	want	vvz
to	to	to
pull	pull	vvi
everybody	everybody	pn1
out	out	rp
.	.	y
@!BEGALA		zzq
:	:	y
He	he	pphs1
wants	want	vvz
a	a	at1
broader	broad	jjr
perimeter	perimeter	nn1
--		nn1
he	he	pphs1
wants	want	vvz
a	a	at1
broader	broad	jjr
perimeter	perimeter	nn1
in	in	ii
the	the	at
Middle	middle	jj
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
you	you	ppy
know	know	vv0
,	,	y
the	the	at
president	president	nn1
has	have	vhz
got	get	vvn
150,000	150,000	mc
of	of	io
our	our	appge
finest	fine	jjt
young	young	jj
people	people	nn
there	there	rl
without	without	iw
enough	enough	dd
body	body	nn1
armor	armor	nn1
,	,	y
without	without	iw
enough	enough	dd
troop	troop	nn1
protection	protection	nn1
,	,	y
and	and	cc
without	without	iw
a	a	at1
plan	plan	nn1
to	to	to
win	win	vvi
.	.	y
O'REILLY	o'reilly	np1
:	:	y
OK.	ok	rr
@!BEGALA		zzq
:	:	y
Democrats	democrat	nn2
are	be	vbr
pointing	point	vvg
that	that	dd1
out	out	rp
.	.	y
O'REILLY	o'reilly	np1
:	:	y
Again	again	rt
,	,	y
you	you	ppy
're	be	vbr
not	not	xx
going	go	vvgk
to	to	to
win	win	vvi
2008	2008	mc
by	by	ii
Bush	bush	np1
bashing	bash	vvg_nn1@
.	.	y
It	it	pph1
's	be	vbz
not	not	xx
going	go	vvgk
to	to	to
happen	happen	vvi
.	.	y
@(END-VIDEOTAPE)		zzc
@!SNOW		zzq
:	:	y
Directly	directly	rr
ahead	ahead	rl
,	,	y
is	be	vbz
the	the	at
party	party	nn1
over	over	rp
for	for	if
one	one	mc1
Indiana	indiana	np1
town	town	nn1
?	?	y
Its	its	z'
annual	annual	jj
Mardi	mardi	nn121
Gras	gras	nn122
festivities	festivity	nn2
may	may	vm
have	have	vhi
gone	go	vvn
a	a	rr21
bit	bit	rr22
too	too	rg
far	far	rr_jj
.	.	y
We	we	ppis2
're	be	vbr
going	go	vvgk
to	to	to
show	show	vvi
you	you	ppy
the	the	at
shocking	shocking	jj
tape	tape	nn1
when	when	cs_rrq
we	we	ppis2
come	come	vv0
back	back	rp
.	.	y
@(COMMERCIAL-BREAK)		zzc
##6299		
TONY	tony	np1
@!SNOW		zzq
,	,	y
HOST	host	vv0_nn1
:	:	y
"	"	y
The	the	at
O'Reilly	o'reilly	np1
Factor	factor	nn1
"	"	y
is	be	vbz
on	on	rp@_ii
.	.	y
Tonight	tonight	rt
,	,	y
the	the	at
hate	hate	nn1
Bush	bush	np1_nn1@
media	media	nn
cheap	cheap	jj
shots	shot	nn2
FOX	fox	zz
News	news	nn1
for	for	if
landing	land	vvg
the	the	at
first	first	md
sit	sit	vv0
down	down	rp
with	with	iw
Dick	dick	np1
Cheney	cheney	np1
after	after	ii_cs
this	this	dd1
hunting	hunting	nn1
accident	accident	nn1
.	.	y
O'Reilly	o'reilly	np1
would	would	vm
n't	n't	xx
miss	miss	vvi
the	the	at
story	story	nn1
.	.	y
He	he	pphs1
'll	will	vm
be	be	vbi
here	here	rl
.	.	y
Neil	neil	np1
Entwistle	entwistle	np1
pleads	plead	vvz
not	not	xx
guilty	guilty	jj
to	to	ii
murdering	murder	vvg
his	his	appge
wife	wife	nn1
and	and	cc
baby	baby	nn1
.	.	y
We	we	ppis2
'll	will	vm
have	have	vhi
analysis	analysis	nn1
.	.	y
Editors	editor	nn2
of	of	io
two	two	mc
student	student	nn1
newspapers	newspaper	nn2
fear	fear	vv0
for	for	if
their	their	appge
lives	life	nn2
after	after	ii
running	run	vvg
those	those	dd2
controversial	controversial	jj
Muslim	muslim	jj
cartoons	cartoon	nn2
.	.	y
We	we	ppis2
'll	will	vm
talk	talk	vvi
to	to	ii
them	them	ppho2
.	.	y
And	and	cc
Democratic	democratic	jj
heavyweights	heavyweight	nn2
James	james	np1
Carville	carville	np1
and	and	cc
Paul	paul	np1
Begala	begala	np1
versus	versus	ii
O'Reilly	o'reilly	np1
.	.	y
Caution	caution	nn1_vv0@
,	,	y
you	you	ppy
're	be	vbr
about	about	rpk
to	to	to
enter	enter	vvi
a	a	at1
no-spin	no-spin	jj_nn1
zone	zone	nn1
.	.	y
"	"	y
The	the	at
Factor	factor	nn1
"	"	y
begins	begin	vvz
right	right	rr
now	now	rt
.	.	y
Hi	hi	uh
,	,	y
I	i	ppis1
'm	be	vbm
Tony	tony	np1
Snow	snow	np1
,	,	y
reporting	report	vvg
for	for	if
Bill	bill	np1
O'Reilly	o'reilly	np1
,	,	y
who	who	pnqs
will	will	vm
join	join	vvi
us	us	ppio2
moments	moment	nn2
from	from	ii
now	now	rt
for	for	if
our	our	appge
top	top	jj_nn1
story	story	nn1
.	.	y
Thank	thank	vv0
you	you	ppy
for	for	if
watching	watch	vvg
"	"	y
The	the	at
Factor	factor	nn1
"	"	y
tonight	tonight	rt
.	.	y
Brit	brit	nn1
Hume	hume	np
lands	land	nn2
the	the	at
first	first	md
interview	interview	nn1
with	with	iw
Vice	vice	nnb
President	president	nnb
Dick	dick	np1
Cheney	cheney	np1
after	after	ii_cs
the	the	at
hunting	hunting	nn1
accident	accident	nn1
and	and	cc
FOX	fox	np1_nn1
News	news	nn1
gets	get	vvz
cheap	cheap	jj_rr%
shotted	shotted	jj@_vvd_vvn@
for	for	if
it	it	pph1
.	.	y
Writing	write	vvg_nn1
in	in	ii
The	the	at
New	new	np1
York	york	np1
Times	time	nnt2
,	,	y
Alessandra	alessandra	np1
Stanley	stanley	np1
says	say	vvz
,	,	y
"	"	y
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
King	king	np1@_nn1
n	xx_n	zz1
CNN	cnn	np1
to	to	to
do	do	vdi
damage	damage	nn1
control	control	nn1
.	.	y
Mr.	mr	nnb
Cheney	cheney	np1
chose	choose	vvd
what	what	ddq
this	this	dd1
administration	administration	nn1
views	view	nn2_vvz@
as	as	ii_csa
the	the	at
even	even	rr
more	more	rgr
secure	secure	jj
location	location	nn1
of	of	io
a	a	at1
FOX	fox	nn1
News	news	nn1
interview	interview	nn1
.	.	y
"	"	y
But	but	ccb
the	the	at
worst	bad	jjt
cheap	cheap	jj
shots	shot	nn2
sound	sound	vv0@_nn1
like	like	ii
sour	sour	jj
grapes	grape	nn2
coming	come	vvg
from	from	ii
our	our	appge
cable	cable	nn1
news	news	nn1
competitors	competitor	nn2
.	.	y
CNN	cnn	np1
anchor	anchor	nn1_vv0@
Jack	jack	np1
Cafferty	cafferty	np1
says	say	vvz
it	it	pph1
was	be	vbdz
like	like	ii
Bonnie	bonnie	np1
interviewing	interview	vvg
Clyde	clyde	np1
.	.	y
CNN	cnn	np1
analyst	analyst	nn1
Paul	paul	np1
Begala	begala	np1
says	say	vvz
it	it	pph1
was	be	vbdz
like	like	ii
Khrushchev	khrushchev	np1
giving	give	vvg
an	a	at1
interview	interview	nn1
to	to	ii
Pravda	pravda	np1
.	.	y
Predictable	predictable	jj
,	,	y
but	but	ccb
still	still	rr
unbelievable	unbelievable	jj
.	.	y
Here	here	rl
's	be	vbz
a	a	at1
bit	bit	nn1
of	of	io
the	the	at
Hume-Cheney	hume-cheney	np1
interview	interview	nn1
so	so	cs@_rr
you	you	ppy
can	can	vm
decide	decide	vvi
if	if	csw@_cs
it	it	pph1
was	be	vbdz
the	the	at
"	"	y
easy	easy	jj
ride	ride	nn1
"	"	y
one	one	mc1
far	far	jj
left	left	jj
press	press	nn1
watchdog	watchdog	nn1
called	call	vvn_vvd@
it	it	pph1
.	.	y
qwq		xx
@		ii
(	(	y
BEGIN-VIDEOTAPE-		jj_nn1
"	"	y
@!BRIT-HUME-HOST		zzq
:	:	y
It	it	pph1
strikes	strike	vvz
me	me	ppio1
that	that	cst
you	you	ppy
must	must	vm
have	have	vhi
known	know	vvn
that	that	cst
this	this	dd1
was	be	vbdz
going	go	vvgk
to	to	to
be	be	vbi
a	a	at1
national	national	jj
story	story	nn1
.	.	y
@!DICK-CHENEY-VICE-		zzq
:	:	y
Oh	oh	uh
,	,	y
sure	sure	jj
.	.	y
@!HUME		zzq
:	:	y
And	and	cc
it	it	pph1
does	do	vdz
raise	raise	vvi
the	the	at
question	question	nn1
of	of	io
whether	whether	csw
you	you	ppy
could	could	vm
n't	n't	xx
have	have	vhi
headed	head	vvn
off	off	ii_rp
this	this	dd1
beltway	beltway	nn1
firestorm	firestorm	nn1_vv0
if	if	cs_csw@
you	you	ppy
had	have	vhd
put	put	vvn
out	out	rp
the	the	at
word	word	nn1
to	to	ii
the	the	at
national	national	jj
media	media	nn
,	,	y
as	as	rr21
well	well	rr22_rr
to	to	ii
the	the	at
local	local	jj
newspaper	newspaper	nn1
so	so	cs21
that	that	cs22
they	they	pphs2
could	could	vm
post	post	ii@_nn1_vv0%
it	it	pph1
on	on	ii_rp@
its	its	z'
website	website	nn1
.	.	y
I	i	ppis1
mean	mean	vv0
,	,	y
in	in	ii
retrospect	retrospect	nn1
,	,	y
would	would	vm
n't	n't	xx
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
's	be	vbz
going	go	vvgk
to	to	to
do	do	vdi
that	that	dd1
?	?	y
Are	be	vbr
they	they	pphs2
going	go	vvgk
to	to	to
take	take	vvi
my	my	appge
word	word	nn1
for	for	if
what	what	ddq
happened	happen	vvd
?	?	y
There	there	ex
is	be	vbz
,	,	y
obviously	obviously	rr
.	.	y
@!HUME		zzq
:	:	y
Well	well	rr
,	,	y
obviously	obviously	rr
,	,	y
you	you	ppy
could	could	vm
have	have	vhi
put	put	vvn
it	it	pph1
out	out	rp
in	in	ii
the	the	at
name	name	nn1
of	of	io
whoever	whoever	pnqv
you	you	ppy
wanted	want	vvd
.	.	y
I	i	ppis1
mean	mean	vv0
,	,	y
you	you	ppy
could	could	vm
put	put	vvi
it	it	pph1
out	out	rp
in	in	ii
the	the	at
name	name	nn1
of	of	io
Ms.	ms	nnb
Armstrong	armstrong	np1
,	,	y
if	if	cs
you	you	ppy
wanted	want	vvd
to	to	to
.	.	y
Obviously	obviously	rr
,	,	y
she	she	pphs1
's	be	vbz
the	the	at
one	one	pn1
who	who	pnqs
made	make	vvd
the	the	at
statement	statement	nn1
.	.	y
@!CHENEY		zzq
:	:	y
Exactly	exactly	rr
.	.	y
That	that	dd1
's	be	vbz
what	what	ddq
we	we	ppis2
did	do	vdd
.	.	y
We	we	ppis2
went	go	vvd
with	with	iw
Mrs.	mrs	nnb
Armstrong	armstrong	np1
.	.	y
We	we	ppis2
had	have	vhd
--		nn1_jj
she	she	pphs1
's	be	vbz
the	the	at
one	one	pn1
who	who	pnqs
put	put	vvd_vv0
out	out	rp
the	the	at
statement	statement	nn1
.	.	y
And	and	cc
she	she	pphs1
was	be	vbdz
the	the	at
most	most	rgt
credible	credible	jj
one	one	pn1
to	to	to
do	do	vdi
it	it	pph1
,	,	y
because	because	cs
she	she	pphs1
was	be	vbdz
a	a	at1
witness	witness	nn1
.	.	y
It	it	pph1
was	be	vbdz
n't	n't	xx
me	me	ppio1
in	in	ii31
terms	terms	ii32
of	of	ii33
saying	say	vvg
here	here	rl
's	be	vbz
what	what	ddq
happened	happen	vvd
.	.	y
@!CHENEY		zzq
:	:	y
Understood	understand	vvn_vvd_jj@
.	.	y
Now	now	rt
the	the	at
suspicion	suspicion	nn1
grows	grow	vvz
in	in	ii_rp@
some	some	dd
quarters	quarter	nn2
that	that	cst
you	you	ppy
-	-	-
that	that	cst
this	this	dd1
was	be	vbdz
an	a	at1
attempt	attempt	nn1
to	to	to
minimize	minimize	vvi
it	it	pph1
by	by	ii
having	have	vhg
it	it	pph1
first	first	md
appear	appear	vv0
in	in	ii_rp@
a	a	at1
little	little	jj
paper	paper	nn1
and	and	cc
appear	appear	vv0
like	like	ii
a	a	at1
little	little	jj
hunting	hunting	nn1
incident	incident	nn1
down	down	rp
in	in	ii
the	the	at
remote	remote	jj
corner	corner	nn1
of	of	io
Texas	texas	np1
.	.	y
@!CHENEY		zzq
:	:	y
There	there	ex
was	be	vbdz
n't	n't	xx
any	any	dd
way	way	nn1
this	this	dd1
was	be	vbdz
going	go	vvgk
to	to	to
be	be	vbi
minimized	minimize	vvn@
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
accurate	accurate	jj
.	.	y
I	i	ppis1
do	do	vd0
think	think	vvi
what	what	ddq
I	i	ppis1
've	have	vh0
experienced	experience	vvn
over	over	ii_rp
the	the	at
years	year	nnt2
here	here	rl
in	in	ii
Washington	washington	np1
is	be	vbz
as	as	ii_csa
the	the	at
media	media	nn
outlet	outlet	nn1
's	's	ge
have	have	vh0
proliferated	proliferate	vvn
,	,	y
speed	speed	nn1
has	have	vhz
become	become	vvn@
sort	sort	rr21@_nn1
of	of	rr22_io
a	a	at1
driving	driving	jj
force	force	nn1
,	,	y
lots	lots	pn
of	of	io
times	time	nnt2
,	,	y
at	at	ii
the	the	at
expense	expense	nn1
of	of	io
accuracy	accuracy	nn1
.	.	y
And	and	cc
I	i	ppis1
wanted	want	vvd
to	to	to
make	make	vvi
sure	sure	jj
we	we	ppis2
got	get	vvd
it	it	pph1
as	as	rg
accurate	accurate	jj
as	as	csa
possible	possible	jj
.	.	y
And	and	cc
I	i	ppis1
think	think	vv0
Catherine	catherine	np1
was	be	vbdz
an	a	at1
excellent	excellent	jj
choice	choice	nn1
.	.	y
I	i	ppis1
do	do	vd0
n't	n't	xx
know	know	vvi
who	who	pnqs
you	you	ppy
could	could	vm
get	get	vvi
better	better	rrr_jjr
as	as	ii_csa
the	the	at
basic	basic	jj
source	source	nn1
for	for	if
the	the	at
story	story	nn1
than	than	csn
the	the	at
witness	witness	nn1
who	who	pnqs
say	say	vv0
the	the	at
whole	whole	jj
thing	thing	nn1
.	.	y
@(END-VIDEOTAPE)		zzc
@!SNOW		zzq
:	:	y
Joining	join	vvg
us	us	ppio2
now	now	rt
on	on	ii
the	the	at
phone	phone	nn1
from	from	ii
South	south	nd1
Florida	florida	np1
,	,	y
"	"	y
The	the	at
Factor	factor	nn1
's	be	vbz
"	"	y
very	very	rg
own	own	da
Bill	bill	np1_nn1
O'Reilly	o'reilly	np1
.	.	y
Well	well	rr
,	,	y
Bill	bill	np1_nn1
,	,	y
you	you	ppy
saw	see	vvd
the	the	at
interview	interview	nn1
.	.	y
You	you	ppy
've	have	vh0
also	also	rr
heard	hear	vvn
a	a	at1
lot	lot	nn1
of	of	io
the	the	at
reaction	reaction	nn1
.	.	y
Let	let	vm21
's	be	vm22
first	first	md
talk	talk	nn1_vv0
about	about	ii
the	the	at
fact	fact	nn1
that	that	cst
we	we	ppis2
have	have	vh0
a	a	at1
lot	lot	nn1
of	of	io
people	people	nn
carping	carp	vvg
about	about	ii
FOX	fox	np1_nn1
giving	give	vvg
him	him	ppho1
the	the	at
interview	interview	nn1
,	,	y
but	but	ccb
you	you	ppy
know	know	vv0
what	what	ddq
?	?	y
They	they	pphs2
all	all	db_rr@
led	lead	vvd_vvn
their	their	appge
newscasts	newscast	nn2
with	with	iw
it	it	pph1
.	.	y
@!BILL-O'REILLY-HOS		zzq
:	:	y
Well	well	rr
,	,	y
you	you	ppy
know	know	vv0
,	,	y
it	it	pph1
's	be	vbz
--		zz
we	we	ppis2
've	have	vh0
been	be	vbn
reporting	report	vvg
on	on	ii
this	this	dd1
