##2000850		
OPPOSITE	opposite	jj_nn1@_rl@
I	i	ppis1
was	be	vbdz
n't	n't	xx
successful	successful	jj
,	,	y
the	the	at
stalk	stalk	nn1
was	be	vbdz
satisfying	satisfying	jj_vvg@
.	.	y
I	i	ppis1
like	like	vv0
the	the	at
aspect	aspect	nn1
of	of	io
stalking	stalk	vvg_nn1
close	close	jj_rr@_nn1@_vv0
,	,	y
no	no	ddqv31
matter	matter	ddqv32
what	what	ddqv33
I	i	ppis1
hunt	hunt	vv0
.	.	y
To	to	ii
many	many	da2
hunters	hunter	nn2
,	,	y
pronghorn	pronghorn	vv0_nn1
hunting	hunting	nn1
means	mean	vvz_nn
long-range	long-range	jj
shooting	shooting	nn1
,	,	y
which	which	ddq
in	in	ii
itself	itself	ppx1
is	be	vbz
fair	fair	jj
and	and	cc
rewarding	reward	vvg_jj
to	to	ii
those	those	dd2
who	who	pnqs
elect	elect	vv0
to	to	to
shoot	shoot	vvi
300	300	mc
yards	yard	nn2
and	and	cc
better	better	rrr_jjr
.	.	y
To	to	ii
me	me	ppio1
,	,	y
however	however	rr
,	,	y
I	i	ppis1
'd	have	vm_vhd
just	just	rr
as	as	rg
soon	soon	rr
stalk	stalk	vvi
a	a	at1
lesser	lesser	jj
animal	animal	nn1
and	and	cc
score	score	nn1_vv0
,	,	y
as	as	csa_rg@_ii@
shoot	shoot	nn1@_vv0
a	a	at1
bigger	big	jjr
buck	buck	nn
at	at	ii
400	400	mc
yards	yard	nn2
while	while	cs
taking	take	vvg
a	a	at1
rest	rest	nn1
from	from	ii
a	a	at1
fence	fence	nn1
post	post	nn1
.	.	y
In	in	ii
defense	defense	nn1
of	of	io
long-range	long-range	jj
hunters	hunter	nn2
,	,	y
I	i	ppis1
must	must	vm
say	say	vvi
that	that	cst
I	i	ppis1
believe	believe	vv0
the	the	at
antelope	antelope	nn1
is	be	vbz
the	the	at
most	most	rgt
carefully	carefully	rr
and	and	cc
critically	critically	rr
evaluated	evaluate	vvn_vvd
big-game	big-game	nn1
animal	animal	nn1
in	in	ii
North	north	nd1
America	america	np1
.	.	y
Deer	deer	nn
or	or	cc
elk	elk	nn1_vv0
are	be	vbr
evaluated	evaluate	vvn
based	base	vvn
on	on	ii
number	number	nn1
of	of	io
points	point	nn2
,	,	y
width	width	nn1
of	of	io
the	the	at
rack	rack	nn1
and	and	cc
mass	mass	jj_nn1
and	and	cc
length	length	nn1
of	of	io
the	the	at
tines	tines	nn2
,	,	y
but	but	ccb
the	the	at
animals	animal	nn2
seldom	seldom	rr
give	give	vv0
you	you	ppy
time	time	vv0%
to	to	to
look	look	vvi
them	them	ppho2
over	over	rp
carefully	carefully	rr
.	.	y
Using	use	vvg
a	a	at1
spotting	spot	vvg
scope	scope	nn1
,	,	y
the	the	at
antelope	antelope	nn1
hunter	hunter	nn1
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
and	and	cc
general	general	jj_nn1
mass	mass	nn1
of	of	io
the	the	at
horns	horn	nn2
,	,	y
and	and	cc
is	be	vbz
evaluating	evaluate	vvg
in	in	ii_rp@
fractions	fraction	nn2
of	of	io
inches	inch	nnu2
.	.	y
As	as	csa_ii@
antelope	antelope	nn1
trophies	trophy	nn2
go	go	vv0
,	,	y
a	a	at1
16-inch	16-inch	jj
buck	buck	nn
is	be	vbz
a	a	at1
giant	giant	nn1_jj
.	.	y
Many	many	da2
areas	area	nn2
will	will	vm
never	never	rr
produce	produce	vvi
16-inch	16-inch	jj
bucks	buck	nn2
because	because	ii21
of	of	ii22
available	available	jj
nutrition	nutrition	nn1
and	and	cc
genetic	genetic	jj
makeup	makeup	nn1
of	of	io
the	the	at
local	local	jj
herd	herd	nn1
.	.	y
A	a	at1_zz1
15-inch	15-inch	jj
buck	buck	nn
is	be	vbz
a	a	at1
trophy	trophy	nn1
practically	practically	rr
everywhere	everywhere	rl
.	.	y
In	in	ii
most	most	dat
antelope	antelope	nn1
states	state	nn2_vvz
,	,	y
the	the	at
14-inch	14-inch	jj
buck	buck	nn
is	be	vbz
highly	highly	rr
respected	respect	vvn_vvd_jj
,	,	y
with	with	iw
12-	12-	jj_nn1
and	and	cc
13-inchers	13-inchers	nn2
making	make	vvg
up	up	rp
a	a	at1
big	big	jj
part	part	nn1
of	of	io
the	the	at
total	total	jj_nn1
buck	buck	nn
harvest	harvest	vv0_nn1
.	.	y
While	while	cs
I	i	ppis1
'm	be	vbm
not	not	xx
a	a	at1
great	great	jj
fan	fan	nn1
of	of	io
long	long	jj
shots	shot	nn2
for	for	if
antelope	antelope	nn1
,	,	y
I	i	ppis1
can	can	vm
get	get	vvi
downright	downright	rr_jj
surly	surly	jj
when	when	cs_rrq
hunters	hunter	nn2
shoot	shoot	vv0
at	at	ii
running	run	vvg_jj_nn1
animals	animal	nn2
.	.	y
Sometimes	sometimes	rt
you	you	ppy
will	will	vm
see	see	vvi
formulas	formula	nn2
that	that	cst
are	be	vbr
supposed	supposed	jj
to	to	to
ensure	ensure	vvi
a	a	at1
good	good	jj
hit	hit	nn1@_vvn_vvd
at	at	ii
a	a	at1
running	running	jj_nn1
antelope	antelope	nn1
.	.	y
That	that	dd1
's	be	vbz
nonsense	nonsense	nn1
,	,	y
because	because	cs
too	too	rg
many	many	da2
variables	variable	nn2
are	be	vbr
involved-distance	involved-distance	jj
,	,	y
speed	speed	nn1
and	and	cc
angle	angle	nn1
of	of	io
travel	travel	nn1
must	must	vm
be	be	vbi
figured	figure	vvn
precisely	precisely	rr
to	to	to
even	even	rr
consider	consider	vvi
a	a	at1
shot	shot	nn1
.	.	y
At	at	ii
top	top	jj_nn1
speed	speed	nn1
,	,	y
an	a	at1
antelope	antelope	nn1
is	be	vbz
ripping	rip	vvg
along	along	rp
at	at	ii
nearly	nearly	rr
60	60	mc
miles	mile	nnu2
per	per	ii
hour	hour	nnt1
.	.	y
But	but	ccb
it	it	pph1
's	be	vbz
impossible	impossible	jj
to	to	to
calculate	calculate	vvi
whether	whether	csw
the	the	at
animal	animal	nn1
is	be	vbz
indeed	indeed	rr
traveling	travel	vvg
that	that	cst_dd1
fast	fast	rr_jj_nn1@
.	.	y
Add	add	vv0
to	to	ii
that	that	cst
the	the	at
fact	fact	nn1
that	that	cst
the	the	at
wind	wind	nn1
is	be	vbz
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
becomes	become	vvz
a	a	at1
further	far	jjr@
complication	complication	nn1
.	.	y
A	a	at1_zz1
long	long	jj
shot	shot	nn1_vvn
at	at	ii
a	a	at1
running	running	jj_nn1
animal	animal	nn1
almost	almost	rr
always	always	rr
means	mean	vvz
a	a	at1
miss	miss	nn1@
,	,	y
or	or	cc
a	a	at1
wounded	wounded	jj
animal	animal	nn1
.	.	y
But	but	ccb
since	since	cs
antelope	antelope	nn1
make	make	vv0
their	their	appge
getaways	getaway	nn2
in	in	ii
open	open	jj
spaces	space	nn2
and	and	cc
can	can	vm
be	be	vbi
seen	see	vvn
fleeing	flee	vvg_jj
for	for	if
a	a	at1
long	long	jj
time	time	nnt1
,	,	y
some	some	dd
hunters	hunter	nn2
think	think	vv0
that	that	cst_dd1
eventually	eventually	rr
one	one	mc1
of	of	io
their	their	appge
bullets	bullet	nn2
will	will	vm
score	score	vvi
.	.	y
If	if	cs
the	the	at
first	first	md
shot	shot	nn1
misses	miss	nn2_vvz
,	,	y
maybe	maybe	rr
one	one	mc1
of	of	io
the	the	at
others	others	nn2
in	in	ii
the	the	at
magazine	magazine	nn1
will	will	vm
work	work	vvi
.	.	y
I	i	ppis1
've	have	vh0
heard	hear	vvn
horror	horror	nn1
stories	story	nn2
where	where	rrq_cs
a	a	at1
hunter	hunter	nn1
has	have	vhz
gone	go	vvn
through	through	ii
a	a	at1
box	box	nn1
of	of	io
20	20	mc
cartridges	cartridge	nn2
while	while	cs
trying	try	vvg
to	to	to
anchor	anchor	vvi
a	a	at1
running	running	jj_nn1
animal	animal	nn1
.	.	y
Recently	recently	rr
,	,	y
a	a	at1
Wyoming	wyoming	np1
game	game	nn1
warden	warden	nn1
told	tell	vvd
me	me	ppio1
,	,	y
"	"	y
Antelope	antelope	nn1
do	do	vd0
things	thing	nn2
to	to	ii
people	people	nn
.	.	y
They	they	pphs2
bring	bring	vv0
out	out	rp
the	the	at
worst	bad	jjt
in	in	ii
some	some	dd
hunters	hunter	nn2
.	.	y
"	"	y
Maybe	maybe	rr
my	my	appge
feelings	feeling	nn2
when	when	cs_rrq
it	it	pph1
comes	come	vvz
to	to	ii
this	this	dd1
wonderful	wonderful	jj
animal	animal	nn1
are	be	vbr
so	so	rg_rr
strong	strong	jj
because	because	ii21
of	of	ii22
the	the	at
way	way	nn1
I	i	ppis1
was	be	vbdz
introduced	introduce	vvn
to	to	ii
the	the	at
sport	sport	nn1
.	.	y
My	my	appge
first	first	md
antelope	antelope	nn1
hunt	hunt	nn1
was	be	vbdz
almost	almost	rr
my	my	appge
last	last	md
.	.	y
I	i	ppis1
trudged	trudge	vvd
for	for	if
miles	mile	nnu2
in	in	ii
a	a	at1
Utah	utah	np1
desert	desert	nn1_vv0
,	,	y
drinking	drink	vvg
precious	precious	rg
little	little	da1
water	water	nn1
in	in	ii
the	the	at
100-degree	100-degree	jj_nn1
blowtorch	blowtorch	nn1
heat	heat	nn1
.	.	y
I	i	ppis1
stumbled	stumble	vvd
around	around	rp
for	for	if
days	day	nnt2
but	but	ccb
could	could	vm
n't	n't	xx
get	get	vvi
close	close	rr_jj
to	to	ii
an	a	at1
animal	animal	nn1
.	.	y
I	i	ppis1
finally	finally	rr
scored	score	vvd
on	on	ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
the	the	at
smallest	small	jjt
buck	buck	nn
I	i	ppis1
've	have	vh0
ever	ever	rr
taken	take	vvn
.	.	y
It	it	pph1
was	be	vbdz
just	just	rr
11	11	mc
inches	inch	nnu2
,	,	y
but	but	ccb
I	i	ppis1
was	be	vbdz
as	as	rg@
proud	proud	jj
of	of	io
that	that	dd1
buck	buck	nn
as	as	ii21
of	of	ii22
any	any	dd
animal	animal	nn1
I	i	ppis1
've	have	vh0
hunted	hunt	vvn
.	.	y
//	//	x
Antelope	antelope	nn1
Season	season	nnt1
Starters	starter	nn2
//	//	x
<p>	<p>	y
##2000856		
With	with	iw
certain	certain	jj
exceptions	exception	nn2
,	,	y
the	the	at
1998	1998	mc
hunting	hunting	nn1_jj%
seasons	season	nnt2
are	be	vbr
shaping	shape	vvg
up	up	rp
as	as	csa_ii@
some	some	dd
of	of	io
the	the	at
best	best	rrt_jjt
in	in	ii
the	the	at
past	past	jj
two	two	mc
decades	decade	nnt2
.	.	y
Here	here	rl
's	be	vbz
what	what	ddq
you	you	ppy
need	need	vv0
to	to	to
know	know	vvi
to	to	to
share	share	vvi
in	in	ii
the	the	at
success	success	nn1
//	//	x
WHITETAIL	whitetail	nn1_vv0_np1
DEER	deer	nn
With	with	iw
whitetail	whitetail	nn1
populations	population	nn2
at	at	ii
record	record	nn1
highs	high	nn2
throughout	throughout	ii
the	the	at
nation	nation	nn1
,	,	y
the	the	at
goal	goal	nn1
of	of	io
wildlife	wildlife	nn1
managers	manager	nn2
is	be	vbz
shifting	shift	vvg_jj
from	from	ii
growing	grow	vvg
bigger	big	jjr
herds	herd	nn2
to	to	ii
growing	grow	vvg
bigger	big	jjr
bucks	buck	nn2
.	.	y
Brian	brian	np1
Murphy	murphy	np1
,	,	y
executive	executive	nn1_jj@
director	director	nn1
of	of	io
the	the	at
Quality	quality	nn1
Deer	deer	nn
Management	management	nn1
Association	association	nn1
(	(	y
QDM	qdm	np1
)	)	y
,	,	y
headquartered	headquarter	vvd_vvn@
in	in	ii
Watkinsville	watkinsville	np1
,	,	y
Ga	ga	np1
.	.	y
(	(	y
800-209-3337	800-209-3337	mcmc
)	)	y
,	,	y
says	say	vvz
that	that	cst
the	the	at
concept	concept	nn1
behind	behind	ii
its	its	z'
management	management	nn1
techniques	technique	nn2
is	be	vbz
simple	simple	jj
and	and	cc
proven	proven	jj_vvn
.	.	y
By	by	ii
reducing	reduce	vvg
or	or	cc
eliminating	eliminate	vvg
the	the	at
harvest	harvest	nn1
of	of	io
young	young	jj
bucks	buck	nn2
,	,	y
the	the	at
number	number	nn1
of	of	io
older	old	jjr
bucks	buck	nn2
in	in	ii
the	the	at
population	population	nn1
increases	increase	nn2_vvz
.	.	y
Once	once	rr_cs@
fully	fully	rr
implemented	implement	vvn
,	,	y
the	the	at
buck	buck	nn
harvest	harvest	nn1_vv0
is	be	vbz
often	often	rr
equal	equal	jj
to	to	ii
its	its	z'
original	original	jj
level	level	nn1
in	in	ii31
terms	terms	ii32
of	of	ii33
absolute	absolute	jj
numbers	number	nn2
,	,	y
but	but	ccb
the	the	at
bucks	buck	nn2
taken	take	vvn
are	be	vbr
bigger	big	jjr
in	in	ii
every	every	at1
way	way	nn1
.	.	y
In	in	ii
Georgia	georgia	np1
,	,	y
Murphy	murphy	np1
claims	claim	vvz
that	that	cst
the	the	at
program	program	nn1
has	have	vhz
been	be	vbn
embraced	embrace	vvn
by	by	ii
90	90	mc
percent	percent	nnu
of	of	io
the	the	at
hunters	hunter	nn2
.	.	y
"	"	y
I	i	ppis1
've	have	vh0
never	never	rr
heard	hear	vvn
of	of	io
that	that	dd1_rg%
many	many	da2
hunters	hunter	nn2
agreeing	agree	vvg
on	on	ii_rp@
anything	anything	pn1
,	,	y
"	"	y
says	say	vvz
Murphy	murphy	np1
.	.	y
As	as	ii
a	a	at1
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
the	the	at
program	program	nn1
statewide	statewide	jj
,	,	y
allowing	allow	vvg
counties	county	nn2
the	the	at
option	option	nn1
of	of	io
restricting	restrict	vvg
hunters	hunter	nn2
to	to	ii
8-point	8-point	jj_nn1
bucks	buck	nn2
or	or	cc
15-inch	15-inch	jj
minimum	minimum	nn1
spreads	spread	vvz
.	.	y
The	the	at
average	average	jj_nn1
age	age	nn1
of	of	io
the	the	at
deer	deer	nn
taken	take	vvn
on	on	rp_ii%
QDM	qdm	np1
lands	land	nn2
is	be	vbz
always	always	rr
greater	great	jjr
than	than	csn
3	3	mc
1/2	1/2	mf
years	year	nnt2
old	old	jj
.	.	y
In	in	ii
comparison	comparison	nn1
,	,	y
each	each	dd1
year	year	nnt1
Pennsylvania	pennsylvania	np1
kills	kill	vvz
80	80	mc
percent	percent	nnu
of	of	io
its	its	z'
antlered	antlered	jj@
deer	deer	nn
for	for	if
an	a	at1
average	average	jj_nn1
age	age	nn1
under	under	rg
two	two	mc
.	.	y
There	there	ex
's	be	vbz
not	not	xx
one	one	mc1
two-year-old	two-year-old	jj_nn1
buck	buck	nn
in	in	ii
Boone	boone	np1_nn1
and	and	cc
Crockett	crockett	np1
;	;	y
in	in	ii
fact	fact	nn1
,	,	y
most	most	dat
are	be	vbr
over	over	rg
six	six	mc
.	.	y
Going	go	vvg
hand	hand	nn1
in	in	ii
hand	hand	nn1
with	with	iw
the	the	at
restrictions	restriction	nn2
on	on	ii
young	young	jj
bucks	buck	nn2
is	be	vbz
a	a	at1
push	push	nn1@_vv0
to	to	to
keep	keep	vvi
herds	herd	nn2
in	in	ii31
line	line	ii32
with	with	ii33
available	available	jj
forage	forage	nn1
.	.	y
Whether	whether	csw
on	on	ii
QDM	qdm	np1
lands	land	nn2
or	or	cc
under	under	rg@_ii
more	more	rgr
traditional	traditional	jj
management	management	nn1
schemes	scheme	nn2
,	,	y
game	game	nn1
managers	manager	nn2
are	be	vbr
offering	offer	vvg
more	more	dar
doe	doe	nn1
permits	permit	nn2
than	than	csn
ever	ever	rr
before	before	rt
.	.	y
They	they	pphs2
have	have	vh0
to	to	to
.	.	y
Current	current	jj
high	high	jj
whitetail	whitetail	nn1
numbers	number	nn2
strain	strain	vv0
the	the	at
habitat	habitat	nn1
and	and	cc
leave	leave	vv0_nn1
deer	deer	nn
ill-prepared	ill-prepared	nn1_jj
for	for	if
severe	severe	jj
winters	winter	nnt2
or	or	cc
periods	period	nn2
of	of	io
drought	drought	nn1
.	.	y
Such	such	da
was	be	vbdz
the	the	at
case	case	nn1
in	in	ii
the	the	at
upper	upper	jj
Midwest	midwest	np1_nn1@
and	and	cc
southern	southern	jj
Canada	canada	np1
during	during	ii
the	the	at
winters	winter	nnt2
of	of	io
1995-96	1995-96	mcmc
and	and	cc
1996-97	1996-97	mcmc
,	,	y
when	when	cs_rrq
many	many	da2
herds	herd	nn2
were	be	vbdr
cut	cut	vvn
in	in	ii
half	half	db
by	by	ii_rp%
unusually	unusually	rr
harsh	harsh	jj
winters	winter	nnt2
.	.	y
Had	have	vhd
hunters	hunter	nn2
harvested	harvest	vvn
more	more	dar
does	do	vdz
preceding	preceding	jj
those	those	dd2
winters	winter	nnt2
,	,	y
overall	overall	jj_nn1
survival	survival	nn1
would	would	vm
have	have	vhi
been	be	vbn
higher	high	jjr
and	and	cc
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
professionals	professional	nn2
?	?	y
If	if	cs
there	there	ex
are	be	vbr
doe	doe	nn1
tags	tag	vvz_nn2
in	in	ii_rp@
your	your	appge
area	area	nn1
,	,	y
get	get	vv0
one	one	mc1_pn1
and	and	cc
fill	fill	vv0
it	it	pph1
;	;	y
then	then	rt
hunt	hunt	vv0
for	for	if
that	that	dd1
trophy	trophy	nn1
buck	buck	nn
.	.	y
So	so	rr
where	where	cs_rrq
in	in	ii
North	north	nd1
America	america	np1
are	be	vbr
the	the	at
biggest	big	jjt
whitetail	whitetail	nn1
bucks	buck	nn2
?	?	y
Some	some	dd
answers	answer	nn2
to	to	ii
that	that	dd1
question	question	nn1
come	come	vvn@_vv0
from	from	ii
the	the	at
graduate	graduate	nn1
thesis	thesis	nn1
research	research	nn1
undertaken	undertake	vvn
by	by	ii
Mickey	mickey	np1
Hellickson	hellickson	np1
at	at	ii
the	the	at
University	university	nn1
of	of	io
Georgia	georgia	np1
.	.	y
Under	under	ii
the	the	at
guidance	guidance	nn1
of	of	io
whitetail	whitetail	nn1
expert	expert	nn1
Dr.	dr	nnb
Larry	larry	np1
Marchinton	marchinton	np1
,	,	y
Hellickson	hellickson	np1
compiled	compile	vvd
a	a	at1
comprehensive	comprehensive	jj
analysis	analysis	nn1
of	of	io
the	the	at
whitetails	whitetail	nn2
listed	list	vvn_vvd
in	in	ii
Boone	boone	np1_nn1
and	and	cc
Crockett	crockett	vv0@_np1
to	to	to
see	see	vvi
which	which	ddq
regions	region	nn2
consistently	consistently	rr
produced	produce	vvd_vvn
the	the	at
biggest	big	jjt
bucks	buck	nn2
and	and	cc
specifically	specifically	rr
what	what	ddq
conditions	condition	nn2
led	lead	vvn_vvd
to	to	ii
big	big	jj
antlers	antler	nn2
.	.	y
First	first	md
,	,	y
Hellickson	hellickson	np1
's	's	ge
work	work	nn1
uncovered	uncover	vvd
a	a	at1
geographic	geographic	jj
trend	trend	nn1
worth	worth	ii
noting	note	vvg
.	.	y
The	the	at
farther	far	rrr
north	north	nd1
and	and	cc
the	the	at
farther	far	rrr
west	west	nd1
you	you	ppy
travel	travel	vv0
in	in	ii_rp@
whitetail	whitetail	nn1
habitat	habitat	nn1
,	,	y
the	the	at
larger	large	jjr
the	the	at
antlers	antler	nn2
,	,	y
with	with	iw
the	the	at
bulk	bulk	nn1
of	of	io
the	the	at
big	big	jj
deer	deer	nn
coming	come	vvg
from	from	ii
the	the	at
upper	upper	jj
Midwest	midwest	nn1@_np1
.	.	y
Minnesota	minnesota	np1
recorded	record	vvd
the	the	at
most	most	dat
B	b	zz1
&C;	&c;	x
bucks	buck	nn2
,	,	y
with	with	iw
420	420	mc
through	through	ii
1993	1993	mc
.	.	y
During	during	ii
the	the	at
three-year	three-year	jj
period	period	nn1
from	from	ii
1991	1991	mc
through	through	ii
1993	1993	mc
,	,	y
Illinois	illinois	np1
led	lead	vvd
the	the	at
nation	nation	nn1
with	with	iw
81	81	mc
,	,	y
Iowa	iowa	np1
came	come	vvd
in	in	ii
second	second	nnt1_md
with	with	iw
56	56	mc
and	and	cc
Minnesota	minnesota	np1
third	third	md
with	with	iw
42	42	mc
.	.	y
The	the	at
bucks	buck	nn2
of	of	io
the	the	at
Canadian	canadian	jj_nn1
provinces	province	nn2
of	of	io
Alberta	alberta	np1
and	and	cc
Saskatchewan	saskatchewan	np1
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
of	of	io
big	big	jj
bucks	buck	nn2
to	to	ii
hunters	hunter	nn2
there	there	ex_rl
is	be	vbz
probably	probably	rr
higher	high	jjr
than	than	csn
anywhere	anywhere	rl
else	else	rr
in	in	ii
North	north	nd1
America	america	np1
.	.	y
Marchinton	marchinton	nn1_np1@
says	say	vvz
there	there	ex_rl
are	be	vbr
two	two	mc
reasons	reason	nn2
for	for	if
this	this	dd1
.	.	y
The	the	at
first	first	md
has	have	vhz
to	to	to
do	do	vdi
with	with	iw
the	the	at
land	land	nn1
itself	itself	ppx1
,	,	y
with	with	iw
the	the	at
biggest	big	jjt
bucks	buck	nn2
coming	come	vvg
from	from	ii
areas	area	nn2
with	with	iw
the	the	at
richest	rich	jjt
soils	soil	nn2
(	(	y
and	and	cc
thus	thus	rr
the	the	at
best	best	jjt
forage	forage	nn1
)	)	y
.	.	y
The	the	at
second	second	nnt1_md
is	be	vbz
Bergman	bergman	np1
's	's	ge
Rule	rule	nn1
,	,	y
which	which	ddq
says	say	vvz
that	that	cst_dd1
,	,	y
in	in	rr21
general	general	rr22
,	,	y
the	the	at
farther	far	rrr
north	north	nd1
a	a	at1
warmblooded	warm-blooded	jj@
animal	animal	nn1
lives	life	nn2_vvz
,	,	y
the	the	at
greater	great	jjr
its	its	z'
body	body	nn1
size	size	nn1
.	.	y
The	the	at
large	large	jj
body	body	nn1
size	size	nn1
gives	give	vvz
animals	animal	nn2
a	a	at1
smaller	small	jjr
surface-to-volume	surface-to-volume	jj_nn1
ratio	ratio	nn1
,	,	y
which	which	ddq
means	mean	vvz
greater	great	jjr
heat	heat	nn1
retention	retention	nn1
.	.	y
And	and	cc
deer	deer	nn
with	with	iw
big	big	jj
bodies	body	nn2
seem	seem	vv0
to	to	to
have	have	vhi
proportionally	proportionally	rr
larger	large	jjr
antlers	antler	nn2
.	.	y
Photograph	photograph	nn1_vv0@
With	with	iw
whitetail	whitetail	nn1
populations	population	nn2
thriving	thrive	vvg_jj
,	,	y
wildlife	wildlife	nn1
agencies	agency	nn2
are	be	vbr
issuing	issue	vvg
more	more	dar
doe	doe	nn1
permits	permit	nn2_vvz
and	and	cc
establishing	establish	vvg
minimum-size	minimum-size	jj
restrictions	restriction	nn2
to	to	to
enhance	enhance	vvi
the	the	at
hunting	hunting	nn1
for	for	if
trophy	trophy	nn1
bucks	buck	nn2
.	.	y
//	//	x
The	the	at
influence	influence	nn1
of	of	io
habitat	habitat	nn1
on	on	ii
genetics	genetics	nn1
also	also	rr
plays	play	vvz
its	its	z'
part	part	nn1
.	.	y
The	the	at
theory	theory	nn1
is	be	vbz
that	that	dd1_cst_rg%
large	large	jj
antlers	antler	nn2
have	have	vh0
little	little	rr_da1
environmental	environmental	jj
drawback	drawback	nn1
in	in	ii
open	open	jj
country	country	nn1
(	(	y
read	read	vv0
:	:	y
the	the	at
West	west	nd1
and	and	cc
the	the	at
Plains	plain	nn2
States	state	np1_vvz@
)	)	y
and	and	cc
actually	actually	rr
are	be	vbr
an	a	at1
advantage	advantage	nn1
for	for	if
a	a	at1
big	big	jj
buck	buck	nn
fighting	fight	vvg
off	off	rp
rivals	rival	nn2
and	and	cc
attracting	attracting	jj
does	do	vdz
.	.	y
Makes	make	vvz
sense-just	sense-just	jj
look	look	nn1
at	at	ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
racks	rack	nn2
.	.	y
However	however	rr
,	,	y
in	in	ii
dense	dense	jj
brush	brush	nn1
and	and	cc
woodlands	woodland	nn2
,	,	y
large	large	jj
antlers	antler	nn2
can	can	vm
be	be	vbi
a	a	at1
problem-literally	problem-literally	rr
a	a	at1
hang-up	hang-up	nn1
.	.	y
Marchinton	marchinton	nn1_np1@
says	say	vvz
many	many	da2
researchers	researcher	nn2
believe	believe	vv0
the	the	at
Irish	irish	jj
elk	elk	nn1
,	,	y
a	a	at1
member	member	nn1
of	of	io
the	the	at
deer	deer	nn
family	family	nn1
that	that	cst
had	have	vhd
the	the	at
largest	large	jjt
antlers	antler	nn2
in	in	ii
the	the	at
species	species	nn
,	,	y
became	become	vvd
extinct	extinct	jj
because	because	cs
the	the	at
habitat	habitat	nn1
in	in	ii
Ireland	ireland	np1
changed	change	vvd
to	to	to
mature	mature	vvi
forests	forest	nn2
.	.	y
The	the	at
large	large	jj
antlers	antler	nn2
proved	prove	vvd_vvn
a	a	at1
hindrance	hindrance	nn1
in	in	ii
the	the	at
dense	dense	jj
forests	forest	nn2
and	and	cc
gave	give	vvd
predators	predator	nn2
such	such	da
an	a	at1
edge	edge	nn1
that	that	cst
eventually	eventually	rr
the	the	at
Irish	irish	jj
elk	elk	nn1
was	be	vbdz
doomed	doom	vvn
.	.	y
Hunter	hunter	np1_nn1
pressure	pressure	nn1
also	also	rr
plays	play	vvz
no	no	at
small	small	jj
part	part	nn1
in	in	ii
the	the	at
management	management	nn1
equation	equation	nn1
.	.	y
Nationwide	nationwide	rl_jj
,	,	y
game	game	nn1
experts	expert	nn2
report	report	vv0@_nn1
that	that	cst
the	the	at
biggest	big	jjt
bucks	buck	nn2
all	all	db_rr@
come	come	vv0_vvn@
from	from	ii
areas	area	nn2
with	with	iw
little	little	jj_da1
or	or	cc
no	no	at
hunting	hunting	nn1
pressureoften	pressureoften	vv0
this	this	dd1
can	can	vm
mean	mean	vvi
suburban	suburban	jj
and	and	cc
even	even	rr
urban	urban	jj
areas	area	nn2
with	with	iw
only	only	jj
shotgun	shotgun	nn1
or	or	cc
archery	archery	nn1
seasons	season	nnt2
.	.	y
That	that	dd1
comes	come	vvz
back	back	rp
to	to	ii
the	the	at
QDM	qdm	np1
dictum	dictum	nn1
:	:	y
Let	let	vv0
the	the	at
bucks	buck	nn2
age	age	vvi
and	and	cc
they	they	pphs2
simply	simply	rr
get	get	vvi
bigger	big	jjr
.	.	y
BLACK	black	jj
BEARS	bear	nn2
Twenty	twenty	mc
years	year	nnt2
ago	ago	ra
,	,	y
the	the	at
outlook	outlook	nn1
for	for	if
the	the	at
black	black	jj
bear	bear	nn1
was	be	vbdz
grim	grim	jj
.	.	y
But	but	ccb
biologists	biologist	nn2
devised	devise	vvd_vvn
new	new	jj
ways	way	nn2
of	of	io
improving	improving	jj_vvg
habitat	habitat	nn1
and	and	cc
bear	bear	vv0_nn1
numbers	number	nn2
.	.	y
So	so	rr
now	now	rt
they	they	pphs2
find	find	vv0
themselves	themselves	ppx2
with	with	iw
a	a	at1
new	new	jj
problem	problem	nn1
:	:	y
how	how	rrq
to	to	to
deal	deal	vvi
with	with	iw
all	all	db
those	those	dd2
bears	bear	nn2
.	.	y
Virtually	virtually	rr
throughout	throughout	ii
their	their	appge
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
so	so	rr
in	in	ii
many	many	da2
places	place	nn2
.	.	y
"	"	y
We	we	ppis2
've	have	vh0
done	do	vdn
such	such	da
a	a	at1
good	good	jj
job	job	nn1
helping	helping	nn1_vvg
bears	bear	nn2
recover	recover	vvi
,	,	y
now	now	rt
what	what	ddq
?	?	y
"	"	y
says	say	vvz
Mike	mike	np1
Pelton	pelton	np1
