##4000077		
Research	research	nn1_vv0@
altering	alter	vvg
competitive	competitive	jj
abilities	ability	nn2
and	and	cc
resource	resource	vv0_nn1
supply	supply	nn1_vv0
Acknowledgments	acknowledgment	nn2_np1
<p>	<p>	y
The	the	at
second	second	md
workshop	workshop	nn1
of	of	io
the	the	at
SCOPE	scope	nn1
SSBEF	ssbef	nn1_np1_vv0
committee	committee	nn1
was	be	vbdz
generously	generously	rr
supported	support	vvn
by	by	ii
an	a	at1
anonymous	anonymous	jj
US	us	np1
foundation	foundation	nn1
;	;	y
the	the	at
Ministry	ministry	nn1
of	of	io
Public	public	jj_nn1
Housing	housing	nn1
,	,	y
Physical	physical	jj
Planning	planning	nn1
,	,	y
and	and	cc
the	the	at
Environment	environment	nn1
;	;	y
and	and	cc
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
of	of	io
the	the	at
Netherlands	netherlands	np1
.	.	y
The	the	at
SCOPE	scope	nn1
SSBEF	ssbef	nn1_np1_vv0
committee	committee	nn1
is	be	vbz
a	a	at1
component	component	nn1
of	of	io
DIVERSITAS	diversitas	np2_nn2
,	,	y
the	the	at
international	international	jj
program	program	nn1
of	of	io
biodiversity	biodiversity	nn1
science	science	nn1
.	.	y
We	we	ppis2
thank	thank	vv0
the	the	at
participants	participant	nn2
in	in	ii
the	the	at
workshop	workshop	nn1
for	for	if
their	their	appge
intellectual	intellectual	jj_nn1
contributions	contribution	nn2
and	and	cc
collaborations	collaboration	nn2
across	across	ii
diverse	diverse	jj
fields	field	nn2
to	to	to
address	address	vvi
the	the	at
issues	issue	nn2
in	in	ii
this	this	dd1
series	series	nn
of	of	io
papers	paper	nn2
.	.	y
We	we	ppis2
also	also	rr
thank	thank	vv0
Drs	drs	np1
.	.	y
Jill	jill	np1
Baron	baron	nn1
,	,	y
Alan	alan	np1
Covich	covich	np1
,	,	y
and	and	cc
Mark	mark	np1
Dangerfield	dangerfield	np1
for	for	if
their	their	appge
thoughtful	thoughtful	jj
reviews	review	nn2
of	of	io
earlier	early	jjr
versions	version	nn2
of	of	io
this	this	dd1
manuscript	manuscript	nn1
and	and	cc
Lily	lily	np1
Huddleson	huddleson	np1
for	for	if
her	her	appge_ppho1
administrative	administrative	jj
assistance	assistance	nn1
for	for	if
the	the	at
workshop	workshop	nn1
and	and	cc
assistance	assistance	nn1
with	with	iw
preparation	preparation	nn1
of	of	io
the	the	at
manuscript	manuscript	nn1
.	.	y
##4000667		
Ravelstein	ravelstein	np1
,	,	y
by	by	ii
Saul	saul	np1
Bellow	bellow	np1
,	,	y
Viking	viking	nn1
.	.	y
<p>	<p>	y
IN	in	ii
Diana	diana	np1
Trilling	trilling	np1
's	's	ge
memoir	memoir	nn1
The	the	at
Beginning	beginning	nn1
of	of	io
the	the	at
Journey	journey	nn1
she	she	pphs1
tells	tell	vvz
a	a	at1
story	story	nn1
about	about	ii
Saul	saul	np1
Bellow	bellow	np1_vv0_nn1
to	to	to
illustrate	illustrate	vvi
the	the	at
effect	effect	nn1
that	that	cst
Lionel	lionel	np1
Trilling	trilling	np1
had	have	vhd
on	on	ii
people	people	nn
.	.	y
Lionel	lionel	np1
,	,	y
she	she	pphs1
writes	write	vvz
,	,	y
<p>	<p>	y
always	always	rr
retained	retain	vvn_vvd
a	a	at1
certain	certain	jj
air	air	nn1
of	of	io
unassailability	unassailability	nn1
.	.	y
There	there	ex
were	be	vbdr
people	people	nn
whom	whom	pnqo
this	this	dd1
seemed	seem	vvd
to	to	to
disturb	disturb	vvi
.	.	y
In	in	ii
middle	middle	jj_nn1
life	life	nn1
,	,	y
he	he	pphs1
lectured	lecture	vvd
at	at	ii
the	the	at
University	university	nn1
of	of	io
Chicago	chicago	np1
,	,	y
and	and	cc
Saul	saul	np1
Bellow	bellow	np1
,	,	y
who	who	pnqs
taught	teach	vvd
there	there	rl
and	and	cc
with	with	iw
whom	whom	pnqo
he	he	pphs1
had	have	vhd
become	become	vvn@
pleasantly	pleasantly	rr
acquainted	acquaint	vvn
in	in	ii
the	the	at
early	early	jj
fifties	fifties	mc2
when	when	cs
Bellow	bellow	np1_nn1
was	be	vbdz
writing	write	vvg
The	the	at
Adventures	adventure	nn2
of	of	io
Augie	augie	np1
March	march	np1@_npm1
,	,	y
invited	invite	vvd_vvn
him	him	ppho1
to	to	to
have	have	vhi
a	a	at1
drink	drink	nn1
after	after	ii_cs
his	his	appge
talk	talk	nn1
.	.	y
For	for	if
their	their	appge
drinking	drinking	nn1
place	place	nn1_vv0
Bellow	bellow	nn1_np1
chose	choose	vvd
a	a	at1
bar	bar	nn1
in	in	ii
a	a	at1
desperate	desperate	jj
quarter	quarter	nn1
of	of	io
the	the	at
city	city	nn1
;	;	y
it	it	pph1
was	be	vbdz
the	the	at
gathering	gathering	nn1_jj@
place	place	nn1
of	of	io
drunks	drunk	nn2
and	and	cc
deadbeats	deadbeat	nn2_vvz
,	,	y
a	a	at1
refuge	refuge	nn1
of	of	io
people	people	nn
who	who	pnqs
had	have	vhd
been	be	vbn
irreparably	irreparably	rr
damaged	damage	vvn
by	by	ii
life	life	nn1
.	.	y
What	what	ddq
other	other	jj
explanation	explanation	nn1
of	of	io
Bellow	bellow	np1_nn1
's	's	ge
choice	choice	nn1
could	could	vm
there	there	ex
be	be	vbi
than	than	csn
the	the	at
wish	wish	nn1
to	to	to
test	test	vvi
Lionel	lionel	np1
's	's	ge
ability	ability	nn1
to	to	to
handle	handle	vvi
himself	himself	ppx1
in	in	ii
such	such	da
surroundings	surroundings	nn2
?	?	y
<p>	<p>	y
We	we	ppis2
may	may	vm
know	know	vvi
what	what	ddq
she	she	pphs1
means	mean	vvz
,	,	y
we	we	ppis2
may	may	vm
be	be	vbi
able	able	jk
to	to	to
imagine	imagine	vvi
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
complicity	complicity	nn1
in	in	ii
this	this	dd1
description	description	nn1
is	be	vbz
,	,	y
as	as	rr31
it	it	rr32
were	were	vbdr
,	,	y
part	part	nn1
of	of	io
the	the	at
problem	problem	nn1
.	.	y
And	and	cc
it	it	pph1
is	be	vbz
a	a	at1
problem	problem	nn1
that	that	cst
Saul	saul	np1
Bellow	bellow	np1
has	have	vhz
been	be	vbn
unusually	unusually	rr
alert	alert	vv0_jj
to	to	ii
in	in	ii
his	his	appge
fiction	fiction	nn1
.	.	y
It	it	pph1
is	be	vbz
the	the	at
problem	problem	nn1
of	of	io
culture	culture	nn1
,	,	y
and	and	cc
particularly	particularly	rr
so-called	so-called	jj
high	high	jj
culture	culture	nn1
,	,	y
as	as	csa_ii
a	a	at1
version	version	nn1
of	of	io
pastoral	pastoral	jj
;	;	y
but	but	ccb
a	a	at1
version	version	nn1
of	of	io
pastoral	pastoral	jj
that	that	cst_dd1
can	can	vm
be	be	vbi
made	make	vvn
to	to	to
look	look	vvi
unassailable	unassailable	jj
because	because	ii21
of	of	ii22
the	the	at
apparent	apparent	jj
complexity	complexity	nn1
and	and	cc
subtlety	subtlety	nn1
and	and	cc
depth	depth	nn1
of	of	io
its	its	z'
inclusions	inclusion	nn2
.	.	y
A	a	at1_zz1
strangely	strangely	rr
modern	modern	jj
version	version	nn1
of	of	io
pastoral	pastoral	jj
,	,	y
because	because	cs
it	it	pph1
persuades	persuade	vvz
us	us	ppio2
to	to	to
forget	forget	vvi
that	that	dd1_cst
pastoral	pastoral	jj
is	be	vbz
what	what	ddq
it	it	pph1
is	be	vbz
.	.	y
At	at	ii
its	its	z'
worst	bad	jjt_vv0%
it	it	pph1
is	be	vbz
a	a	at1
refuge	refuge	nn1
masquerading	masquerade	vvg
as	as	ii
a	a	at1
profound	profound	jj
engagement	engagement	nn1
.	.	y
If	if	cs
despite	despite	ii
Diana	diana	np1
Trilling	trilling	np1
's	's	ge
rhetorical	rhetorical	jj
question	question	nn1
this	this	dd1
scene	scene	nn1
seems	seem	vvz
emblematic	emblematic	jj
in	in	ii
more	more	dar
ways	way	nn2
than	than	csn
one	one	mc1
--	--	x
of	of	io
two	two	mc
antagonistic	antagonistic	jj
Jewish	jewish	jj
(	(	y
and	and	cc
not	not	xx
only	only	rr_jj
Jewish	jewish	jj
)	)	y
aspirations	aspiration	nn2
,	,	y
of	of	io
the	the	at
composure	composure	nn1
of	of	io
the	the	at
cultured	cultured	jj
versus	versus	ii
the	the	at
disarray	disarray	nn1
of	of	io
what	what	ddq
they	they	pphs2
hide	hide	vv0
from	from	ii
,	,	y
of	of	io
the	the	at
need	need	nn1
to	to	to
know	know	vvi
people	people	nn
by	by	ii
testing	test	vvg
them	them	ppho2
rather	rather	ii21_cs21@
than	than	ii22_cs22@
by	by	ii
taking	take	vvg
them	them	ppho2
on	on	ii_rp@
their	their	appge
own	own	da
terms	term	nn2
--	--	x
it	it	pph1
is	be	vbz
partly	partly	rr
because	because	cs
it	it	pph1
stages	stage	vvz@
so	so	rg
neatly	neatly	rr
the	the	at
preoccupations	preoccupation	nn2
,	,	y
the	the	at
obsessions	obsession	nn2
,	,	y
of	of	io
both	both	rr
Trilling	trill	vvg_np1_jj@
and	and	cc
Bellow	bellow	np1_nn1_vv0
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
Ravelstein	ravelstein	nn1@_np1
of	of	io
Bellow	bellow	np1_nn1
's	's	ge
title	title	nn1
is	be	vbz
no	no	at
exception	exception	nn1
--	--	x
are	be	vbr
always	always	rr
wholeheartedly	wholeheartedly	rr
assailable	assailable	jj
,	,	y
and	and	cc
above	above	ii
all	all	db
attentive	attentive	jj
to	to	ii
other	other	jj
people	people	nn
's	's	ge
airs	air	nn2
(	(	y
and	and	cc
often	often	rr
their	their	appge
graces	grace	nn2
)	)	y
.	.	y
And	and	cc
they	they	pphs2
are	be	vbr
always	always	rr
men	man	nn2
who	who	pnqs
live	live	vv0
somewhere	somewhere	rl
in	in	ii
themselves	themselves	ppx2
,	,	y
in	in	ii
a	a	at1
desperate	desperate	jj
quarter	quarter	nn1
;	;	y
and	and	cc
are	be	vbr
,	,	y
as	as	csa
everyone	everyone	pn1
is	be	vbz
,	,	y
irreparably	irreparably	rr
damaged	damage	vvn
by	by	ii
life	life	nn1
.	.	y
But	but	ccb
unlike	unlike	jj_ii@
almost	almost	rr
everyone	everyone	pn1
else	else	rr
,	,	y
they	they	pphs2
are	be	vbr
astonishingly	astonishingly	rr
articulate	articulate	vv0_jj
,	,	y
and	and	cc
learned	learn	vvd_vvn
,	,	y
and	and	cc
poignantly	poignantly	rr
moving	move	vvg_jj@
and	and	cc
amused	amused	jj
about	about	ii
their	their	appge
various	various	jj
predicaments	predicament	nn2
.	.	y
However	however	rgqv_rrqv_rr
abject	abject	jj
,	,	y
they	they	pphs2
luxuriate	luxuriate	vv0
in	in	ii_rp@
words	word	nn2
and	and	cc
things	thing	nn2
(	(	y
Humboldt	humboldt	np1
,	,	y
Bellow	bellow	np1
wrote	write	vvd
,	,	y
"	"	y
spoke	speak	vvd
wonderfully	wonderfully	rr
of	of	io
the	the	at
wonderful	wonderful	jj
,	,	y
abominable	abominable	jj
rich	rich	jj
"	"	y
)	)	y
.	.	y
Ravelstein	ravelstein	nn1_np1@
,	,	y
the	the	at
great	great	jj
teacher	teacher	nn1
dying	die	vvg_jj
of	of	io
AIDS	aids	nn2
,	,	y
is	be	vbz
in	in	ii
this	this	dd1
tradition	tradition	nn1
of	of	io
Bellow	bellow	nn1_np1
's	be	vbz_ge
grandly	grandly	rr
destitute	destitute	jj
,	,	y
and	and	cc
is	be	vbz
at	at	ii
the	the	at
center	center	nn1
of	of	io
what	what	ddq
is	be	vbz
,	,	y
remarkably	remarkably	rr
,	,	y
one	one	mc1
of	of	io
Bellow	bellow	np1_nn1
's	's	ge
finest	fine	jjt
novels	novel	nn2
.	.	y
<p>	<p>	y
Trilling	trilling	np1@_vvg_nn1@
is	be	vbz
always	always	rr
trying	try	vvg
to	to	to
persuade	persuade	vvi
us	us	ppio2
(	(	y
and	and	cc
presumably	presumably	rr
himself	himself	ppx1
)	)	y
in	in	ii
his	his	appge
criticism	criticism	nn1
that	that	cst
the	the	at
culture	culture	nn1
he	he	pphs1
values	value	vvz@
is	be	vbz
n't	n't	xx
,	,	y
and	and	cc
should	should	vm
n't	n't	xx
be	be	vbi
,	,	y
a	a	at1
retreat	retreat	nn1
from	from	ii
anything	anything	pn1
.	.	y
And	and	cc
Bellow	bellow	np1_nn1
's	's	ge
fiction	fiction	nn1
,	,	y
one	one	mc1
way	way	nn1
or	or	cc
another	another	dd1
,	,	y
has	have	vhz
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
of	of	io
culture	culture	nn1
and	and	cc
learning	learning	nn1_vvg
.	.	y
For	for	if
Bellow	bellow	np1_nn1_vv0
the	the	at
drama	drama	nn1
has	have	vhz
n't	n't	xx
been	be	vbn
only	only	rr
about	about	ii
connecting	connect	vvg
the	the	at
prose	prose	nn1
and	and	cc
the	the	at
passion	passion	nn1
,	,	y
but	but	ccb
more	more	rrr_dar
about	about	ii
seeing	see	vvg
what	what	ddq
the	the	at
deadbeats	deadbeat	nn2
and	and	cc
the	the	at
professors	professor	nn2
make	make	vv0
of	of	io
each	each	ppx221
other	other	ppx222
.	.	y
As	as	ii@_csa
both	both	db2_rr
of	of	io
them	them	ppho2
are	be	vbr
sticklers	stickler	nn2
for	for	if
the	the	at
noble	noble	jj
life	life	nn1
--	--	x
and	and	cc
are	be	vbr
keen	keen	jj
to	to	to
tell	tell	vvi
us	us	ppio2
what	what	ddq
we	we	ppis2
should	should	vm
be	be	vbi
doing	do	vdg
to	to	to
ennoble	ennoble	vvi
our	our	appge
lives	life	nn2
--	--	x
they	they	pphs2
are	be	vbr
determinedly	determinedly	rr
stylish	stylish	jj
about	about	ii
the	the	at
crude	crude	jj_nn1@
and	and	cc
the	the	at
vulgar	vulgar	jj
(	(	y
in	in	ii
this	this	dd1
sense	sense	nn1
Trilling	trilling	np1
's	's	ge
composure	composure	nn1
and	and	cc
the	the	at
brash	brash	jj
eloquence	eloquence	nn1
of	of	io
Bellow	bellow	np1_nn1
's	's	ge
heroes	hero	nn2
are	be	vbr
mirror	mirror	nn1
images	image	nn2
of	of	io
each	each	ppx221
other	other	ppx222
)	)	y
.	.	y
They	they	pphs2
are	be	vbr
,	,	y
in	in	ii
their	their	appge
quite	quite	rg
different	different	jj
ways	way	nn2
,	,	y
both	both	rr_db2
enthralled	enthrall	vvn
by	by	ii_rp%
,	,	y
and	and	cc
at	at	ii
their	their	appge
most	most	rgt
fascinating	fascinating	jj
about	about	ii_rp@
,	,	y
sophistication	sophistication	nn1
.	.	y
<p>	<p>	y
Writing	write	vvg_nn1
in	in	ii
Sincerity	sincerity	nn1
and	and	cc
Authenticity	authenticity	nn1
about	about	ii
how	how	rrq
the	the	at
novelists	novelist	nn2
of	of	io
the	the	at
nineteenth	nineteenth	md
century	century	nnt1
were	be	vbdr
"	"	y
anything	anything	rr21
but	but	rr22
confident	confident	jj
that	that	cst
the	the	at
old	old	jj
vision	vision	nn1
of	of	io
the	the	at
noble	noble	jj
life	life	nn1
could	could	vm
be	be	vbi
realized	realize	vvn
,	,	y
"	"	y
Trilling	trilling	np1
refers	refer	vvz
to	to	ii
Bellow	bellow	np1
's	's	ge
Moses	moses	np1
Herzog	herzog	np1_nn1
.	.	y
"	"	y
When	when	rrq_cs
,	,	y
for	for	rex21
example	example	rex22
,	,	y
"	"	y
Trilling	trilling	np1
writes	write	vvz
,	,	y
<p>	<p>	y
a	a	at1
gifted	gifted	jj
novelist	novelist	nn1
,	,	y
Saul	saul	np1
Bellow	bellow	np1
,	,	y
tries	try	vvz_nn2
through	through	ii_rp@
his	his	appge
Moses	moses	np1
Herzog	herzog	np1_vv0_nn1
to	to	to
question	question	vvi
the	the	at
prevailing	prevailing	jj
negation	negation	nn1
of	of	io
the	the	at
old	old	jj
vision	vision	nn1
and	and	cc
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
,	,	y
we	we	ppis2
respond	respond	vv0
with	with	iw
discomfort	discomfort	nn1
and	and	cc
embarrassment	embarrassment	nn1
.	.	y
And	and	cc
the	the	at
more	more	rrr_dar
,	,	y
no	no	rr21
doubt	doubt	rr22
,	,	y
because	because	cs
we	we	ppis2
discern	discern	vv0
some	some	dd
discomfort	discomfort	nn1
and	and	cc
embarrassment	embarrassment	nn1
on	on	ii41
the	the	ii42
part	part	ii43
of	of	ii44
Mr.	mr	nnb
Bellow	bellow	np1
himself	himself	ppx1
,	,	y
arising	arise	vvg
from	from	ii
his	his	ppge@_appge
sufficiently	sufficiently	rr
accurate	accurate	jj
apprehension	apprehension	nn1
that	that	cst
in	in	ii
controverting	controvert	vvg
the	the	at
accepted	accepted	jj
attitude	attitude	nn1
he	he	pphs1
lays	lay	vvz
himself	himself	ppx1
open	open	vv0_jj_rr@
to	to	ii
the	the	at
terrible	terrible	jj
charge	charge	nn1
of	of	io
philistinism	philistinism	nn1
,	,	y
of	of	io
being	be	vbg
a	a	at1
defector	defector	nn1
from	from	ii
the	the	at
ranks	rank	nn2
of	of	io
the	the	at
children	child	nn2
of	of	io
light	light	nn1_jj
,	,	y
a	a	at1
traitor	traitor	nn1
to	to	ii
spirit	spirit	nn1
.	.	y
We	we	ppis2
take	take	vv0
it	it	pph1
as	as	ii_csa
an	a	at1
affront	affront	nn1
to	to	ii
our	our	appge
sense	sense	nn1
of	of	io
reality	reality	nn1
that	that	cst
a	a	at1
contemporary	contemporary	nn1@_jj
should	should	vm
employ	employ	vvi
that	that	dd1_cst
mode	mode	nn1
of	of	io
judging	judge	vvg
the	the	at
spiritual	spiritual	jj
life	life	nn1
which	which	ddq
we	we	ppis2
are	be	vbr
willing	willing	jj
to	to	to
accept	accept	vvi
and	and	cc
even	even	rr
find	find	vvi
entrancing	entrance	vvg
when	when	rrq_cs
we	we	ppis2
encounter	encounter	vv0
it	it	pph1
in	in	ii
Shakespeare	shakespeare	np1
's	's	ge
romances	romance	nn2
.	.	y
<p>	<p>	y
As	as	csa_rg@
terrible	terrible	jj
charges	charge	nn2
go	go	vv0
,	,	y
one	one	pn1
might	might	vm
think	think	vvi
,	,	y
there	there	ex
are	be	vbr
probably	probably	rr
worse	bad	jjr
ones	one	z'
.	.	y
And	and	cc
yet	yet	rr
,	,	y
as	as	csa_rg@
ever	ever	rr
,	,	y
Trilling	trilling	np1
has	have	vhz
located	locate	vvn
,	,	y
in	in	ii
his	his	appge
elegant	elegant	jj
,	,	y
Freudian	freudian	jj
way	way	nn1
,	,	y
a	a	at1
conflict	conflict	nn1
.	.	y
Or	or	cc
at	at	rr21
least	least	rr22
some	some	dd
kind	kind	nn1
of	of	io
paradoxical	paradoxical	jj
tension	tension	nn1
in	in	ii
Bellow	bellow	np1
's	's	ge
work	work	nn1
.	.	y
If	if	cs
it	it	pph1
is	be	vbz
old-fashioned	old-fashioned	jj
,	,	y
if	if	cs
not	not	xx
actually	actually	rr
regressive	regressive	jj
,	,	y
to	to	to
assert	assert	vvi
the	the	at
value	value	nn1
of	of	io
the	the	at
achieved	achieved	jj%_vvn
and	and	cc
successful	successful	jj
life	life	nn1
,	,	y
what	what	ddq
else	else	rr
can	can	vm
be	be	vbi
asserted	assert	vvn@
in	in	ii
its	its	z'
stead	stead	nn1
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
a	a	at1
phrase	phrase	nn1
Allan	allan	np1
Bloom	bloom	np1
,	,	y
the	the	at
putative	putative	jj
original	original	jj_nn1@
for	for	if
Ravelstein	ravelstein	np1
,	,	y
uses	use	vvz_nn2
with	with	ii31
reference	reference	ii32
to	to	ii33
Shakespeare	shakespeare	np1
's	's	ge
romances	romance	nn2
--	--	x
of	of	io
these	these	dd2
romances	romance	nn2
affront	affront	nn1
our	our	appge
contemporary	contemporary	jj
sense	sense	nn1
of	of	io
reality	reality	nn1
,	,	y
then	then	rt
what	what	ddq
forms	form	vvz_nn2
of	of	io
disarray	disarray	nn1
are	be	vbr
we	we	ppis2
going	go	vvgk
to	to	to
put	put	vvi
our	our	appge
money	money	nn1
on	on	ii_rp@
?	?	y
<p>	<p>	y
Ravelstein	ravelstein	nn1_np1@
,	,	y
the	the	at
political	political	jj
philosopher	philosopher	nn1
and	and	cc
worshipper	worshipper	nn1
of	of	io
Eros	eros	np1
,	,	y
has	have	vhz
devoted	devote	vvn
his	his	appge
life	life	nn1
to	to	ii
teaching	teach	vvg
the	the	at
best	best	rrt_jjt
that	that	dd1_cst
has	have	vhz
been	be	vbn
thought	think	vvn
and	and	cc
done	do	vdn
about	about	ii
the	the	at
ordering	ordering	nn1
of	of	io
the	the	at
soul	soul	nn1
and	and	cc
the	the	at
ordering	ordering	nn1
of	of	io
the	the	at
polis	polis	nn1
;	;	y
and	and	cc
he	he	pphs1
is	be	vbz
now	now	rt
dying	die	vvg_jj
of	of	io
AIDS	aids	nn2
.	.	y
And	and	cc
he	he	pphs1
has	have	vhz
asked	ask	vvn
his	his	appge
older	old	jjr
close	close	jj
friend	friend	nn1
,	,	y
a	a	at1
writer	writer	nn1
called	call	vvn
Chick	chick	np1
,	,	y
to	to	to
write	write	vvi
his	his	appge
biography	biography	nn1
,	,	y
the	the	at
final	final	jj_nn1
testament	testament	nn1
to	to	ii
an	a	at1
achieved	achieved	jj%
and	and	cc
successful	successful	jj
life	life	nn1
.	.	y
Or	or	cc
rather	rather	rr@_rg
,	,	y
the	the	at
contemporary	contemporary	jj
genre	genre	nn1
in	in	ii
which	which	ddq
the	the	at
notions	notion	nn2
of	of	io
success	success	nn1
and	and	cc
achievement	achievement	nn1
are	be	vbr
both	both	rr_db2
assumed	assume	vvn_vvd
and	and	cc
put	put	vvn_vvd_vv0
into	into	ii
question	question	nn1
.	.	y
More	more	dar_rrr
than	than	csn
any	any	dd
of	of	io
Bellow	bellow	np1_nn1
's	's	ge
other	other	jj
books	book	nn2
,	,	y
Ravelstein	ravelstein	np1
seems	seem	vvz
like	like	ii
a	a	at1
wholly	wholly	rr
successful	successful	jj
example	example	nn1
of	of	io
an	a	at1
utterly	utterly	rr
implausible	implausible	jj
genre	genre	nn1
:	:	y
a	a	at1
contemporary	contemporary	jj_nn1@
,	,	y
Jewish	jewish	jj
Platonic	platonic	jj
dialogue	dialogue	nn1
.	.	y
Like	like	ii
the	the	at
tricky	tricky	jj
romance	romance	nn1
of	of	io
taking	take	vvg
Trilling	trilling	np1_vvg_nn1@
to	to	ii
that	that	dd1
bar	bar	nn1
--	--	x
wondering	wonder	vvg
whether	whether	csw
it	it	pph1
would	would	vm
end	end	vvi
in	in	ii_rp@
tears	tear	nn2
,	,	y
or	or	cc
just	just	rr
what	what	ddq
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
in	in	ii
this	this	dd1
novel	novel	nn1_jj
to	to	to
explore	explore	vvi
the	the	at
ways	way	nn2
in	in	ii
which	which	ddq
people	people	nn
are	be	vbr
informed	inform	vvn
,	,	y
in	in	ii
the	the	at
most	most	rgt
various	various	jj
senses	sense	nn2
of	of	io
this	this	dd1
word	word	nn1
,	,	y
by	by	ii
the	the	at
people	people	nn
they	they	pphs2
love	love	vv0
and	and	cc
admire	admire	vv0
.	.	y
It	it	pph1
is	be	vbz
"	"	y
the	the	at
promise	promise	nn1
Chick	chick	nn1_np1
had	have	vhd
made	make	vvn
years	year	nnt2
ago	ago	ra
to	to	to
write	write	vvi
a	a	at1
short	short	jj
description	description	nn1
of	of	io
Ravelstein	ravelstein	np1
and	and	cc
to	to	to
give	give	vvi
an	a	at1
account	account	nn1
of	of	io
his	his	appge
life	life	nn1
.	.	y
"	"	y
And	and	cc
as	as	ii_csa
a	a	at1
kept	kept	jj%
promise	promise	nn1
of	of	io
sorts	sort	nn2
--	--	x
the	the	at
book	book	nn1
we	we	ppis2
read	read	vv0
is	be	vbz
an	a	at1
account	account	nn1
of	of	io
preparing	prepare	vvg
to	to	to
write	write	vvi
this	this	dd1
biography	biography	nn1
--	--	x
it	it	pph1
is	be	vbz
an	a	at1
ironic	ironic	jj
vindication	vindication	nn1
,	,	y
against	against	ii
the	the	at
grain	grain	nn1
of	of	io
modern	modern	jj
biography	biography	nn1
,	,	y
that	that	cst
a	a	at1
short	short	jj
description	description	nn1
of	of	io
somebody	somebody	pn1
,	,	y
done	do	vdn
with	with	iw
sufficient	sufficient	jj
skill	skill	nn1
,	,	y
can	can	vm
be	be	vbi
an	a	at1
account	account	nn1
of	of	io
their	their	appge
life	life	nn1
.	.	y
Bellow	bellow	nn1_np1@
intimates	intimate	vvz
not	not	xx
(	(	y
quite	quite	rr@
)	)	y
that	that	cst
all	all	db
biographers	biographer	nn2
are	be	vbr
failed	fail	vvn_jj@
novelists	novelist	nn2
,	,	y
but	but	ccb
that	that	dd1_cst@
all	all	db
biographies	biography	nn2
are	be	vbr
failed	fail	vvn
or	or	cc
ersatz	ersatz	jj
novels	novel	nn2
.	.	y
<p>	<p>	y
The	the	at
novel	novel	jj_nn1
Ravelstein	ravelstein	nn1@_np1
is	be	vbz
,	,	y
in	in	ii
other	other	jj
words	word	nn2
,	,	y
not	not	xx
a	a	at1
biography	biography	nn1
of	of	io
someone	someone	pn1
called	call	vvd@_vvn
Ravelstein	ravelstein	np1
,	,	y
nor	nor	cc
of	of	io
someone	someone	pn1
called	call	vvd@_vvn
Allan	allan	np1
Bloom	bloom	np1
.	.	y
It	it	pph1
is	be	vbz
a	a	at1
fiction	fiction	nn1
about	about	ii
biography	biography	nn1
.	.	y
And	and	cc
the	the	at
much	much	rr
publicized	publicized	jj_vvn
connections	connection	nn2
made	make	vvn_vvd
between	between	ii
Bellow	bellow	np1_nn1
's	's	ge
close	close	jj
friend	friend	nn1
Bloom	bloom	np1_nn1@
and	and	cc
Bellow	bellow	np1_nn1
's	's	ge
(	(	y
and	and	cc
Chick	chick	np1_nn1
's	's	ge
)	)	y
subject	subject	nn1_jj@
Ravelstein	ravelstein	np1_nn1@
are	be	vbr
to	to	ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
it	it	rr32
were	were	vbdr
,	,	y
integral	integral	jj
to	to	ii
Bellow	bellow	np1
's	's	ge
sense	sense	nn1
of	of	io
,	,	y
or	or	cc
joke	joke	vv0@_nn1
about	about	rp@_ii
,	,	y
biography	biography	nn1
in	in	ii
this	this	dd1
book	book	nn1
.	.	y
Ravelstein	ravelstein	nn1_np1@
,	,	y
we	we	ppis2
are	be	vbr
told	tell	vvn
on	on	ii
several	several	da2
occasions	occasion	nn2
,	,	y
loved	love	vvd_vvn
listening	listen	vvg_nn1_jj
to	to	ii
classical	classical	jj
music	music	nn1
played	play	vvn_vvd
on	on	ii
"	"	y
original	original	jj
instruments	instrument	nn2
"	"	y
:	:	y
and	and	cc
what	what	ddq
,	,	y
we	we	ppis2
are	be	vbr
made	make	vvn
to	to	to
wonder	wonder	vvi
in	in	ii_rp@
a	a	at1
book	book	nn1
about	about	ii
someone	someone	pn1
who	who	pnqs
wonders	wonder	vvz
about	about	ii
virtually	virtually	rr
everything	everything	pn1
,	,	y
does	do	vdz
"	"	y
original	original	jj
"	"	y
mean	mean	nn1@_jj_vv0
?	?	y
What	what	ddq
is	be	vbz
involved	involved	jj
in	in	ii
this	this	dd1
fantasy	fantasy	nn1
of	of	io
origins	origin	nn2
?	?	y
If	if	cs
Ravelstein	ravelstein	np1
is	be	vbz
"	"	y
like	like	ii
"	"	y
Allan	allan	np1
Bloom	bloom	np1
or	or	cc
"	"	y
based	base	vvn
on	on	ii
"	"	y
Allan	allan	np1
