##1012950		
Maggie	maggie	np1
.	.	y
<p>	<p>	y
"	"	y
The	the	at
Rabbis	rabbi	nn2
,	,	y
you	you	ppy
say	say	vv0
.	.	y
"	"	y
<p>	<p>	y
"	"	y
Yes	yes	uh
,	,	y
Elijah	elijah	np1
.	.	y
You	you	ppy
see	see	vv0
,	,	y
we	we	ppis2
are	be	vbr
a	a	at1
democratic	democratic	jj
government	government	nn1
.	.	y
We	we	ppis2
rule	rule	vv0@
by	by	ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
Religious	religious	jj
Party	party	nn1
,	,	y
which	which	ddq
is	be	vbz
headed	head	vvn
by	by	ii
the	the	at
Chief	chief	jj_nn1
Rabbi	rabbi	nn1
.	.	y
Whatever	whatever	ddqv
we	we	ppis2
do	do	vd0
that	that	dd1
is	be	vbz
religious	religious	jj
connected	connected	jj_vvn
must	must	vm
have	have	vhi
the	the	at
approval	approval	nn1
of	of	io
the	the	at
Chief	chief	jj_nn1
Rabbi	rabbi	nn1
.	.	y
Is	be	vbz
that	that	dd1
clear	clear	jj
,	,	y
Elijah	elijah	np1
?	?	y
"	"	y
<p>	<p>	y
"	"	y
Yes	yes	uh
,	,	y
"	"	y
Elijah	elijah	np1
answered	answer	vvd
.	.	y
<p>	<p>	y
"	"	y
The	the	at
arrival	arrival	nn1
of	of	io
the	the	at
Messiah	messiah	nn1
falls	fall	vvz_nn2
eminently	eminently	rr
into	into	ii
that	that	dd1
category	category	nn1
,	,	y
"	"	y
the	the	at
Prime	prime	jj
Minister	minister	nn1
said	say	vvd
.	.	y
<p>	<p>	y
"	"	y
So	so	rr
what	what	ddq
you	you	ppy
are	be	vbr
saying	say	vvg
,	,	y
Prime	prime	jj
Minister	minister	nn1
,	,	y
is	be	vbz
that	that	dd1
we	we	ppis2
must	must	vm
meet	meet	vvi
first	first	md
with	with	iw
the	the	at
Chief	chief	jj_nn1
Rabbi	rabbi	nn1
.	.	y
"	"	y
<p>	<p>	y
"	"	y
That	that	dd1
is	be	vbz
true	true	jj
.	.	y
"	"	y
<p>	<p>	y
"	"	y
In	in	ii
that	that	dd1
case	case	nn1
,	,	y
Mr.	mr	nnb
Prime	prime	np1
Minister	minister	nn1
,	,	y
would	would	vm
you	you	ppy
arrange	arrange	vvi
without	without	iw_rr%_rl%
delay	delay	nn1_vv0
the	the	at
appearance	appearance	nn1
of	of	io
the	the	at
Chief	chief	jj_nn1
Rabbi	rabbi	nn1
.	.	y
Heaven	heaven	nn1
is	be	vbz
not	not	xx
happy	happy	jj
with	with	iw
the	the	at
delay	delay	nn1
.	.	y
"	"	y
<p>	<p>	y
The	the	at
Prime	prime	jj
Minister	minister	nn1
said	say	vvd
rather	rather	rg
smugly	smugly	rr
,	,	y
"	"	y
I	i	ppis1
have	have	vh0
taken	take	vvn
the	the	at
liberty	liberty	nn1
of	of	io
summoning	summon	vvg
the	the	at
Chief	chief	jj_nn1
Rabbi	rabbi	nn1
and	and	cc
his	his	appge
spokesman	spokesman	nn1
.	.	y
They	they	pphs2
will	will	vm
be	be	vbi
here	here	rl
shortly	shortly	rr
.	.	y
In	in	ii
the	the	at
meantime	meantime	nnt1
,	,	y
may	may	vm
I	i	ppis1
offer	offer	vvi
you	you	ppy
and	and	cc
your	your	appge
companion	companion	nn1
a	a	at1
cup	cup	nn1
of	of	io
tea	tea	nn1
or	or	cc
some	some	dd
other	other	jj
beverage	beverage	nn1
?	?	y
"	"	y
<p>	<p>	y
"	"	y
Thank	thank	vv0
you	you	ppy
,	,	y
no	no	uh
,	,	y
Prime	prime	jj
Minister	minister	nn1
,	,	y
"	"	y
Elijah	elijah	np1
answered	answer	vvd
.	.	y
<p>	<p>	y
"	"	y
And	and	cc
the	the	at
lady	lady	nn1
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
you	you	ppy
,	,	y
Prime	prime	jj
Minister	minister	nn1
,	,	y
"	"	y
she	she	pphs1
answered	answer	vvd
with	with	iw
a	a	at1
smile	smile	nn1
.	.	y
"	"	y
We	we	ppis2
take	take	vv0
our	our	appge
nourishment	nourishment	nn1
in	in	ii
the	the	at
evening	evening	nnt1
.	.	y
"	"	y
<p>	<p>	y
The	the	at
Prime	prime	jj
Minister	minister	nn1
's	's	ge
assistant	assistant	nn1
entered	enter	vvd_vvn
the	the	at
office	office	nn1
and	and	cc
announced	announce	vvd_vvn
that	that	cst
the	the	at
Chief	chief	jj_nn1
Rabbi	rabbi	nn1
and	and	cc
his	his	appge
spokesman	spokesman	nn1
had	have	vhd
arrived	arrive	vvn
.	.	y
They	they	pphs2
were	be	vbdr
ushered	usher	vvn
in	in	rp
and	and	cc
seated	seat	vvn
.	.	y
The	the	at
Prime	prime	jj
Minister	minister	nn1
was	be	vbdz
about	about	rpk
to	to	to
introduce	introduce	vvi
his	his	appge
visitors	visitor	nn2
to	to	ii
the	the	at
Chief	chief	jj_nn1
Rabbi	rabbi	nn1
and	and	cc
his	his	appge
assistant	assistant	nn1_jj
,	,	y
but	but	ccb
the	the	at
Rabbi	rabbi	nn1
raised	raise	vvd_vvn
his	his	appge
right	right	jj
hand	hand	nn1
as	as	cs21
if	if	cs22
to	to	to
indicate	indicate	vvi
it	it	pph1
was	be	vbdz
not	not	xx
necessary	necessary	jj
.	.	y
He	he	pphs1
looked	look	vvd
directly	directly	rr
at	at	ii
Elijah	elijah	np1
and	and	cc
said	say	vvd
in	in	ii_rp@
a	a	at1
firm	firm	jj_nn1
voice	voice	nn1
,	,	y
"	"	y
You	you	ppy
say	say	vv0
you	you	ppy
are	be	vbr
Elijah	elijah	np1
.	.	y
Elijah	elijah	np1
the	the	at
Prophet	prophet	nn1
.	.	y
"	"	y
<p>	<p>	y
"	"	y
That	that	dd1
is	be	vbz
true	true	jj
,	,	y
Jacob	jacob	np1
,	,	y
"	"	y
Elijah	elijah	np1
answered	answer	vvd
.	.	y
<p>	<p>	y
"	"	y
You	you	ppy
call	call	vv0
me	me	ppio1
Jacob	jacob	np1
though	though	cs
we	we	ppis2
have	have	vh0
never	never	rr
met	meet	vvn
.	.	y
"	"	y
<p>	<p>	y
"	"	y
That	that	dd1
should	should	vm
not	not	xx
surprise	surprise	vvi
you	you	ppy
.	.	y
"	"	y
<p>	<p>	y
"	"	y
Why	why	rrq
?	?	y
"	"	y
<p>	<p>	y
"	"	y
I	i	ppis1
am	be	vbm
a	a	at1
prophet	prophet	nn1
.	.	y
I	i	ppis1
have	have	vh0
known	know	vvn
you	you	ppy
for	for	if
a	a	at1
thousand	thousand	m
years	year	nnt2
.	.	y
"	"	y
<p>	<p>	y
The	the	at
Chief	chief	jj_nn1
Rabbi	rabbi	nn1
squirmed	squirm	vvd_vvn@
in	in	ii_rp@
his	his	appge
seat	seat	nn1
.	.	y
He	he	pphs1
seemed	seem	vvd
uncomfortable	uncomfortable	jj
.	.	y
"	"	y
If	if	cs
I	i	ppis1
may	may	vm
say	say	vvi
so	so	rr
,	,	y
you	you	ppy
are	be	vbr
a	a	at1
master	master	nn1
of	of	io
trickery	trickery	nn1
.	.	y
But	but	ccb
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
be	be	vbi
Elijah	elijah	np1
the	the	at
Prophet	prophet	nn1
?	?	y
"	"	y
<p>	<p>	y
"	"	y
I	i	ppis1
am	be	vbm
he	he	pphs1
,	,	y
"	"	y
Elijah	elijah	np1
answered	answer	vvd
.	.	y
<p>	<p>	y
"	"	y
You	you	ppy
are	be	vbr
mentioned	mention	vvn
in	in	ii
Scripture	scripture	nn1
as	as	csa_ii@
wearing	wear	vvg
a	a	at1
garment	garment	nn1
made	make	vvn_vvd
of	of	io
haircloth	haircloth	nn1
.	.	y
"	"	y
<p>	<p>	y
"	"	y
I	i	ppis1
am	be	vbm
wearing	wear	vvg
it	it	pph1
now	now	rt
as	as	csa
you	you	ppy
can	can	vm
see	see	vvi
,	,	y
"	"	y
Elijah	elijah	np1
said	say	vvd
.	.	y
<p>	<p>	y
"	"	y
You	you	ppy
claim	claim	vv0
that	that	cst
you	you	ppy
are	be	vbr
present	present	jj
at	at	ii
every	every	at1
bris	bris	nn1
.	.	y
"	"	y
<p>	<p>	y
"	"	y
True	true	jj
.	.	y
I	i	ppis1
was	be	vbdz
at	at	ii
yours	yours	ppge
,	,	y
Rabbi	rabbi	nn1
.	.	y
Shall	shall	vm
I	i	ppis1
describe	describe	vvi
what	what	ddq
I	i	ppis1
saw	see	vvd_vv0%
?	?	y
"	"	y
<p>	<p>	y
"	"	y
That	that	dd1
will	will	vm
not	not	xx
be	be	vbi
necessary	necessary	jj
.	.	y
"	"	y
He	he	pphs1
continued	continue	vvd
,	,	y
"	"	y
And	and	cc
you	you	ppy
claim	claim	vv0
you	you	ppy
attend	attend	vv0
every	every	at1
Seder	seder	nn1
on	on	ii
Passover	passover	nnt1
and	and	cc
that	that	cst
there	there	ex
is	be	vbz
a	a	at1
Cup	cup	nn1
for	for	if
Elijah	elijah	np1
waiting	wait	vvg_nn1@
on	on	ii
the	the	at
table	table	nn1
for	for	if
you	you	ppy
?	?	y
"	"	y
the	the	at
Chief	chief	jj_nn1
Rabbi	rabbi	nn1
asked	ask	vvd
.	.	y
<p>	<p>	y
"	"	y
Exactly	exactly	rr
.	.	y
I	i	ppis1
was	be	vbdz
at	at	ii
yours	yours	ppge
.	.	y
If	if	cs
I	i	ppis1
may	may	vm
say	say	vvi
so	so	rr
,	,	y
Rabbi	rabbi	nn1
,	,	y
the	the	at
wine	wine	nn1
at	at	ii
your	your	appge
table	table	nn1
was	be	vbdz
not	not	xx
fully	fully	rr
matured	mature	vvn_vvd
.	.	y
"	"	y
<p>	<p>	y
"	"	y
That	that	dd1
is	be	vbz
true	true	jj
,	,	y
"	"	y
the	the	at
Chief	chief	jj_nn1
Rabbi	rabbi	nn1
admitted	admit	vvd_vvn
.	.	y
He	he	pphs1
pressed	press	vvd
on	on	rp@
.	.	y
<p>	<p>	y
"	"	y
It	it	pph1
is	be	vbz
written	write	vvn
that	that	cst
Elijah	elijah	np1
was	be	vbdz
fed	feed	vvn
by	by	ii
ravens	raven	nn2
and	and	cc
ate	eat	vvd
grasshoppers	grasshopper	nn2
for	for	if
sustenance	sustenance	nn1
.	.	y
"	"	y
<p>	<p>	y
"	"	y
That	that	dd1
is	be	vbz
something	something	pn1
of	of	io
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
I	i	ppis1
was	be	vbdz
a	a	at1
fugitive	fugitive	nn1
at	at	ii
the	the	at
time	time	nnt1
,	,	y
you	you	ppy
understand	understand	vv0
.	.	y
"	"	y
<p>	<p>	y
"	"	y
Does	do	vdz
that	that	dd1
complete	complete	vvi
your	your	appge
biography	biography	nn1
?	?	y
"	"	y
<p>	<p>	y
"	"	y
No	no	xx
,	,	y
Rabbi	rabbi	nn1
.	.	y
There	there	ex
is	be	vbz
more	more	rrr_dar
.	.	y
"	"	y
<p>	<p>	y
"	"	y
More	more	rrr_dar
?	?	y
"	"	y
<p>	<p>	y
Elijah	elijah	np1
answered	answer	vvd
very	very	rg
leisurely	leisurely	rr_jj
.	.	y
"	"	y
You	you	ppy
know	know	vv0
,	,	y
of	of	rr21
course	course	rr22
,	,	y
that	that	cst
I	i	ppis1
never	never	rr
died	die	vvd_vvn@
.	.	y
I	i	ppis1
was	be	vbdz
taken	take	vvn
alive	alive	jj
to	to	ii
God	god	np1
in	in	ii
heaven	heaven	nn1
in	in	ii
a	a	at1
chariot	chariot	nn1
of	of	io
fire	fire	nn1
.	.	y
"	"	y
<p>	<p>	y
The	the	at
Chief	chief	jj_nn1
Rabbi	rabbi	nn1
snorted	snort	vvd
.	.	y
"	"	y
Everyone	everyone	pn1
knows	know	vvz
that	that	dd1
.	.	y
It	it	pph1
is	be	vbz
in	in	ii
our	our	appge
Scriptures	scripture	nn2
.	.	y
Kings	kings	np1@_nn2
2	2	mc
,	,	y
Chapter	chapter	nn1
2	2	mc
,	,	y
Verse	verse	nn1_vv0@
7	7	mc
.	.	y
But	but	ccb
it	it	pph1
was	be	vbdz
not	not	xx
you	you	ppy
.	.	y
"	"	y
<p>	<p>	y
Elijah	elijah	np1
interrupted	interrupt	vvd
.	.	y
"	"	y
Verse	verse	nn1_vv0@
12	12	mc
actually	actually	rr
.	.	y
"	"	y
<p>	<p>	y
"	"	y
Perhaps	perhaps	rr
,	,	y
"	"	y
the	the	at
Chief	chief	jj_nn1
Rabbi	rabbi	nn1
said	say	vvd
.	.	y
"	"	y
You	you	ppy
are	be	vbr
standing	stand	vvg
on	on	ii_rp@
a	a	at1
mountain	mountain	nn1
of	of	io
lies	lie	nn2
.	.	y
All	all	db
lies	lie	nn2
.	.	y
"	"	y
<p>	<p>	y
"	"	y
You	you	ppy
doubt	doubt	vv0
what	what	ddq
is	be	vbz
written	write	vvn
in	in	ii
Scriptures	scripture	nn2
,	,	y
Rabbi	rabbi	nn1
?	?	y
"	"	y
<p>	<p>	y
"	"	y
Of	of	rr21
course	course	rr22
not	not	xx
.	.	y
You	you	ppy
are	be	vbr
the	the	at
fabricator	fabricator	nn1
.	.	y
"	"	y
<p>	<p>	y
"	"	y
You	you	ppy
want	want	vv0
proof	proof	nn1
,	,	y
Rabbi	rabbi	nn1
,	,	y
"	"	y
Elijah	elijah	np1
said	say	vvd
.	.	y
<p>	<p>	y
With	with	iw
a	a	at1
single	single	jj
movement	movement	nn1
,	,	y
he	he	pphs1
opened	open	vvd
his	his	appge
haircloth	haircloth	nn1
robe	robe	nn1
and	and	cc
revealed	reveal	vvd_vvn
a	a	at1
torso	torso	nn1
that	that	cst_dd1
was	be	vbdz
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
to	to	to
be	be	vbi
unhealed	unhealed	jj
and	and	cc
splattered	splatter	vvd
.	.	y
It	it	pph1
was	be	vbdz
a	a	at1
charred	charred	jj@
body	body	nn1
.	.	y
<p>	<p>	y
The	the	at
Rabbi	rabbi	nn1
averted	avert	vvd_vvn
the	the	at
sight	sight	nn1
and	and	cc
Elijah	elijah	np1
refastened	refasten	vvd
his	his	appge
cloak	cloak	nn1
.	.	y
The	the	at
Chief	chief	jj_nn1
Rabbi	rabbi	nn1
was	be	vbdz
pale	pale	jj
and	and	cc
shaken	shake	vvn_jj@
.	.	y
He	he	pphs1
appeared	appear	vvd
to	to	to
be	be	vbi
on	on	ii
the	the	at
verge	verge	nn1
of	of	io
collapse	collapse	nn1
.	.	y
His	his	appge
assistant	assistant	nn1
asked	ask	vvd_vvn@
for	for	if
water	water	nn1
and	and	cc
a	a	at1
damp	damp	jj
cloth	cloth	nn1
.	.	y
He	he	pphs1
swabbed	swab	vvd
his	his	appge
superior	superior	nn1@_jj
's	's	ge
brow	brow	nn1
and	and	cc
in	in	ii
a	a	at1
short	short	jj
while	while	nnt1
,	,	y
the	the	at
Rabbi	rabbi	nn1
appeared	appear	vvd
normal	normal	jj
.	.	y
<p>	<p>	y
"	"	y
What	what	ddq
happened	happen	vvd
to	to	ii@
your	your	appge
body	body	nn1
?	?	y
"	"	y
he	he	pphs1
said	say	vvd
softly	softly	rr
.	.	y
<p>	<p>	y
"	"	y
I	i	ppis1
was	be	vbdz
on	on	ii
fire	fire	nn1
in	in	ii
the	the	at
chariot	chariot	nn1
,	,	y
"	"	y
Elijah	elijah	np1
answered	answer	vvd
,	,	y
"	"	y
I	i	ppis1
missed	miss	vvd
a	a	at1
step	step	nn1
and	and	cc
fell	fall	vvd
directly	directly	rr
into	into	ii
the	the	at
flames	flame	nn2
.	.	y
The	the	at
horses	horse	nn2
too	too	rr@
were	be	vbdr
afire	afire	jj
,	,	y
you	you	ppy
know	know	vv0
.	.	y
"	"	y
<p>	<p>	y
The	the	at
Chief	chief	jj_nn1
Rabbi	rabbi	nn1
turned	turn	vvd_vvn
to	to	ii
the	the	at
Prime	prime	jj
Minister	minister	nn1
and	and	cc
told	tell	vvd
him	him	ppho1
that	that	cst
he	he	pphs1
was	be	vbdz
ready	ready	jj_rr@
to	to	to
interview	interview	vvi
"	"	y
the	the	at
other	other	jj
one	one	pn1
.	.	y
"	"	y
<p>	<p>	y
"	"	y
I	i	ppis1
assume	assume	vv0
you	you	ppy
mean	mean	vv0
me	me	ppio1
.	.	y
I	i	ppis1
am	be	vbm
the	the	at
Messiah	messiah	nn1
,	,	y
the	the	at
anointed	anointed	jj
one	one	pn1
,	,	y
"	"	y
the	the	at
Messiah	messiah	nn1
said	say	vvd
softly	softly	rr
.	.	y
<p>	<p>	y
"	"	y
She	she	pphs1
is	be	vbz
the	the	at
one	one	pn1_mc1
,	,	y
"	"	y
the	the	at
Rabbi	rabbi	nn1
said	say	vvd
.	.	y
<p>	<p>	y
The	the	at
Messiah	messiah	nn1
addressed	address	vvd_vvn
the	the	at
Chief	chief	jj_nn1
Rabbi	rabbi	nn1
.	.	y
"	"	y
Elijah	elijah	np1
and	and	cc
I	i	ppis1_zz1%
are	be	vbr
pleased	pleased	jj
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
The	the	at
Chief	chief	jj_nn1
Rabbi	rabbi	nn1
was	be	vbdz
silent	silent	jj
.	.	y
His	his	appge
assistant	assistant	nn1
said	say	vvd
,	,	y
"	"	y
Thank	thank	vv0
you	you	ppy
.	.	y
"	"	y
<p>	<p>	y
Elijah	elijah	np1
turned	turn	vvd
to	to	ii
the	the	at
Prime	prime	jj
Minister	minister	nn1
.	.	y
"	"	y
Is	be	vbz
the	the	at
Rabbi	rabbi	nn1
unable	unable	jk
to	to	to
speak	speak	vvi
?	?	y
"	"	y
<p>	<p>	y
The	the	at
Prime	prime	jj
Minister	minister	nn1
replied	reply	vvd
.	.	y
"	"	y
He	he	pphs1
does	do	vdz
not	not	xx
speak	speak	vvi
directly	directly	rr
to	to	ii
women	woman	nn2
.	.	y
"	"	y
<p>	<p>	y
"	"	y
Why	why	rrq
?	?	y
"	"	y
Elijah	elijah	np1
asked	ask	vvd
.	.	y
<p>	<p>	y
"	"	y
They	they	pphs2
say	say	vv0
it	it	pph1
is	be	vbz
forbidden	forbid	vvn
,	,	y
"	"	y
the	the	at
Prime	prime	jj
Minister	minister	nn1
said	say	vvd
.	.	y
<p>	<p>	y
"	"	y
By	by	ii
whom	whom	pnqo
?	?	y
"	"	y
Elijah	elijah	np1
asked	ask	vvd
.	.	y
<p>	<p>	y
"	"	y
By	by	ii
rabbinical	rabbinical	jj
tradition	tradition	nn1
.	.	y
"	"	y
<p>	<p>	y
"	"	y
What	what	ddq
about	about	ii
God	god	np1
's	's	ge
tradition	tradition	nn1
?	?	y
"	"	y
the	the	at
Messiah	messiah	nn1
asked	ask	vvd
.	.	y
<p>	<p>	y
The	the	at
assistant	assistant	nn1
answered	answer	vvn_vvd
for	for	if
the	the	at
Rabbi	rabbi	nn1
.	.	y
"	"	y
We	we	ppis2
believe	believe	vv0
that	that	cst_dd1
rabbinical	rabbinical	jj
tradition	tradition	nn1
is	be	vbz
God	god	np1
's	's	ge
tradition	tradition	nn1
.	.	y
"	"	y
<p>	<p>	y
The	the	at
Messiah	messiah	nn1
said	say	vvd_vvn@
with	with	iw
a	a	at1
laugh	laugh	nn1@
.	.	y
"	"	y
Did	do	vdd
God	god	np1
tell	tell	vvi
you	you	ppy
that	that	cst_dd1_rg%
directly	directly	rr
?	?	y
"	"	y
<p>	<p>	y
"	"	y
Of	of	rr21
course	course	rr22
not	not	xx
,	,	y
young	young	jj
woman	woman	nn1
.	.	y
"	"	y
<p>	<p>	y
"	"	y
Then	then	rt
how	how	rrq
do	do	vd0
you	you	ppy
know	know	vvi
?	?	y
"	"	y
<p>	<p>	y
"	"	y
Through	through	ii
our	our	appge
interpretation	interpretation	nn1
of	of	io
Scripture	scripture	nn1
.	.	y
"	"	y
<p>	<p>	y
She	she	pphs1
continued	continue	vvd
.	.	y
"	"	y
And	and	cc
you	you	ppy
say	say	vv0
that	that	cst
God	god	np1
revealed	reveal	vvd
that	that	cst
you	you	ppy
may	may	vm
not	not	xx
speak	speak	vvi
directly	directly	rr
to	to	ii
a	a	at1
woman	woman	nn1
.	.	y
"	"	y
<p>	<p>	y
This	this	dd1
brought	bring	vvd_vvn
a	a	at1
rejoinder	rejoinder	nn1
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
assistant	assistant	nn1_jj
,	,	y
"	"	y
Tell	tell	vv0
her	her	ppho1
that	that	cst
it	it	pph1
is	be	vbz
not	not	xx
that	that	cst
we	we	ppis2
may	may	vm
not	not	xx
speak	speak	vvi
to	to	ii
a	a	at1
woman	woman	nn1
but	but	ccb
that	that	dd1_cst@
we	we	ppis2
should	should	vm
not	not	xx
speak	speak	vvi
to	to	ii
women	woman	nn2
directly	directly	rr
.	.	y
"	"	y
<p>	<p>	y
"	"	y
Why	why	rrq
?	?	y
"	"	y
the	the	at
Messiah	messiah	nn1
asked	ask	vvd
.	.	y
<p>	<p>	y
"	"	y
Because	because	cs
they	they	pphs2
may	may	vm
not	not	xx
be	be	vbi
worthy	worthy	jj
,	,	y
or	or	cc
they	they	pphs2
may	may	vm
be	be	vbi
unclean	unclean	jj
,	,	y
or	or	cc
they	they	pphs2
may	may	vm
not	not	xx
be	be	vbi
intelligent	intelligent	jj
enough	enough	rr
,	,	y
"	"	y
the	the	at
Chief	chief	jj_nn1
Rabbi	rabbi	nn1
answered	answer	vvd_vvn
her	her	ppho1
directly	directly	rr
.	.	y
<p>	<p>	y
"	"	y
I	i	ppis1
see	see	vv0
.	.	y
"	"	y
She	she	pphs1
smiled	smile	vvd
archly	archly	rr
at	at	ii
the	the	at
Rabbi	rabbi	nn1
and	and	cc
addressed	address	vvd
him	him	ppho1
directly	directly	rr
.	.	y
"	"	y
Do	do	vd0
you	you	ppy
think	think	vvi
I	i	ppis1
am	be	vbm
the	the	at
Messiah	messiah	nn1
?	?	y
"	"	y
<p>	<p>	y
"	"	y
Of	of	rr21
course	course	rr22
not	not	xx
,	,	y
"	"	y
he	he	pphs1
replied	reply	vvd
emphatically	emphatically	rr
.	.	y
<p>	<p>	y
"	"	y
Why	why	rrq
do	do	vd0
you	you	ppy
say	say	vvi
that	that	dd1_cst
,	,	y
Rabbi	rabbi	nn1
?	?	y
"	"	y
<p>	<p>	y
"	"	y
Because	because	cs
it	it	pph1
is	be	vbz
ludicrous	ludicrous	jj
to	to	to
think	think	vvi
that	that	cst_dd1
God	god	np1_nn1@
would	would	vm
make	make	vvi
a	a	at1
woman	woman	nn1
the	the	at
Messiah	messiah	nn1
.	.	y
"	"	y
<p>	<p>	y
She	she	pphs1
turned	turn	vvd
to	to	ii
the	the	at
assistant	assistant	nn1_jj
.	.	y
"	"	y
Do	do	vd0
you	you	ppy
know	know	vvi
the	the	at
meaning	meaning	nn1
of	of	io
the	the	at
word	word	nn1
Messiah	messiah	nn1
?	?	y
"	"	y
<p>	<p>	y
"	"	y
Of	of	rr21
course	course	rr22
.	.	y
It	it	nn1%_pph1
means	mean	nn_vvz
'	'	ge_"@
the	the	at
anointed	anointed	jj@
.	.	y
